village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhakrapuram,0,3,13,7,6,3,9,7,0,11,5,0,0,16,0,0,16,12,4,2,14,1,15,12,4,16,0
Kampasamudram,0,1,16,9,6,2,10,7,0,13,4,0,0,17,1,0,16,11,6,6,11,8,9,10,7,16,1
Malemarpuram,0,5,29,15,12,7,13,19,2,29,5,0,0,34,1,0,33,23,11,18,16,26,7,25,9,34,0
Chintala Chelika,0,4,7,6,5,0,4,6,1,10,1,0,0,11,0,0,11,10,1,0,11,3,8,7,4,5,6
Chitvel,0,6,30,12,16,9,16,18,3,24,13,2,0,34,1,0,35,26,11,14,23,24,12,22,15,37,0
Rajukunta,0,2,4,1,1,4,1,5,0,5,1,0,0,6,1,0,5,3,3,2,4,2,4,4,2,5,1
Nagiripadu,0,3,15,5,8,5,10,8,0,12,6,0,0,18,0,0,18,14,4,12,6,16,2,13,4,18,0
Mylapalle,0,5,11,8,5,3,4,11,1,16,0,1,0,15,0,0,16,14,2,2,14,10,5,12,4,13,3
Nagavaram,0,3,21,9,10,5,14,10,0,22,2,0,0,24,0,0,24,18,6,13,11,23,1,18,5,24,0
Nethivaripalle,0,3,8,6,4,1,6,4,1,7,4,5,0,6,0,0,11,8,3,9,2,11,0,8,3,11,0
Maharajapuram @Siddareddipalle,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
Mallemadugu,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
K.V.R.R. Puram,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
