village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pulikunta,0,2,31,18,8,7,7,25,1,25,8,0,5,28,15,0,18,12,21,2,31,33,0,22,11,20,13
Eguvagottiveedu,0,0,26,13,8,5,5,21,0,20,6,0,10,16,20,0,6,19,7,7,19,26,0,9,17,10,16
Araveedu,0,0,22,7,7,8,3,19,0,16,6,0,3,19,6,0,16,7,15,2,20,22,0,8,14,13,9
Galiveedu,0,7,100,33,40,34,27,78,2,78,29,0,32,75,67,0,40,54,53,29,78,107,0,50,57,91,16
Veligallu,0,10,85,66,20,9,33,60,2,42,53,1,29,65,6,0,89,49,46,56,39,89,5,63,32,82,13
Gopanapalle,1,2,27,9,11,10,9,21,0,19,11,0,12,18,23,0,7,15,15,1,29,30,0,17,13,10,20
Gundlacheruvu,0,0,27,12,6,9,8,19,0,24,3,0,5,22,11,0,16,4,23,2,25,26,1,14,13,18,9
Garugupalle,0,0,14,5,6,3,6,8,0,10,3,0,4,10,4,0,10,10,4,2,12,14,0,3,11,9,5
Thumukunta,0,4,26,19,6,5,7,23,0,25,5,0,7,23,0,0,30,18,12,14,16,30,0,23,7,20,10
Pandikunta,0,1,23,7,10,7,6,18,0,12,12,0,4,20,15,0,9,14,10,2,22,24,0,11,13,17,7
Nooliveedu,1,7,62,23,25,22,15,54,1,46,24,0,18,52,11,0,59,38,32,3,67,70,0,45,25,37,33
Korlakunta,0,3,26,8,13,8,11,18,0,20,9,0,9,19,11,0,17,9,20,3,26,27,2,10,19,21,8
Pyarampalle,0,0,5,2,1,2,3,2,0,4,1,0,1,4,0,0,5,3,2,3,2,5,0,1,4,5,0
