village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
A.Kothakota,0,23,110,62,46,25,79,44,10,96,37,1,23,109,0,1,132,91,42,94,38,115,7,126,7,109,24
Chowdepalle,4,9,24,15,17,5,15,17,5,20,17,4,3,30,0,1,35,34,3,29,8,35,1,37,0,36,1
Gaddamvaripalle,0,2,20,6,10,6,12,7,3,19,3,0,1,21,0,3,19,14,8,16,6,20,2,20,2,15,7
Pandillapalle,0,0,4,1,3,0,3,1,0,1,3,0,0,4,0,0,4,4,0,3,1,4,0,3,1,4,0
29 -A. Chinta -Makulapalle,1,55,158,120,68,26,83,79,52,153,61,8,64,142,4,1,208,145,69,168,46,209,5,177,36,180,34
Settipeta,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0
Katiperi,0,6,41,19,17,11,28,12,7,36,11,0,6,41,0,3,44,27,20,29,18,38,9,48,0,35,12
Kogathi,0,2,9,6,5,0,5,6,0,7,4,1,2,8,0,1,10,6,5,8,3,9,2,11,0,8,3
Durgasamudram,0,1,11,4,4,4,8,3,1,7,5,2,0,10,0,0,12,5,7,8,4,9,0,12,0,10,2
Diguvapalle,0,1,20,4,11,6,11,9,1,17,4,0,2,19,0,0,21,12,9,11,10,20,1,20,1,15,6
Charala,0,2,10,6,4,2,6,6,0,10,2,0,3,9,0,0,12,11,1,11,1,12,0,11,1,11,1
Laddigam,0,3,17,5,11,4,12,8,0,12,8,0,3,17,0,0,20,13,7,19,1,14,0,19,1,15,5
Kondamarri,0,0,15,8,3,4,7,7,1,11,4,0,0,15,0,0,15,11,4,8,7,15,0,15,0,10,5
