village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Koppedu Acharyula Khandriga,0,3,8,8,3,0,5,2,4,7,4,0,3,8,0,0,11,0,,8,3,8,3,11,0,11,0,9,2
Kacharavedu,0,3,5,5,3,0,5,1,2,6,2,0,3,5,0,0,8,0,,4,4,8,0,8,0,8,0,8,0
Arur,0,2,4,5,1,0,3,2,1,4,2,0,1,5,0,0,6,0,,4,2,3,3,5,0,6,0,4,2
Nindra,0,5,12,14,2,1,5,2,10,12,5,0,5,12,0,0,17,1,,12,5,13,4,16,1,17,0,13,4
Iruguvai,0,2,8,6,3,1,5,1,4,6,4,0,2,8,0,0,10,0,,4,6,7,3,10,0,10,0,8,2
Padiri,0,4,8,9,3,0,5,3,4,9,3,0,4,8,0,0,12,0,,7,5,9,3,12,0,12,0,9,3
Agaram,0,5,17,15,6,1,9,7,6,19,3,0,6,16,12,0,10,0,,12,10,17,5,22,0,22,0,14,8
Athur,0,2,6,5,3,0,5,3,0,5,3,0,2,6,0,0,8,0,,6,2,6,2,8,0,8,0,6,2
Chavarambakam,0,0,3,2,1,0,0,1,2,3,0,0,0,3,0,0,3,0,,2,1,0,3,3,0,3,0,0,3
Elakatur,0,0,2,2,0,0,1,0,1,1,1,0,0,2,0,0,2,0,,1,1,2,0,2,0,2,0,2,0
Kunama Raju Palem,0,2,0,2,0,0,2,0,0,1,1,0,2,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Kavanur,0,3,7,7,3,0,5,0,5,6,4,0,3,7,0,0,10,0,,7,3,8,2,9,1,10,0,7,3
