village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Amaravaram,0,2,9,3,3,5,3,5,3,10,1,1,1,9,0,0,11,0,,6,5,8,3,11,0,9,2,10,1
Upperu,0,3,6,7,2,0,4,3,2,5,4,0,4,5,0,0,9,0,,7,2,6,3,9,0,8,1,9,0
Madhavaram,0,2,10,10,2,0,10,1,1,6,6,1,6,5,0,0,12,0,,8,4,10,2,12,0,11,1,11,1
Gommugudem,0,3,6,9,0,0,5,4,0,7,2,0,1,8,0,0,9,0,,7,2,5,4,9,0,9,0,9,0
Thondipaka,0,0,10,2,5,3,0,6,4,7,3,1,4,5,0,0,10,0,,9,1,4,6,10,0,8,2,10,0
Damaracharla,0,0,2,2,0,0,2,0,0,1,1,1,0,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Vinjaram,0,0,11,7,3,1,8,1,2,4,7,1,4,6,0,0,11,0,,7,4,9,2,11,0,8,3,11,0
Dacharam,0,0,10,6,3,1,3,3,4,8,2,2,2,6,0,1,9,0,,8,2,5,5,10,0,10,0,10,0
Kukunoor,0,2,19,16,3,2,11,7,3,18,3,2,6,13,0,4,17,0,,17,4,16,5,21,0,19,2,21,0
Maredubaka,0,0,11,9,1,1,6,4,1,7,4,0,2,9,0,0,11,0,,9,2,10,1,11,0,10,1,10,1
Sridhara,0,1,9,9,0,1,0,2,8,10,0,0,1,9,0,0,10,0,,4,6,7,3,10,0,7,3,9,1
Ravigudem [Big],0,0,9,7,2,0,1,0,8,9,0,0,2,7,0,1,8,0,,6,3,4,5,9,0,9,0,8,1
Ganapavaram,0,0,2,1,1,0,0,1,1,2,0,0,1,1,0,0,2,0,,1,1,2,0,2,0,2,0,2,0
