village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Unguturu,0,4,26,1,6,23,0,0,30,30,0,6,10,14,1,0,29,5,,22,8,10,20,30,0,30,0,30,0
Amudalapalle,1,13,2,0,16,0,16,0,0,3,13,16,0,0,0,0,16,4,,16,0,12,4,16,0,16,0,16,0
Atkuru,0,28,12,4,22,14,37,1,2,29,11,16,23,1,0,0,40,0,,33,4,9,16,40,0,38,2,40,0
Indupalle,0,21,19,0,16,24,40,0,0,32,8,5,25,10,0,0,40,0,,23,9,2,20,40,0,34,6,40,0
Peda Avutapalle,1,20,15,0,0,36,36,0,0,32,4,10,23,3,0,1,35,0,,36,0,8,9,36,0,35,1,36,0
Pottipadu,0,25,11,1,15,20,35,1,0,30,6,4,12,20,0,0,36,0,,34,1,6,14,36,0,34,2,36,0
Vempadu,0,15,18,0,0,33,33,0,0,27,6,6,16,11,0,0,33,0,,14,9,0,0,33,0,33,0,33,0
Tarigoppula Khandrika,0,2,0,0,0,2,1,1,0,2,0,2,0,0,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Tarigoppula,0,29,3,0,2,30,28,3,1,25,7,32,0,0,0,0,32,0,,32,0,18,14,32,0,32,0,32,0
Nagavarappadu,0,6,5,0,0,11,11,0,0,8,3,0,11,0,0,0,11,0,,8,3,1,0,11,0,11,0,11,0
Veldipadu,0,3,0,0,0,3,3,0,0,0,3,0,1,2,0,0,3,0,,1,2,0,0,3,0,3,0,3,0
Tuttagunta,0,3,5,0,0,8,8,0,0,6,2,0,3,5,0,0,8,0,,6,1,0,0,8,0,8,0,8,0
Velinutala,0,7,1,0,1,7,7,1,0,8,0,1,5,2,0,0,8,0,,5,2,2,1,8,0,8,0,8,0
Veldipadu Khandrika,0,4,0,0,0,4,4,0,0,3,1,0,4,0,0,0,4,0,,4,0,1,1,4,0,4,0,4,0
Manikonda,0,53,19,0,2,70,36,36,0,65,7,36,7,29,0,0,72,24,,34,27,42,27,72,0,72,0,72,0
Nandamuru,0,15,21,1,33,2,36,0,0,11,25,36,0,0,0,0,36,1,,30,2,28,8,36,0,36,0,36,0
Ondrampadu,0,6,3,0,4,5,9,0,0,2,7,9,0,0,0,0,9,0,,9,0,2,7,9,0,9,0,8,1
Dibbanapudi,0,1,5,0,6,0,6,0,0,5,1,6,0,0,0,0,6,0,,6,0,4,2,6,0,6,0,6,0
Lankapalle Agraharam,0,3,7,0,0,10,10,0,0,4,6,9,0,1,0,0,10,0,,7,2,6,4,10,0,10,0,10,0
Koyyagurapadu,0,0,5,0,5,0,5,0,0,4,1,4,1,0,0,0,5,0,,5,0,0,5,5,0,5,0,5,0
Garapadu,0,6,6,0,12,0,12,0,0,5,7,12,0,0,0,0,12,1,,12,0,9,3,12,0,12,0,12,0
Vemanda,0,7,3,0,10,0,10,0,0,3,7,6,3,1,2,0,8,0,,10,0,6,4,10,0,10,0,10,0
Mukkapadu,0,4,5,0,0,9,8,1,0,6,3,5,3,1,0,0,9,0,,3,6,8,1,9,0,9,0,9,0
Telaprolu,0,57,20,12,29,36,74,0,3,35,42,68,7,2,0,1,76,22,,67,10,71,6,77,0,70,7,76,1
Ponukumadu,0,19,1,4,10,6,19,1,0,10,10,20,0,0,0,0,20,0,,20,0,20,0,20,0,20,0,20,0
