village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Agasanur,4,62,55,28,73,20,95,24,2,121,0,4,39,78,13,0,108,7,114,43,78,116,5,104,17,86,35
Pendekal,0,1,8,1,6,2,8,1,0,8,1,0,0,9,0,0,9,3,6,9,0,8,1,9,0,6,3
Bompalle,0,0,24,4,19,1,21,3,0,24,0,1,12,11,3,0,21,14,10,14,10,23,1,22,2,24,0
Duddi,0,15,12,5,22,0,25,2,0,27,0,0,6,21,2,0,25,2,25,26,1,23,4,2,25,19,8
Arlabanda,0,2,20,4,17,1,22,0,0,22,0,0,10,12,5,0,17,4,18,2,20,17,5,19,3,22,0
Kandukur,0,8,3,4,6,1,10,1,0,11,0,0,2,9,0,0,11,0,11,8,3,7,4,10,1,8,3
Nelakosigi,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
Pallipadu,0,1,23,3,19,2,21,3,0,24,0,0,5,19,3,0,21,2,22,1,23,18,6,24,0,24,0
Vandagallu,0,15,7,1,17,4,22,0,0,22,0,0,7,15,0,0,22,11,11,16,6,16,6,18,4,15,7
Sathanur,0,11,9,2,14,4,18,2,0,20,0,0,3,17,4,0,16,4,16,17,3,15,5,19,1,18,2
Jampapuram,0,0,24,3,18,3,24,0,0,24,0,2,9,13,3,0,21,9,15,13,11,20,4,16,8,24,0
Gowdegallu,0,2,1,0,2,1,1,1,1,3,0,0,1,2,1,0,2,0,3,1,2,2,1,3,0,2,1
Irangal,0,1,1,0,1,1,0,2,0,2,0,0,1,1,0,0,2,0,2,2,0,2,0,2,0,2,0
D Belagal,0,6,19,2,18,5,22,3,0,25,0,1,13,11,0,0,25,6,19,2,23,21,4,23,2,25,0
Sajjalaguddam,0,5,19,2,20,2,24,0,0,24,0,0,6,18,1,0,23,16,8,16,8,14,10,18,6,8,16
Jumaladinne,0,0,19,1,16,2,18,1,0,19,0,0,3,16,0,0,19,2,17,1,18,16,3,19,0,19,0
Kosigi,0,17,25,3,33,6,38,4,0,42,0,1,16,25,0,0,42,11,31,21,21,34,8,30,12,31,11
Chirthanakal,0,4,18,5,16,1,21,1,0,22,0,0,3,19,0,0,22,0,22,0,22,19,3,18,4,22,0
Chintakunta,0,0,21,5,15,1,20,1,0,21,0,0,10,11,0,1,20,0,21,2,19,17,4,20,1,21,0
