village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nadichagi,0,16,6,3,18,1,18,4,0,22,0,1,6,15,2,0,20,8,,10,12,19,3,21,1,20,2,18,4
Yerigiri,1,19,5,3,18,4,17,7,1,25,0,3,4,17,1,0,24,0,,22,3,25,0,23,2,22,3,19,6
Gudikambali,0,7,16,2,17,4,16,7,0,23,0,10,6,7,2,0,21,0,,6,17,8,15,21,2,19,4,18,5
Bapuram,0,2,4,0,3,3,3,3,0,6,0,1,2,3,2,0,4,0,,0,6,3,3,5,1,5,1,5,1
Vallur,0,17,8,4,17,4,17,8,0,24,1,0,9,16,2,0,23,0,,10,15,20,5,23,2,23,2,20,5
Kumbalanur,0,15,7,5,16,1,18,3,1,22,0,10,3,9,7,0,15,4,,2,20,11,11,22,0,20,2,19,3
Echalahal,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,,0,1,1,0,1,0,1,0,1,0
Kamavaram,0,8,15,0,16,7,19,4,0,23,0,0,6,17,0,0,23,1,,0,23,6,17,20,3,21,2,17,6
Kowthalam,0,35,25,4,50,6,46,13,1,58,2,2,24,34,7,0,53,1,,24,36,57,3,47,13,51,9,45,15
Upparahal,0,7,7,0,13,1,10,3,1,14,0,4,5,5,1,0,13,0,,5,9,13,1,12,2,11,3,12,2
Podalakunta,0,16,5,1,16,4,18,3,0,21,0,0,9,12,4,0,17,0,,11,10,15,6,19,2,16,5,18,3
Rowdur,1,11,3,0,13,2,13,2,0,14,1,5,5,5,3,0,12,0,,1,14,4,11,10,5,11,4,11,4
Chirtapalle,0,6,16,5,17,0,18,4,0,22,0,11,6,5,0,0,21,0,,1,21,14,8,22,0,20,2,19,3
Lingaladinne,0,4,19,1,21,1,20,3,0,23,0,5,6,12,4,0,19,0,,10,13,14,9,20,3,21,2,15,8
Agasaladinne,1,63,35,39,51,9,69,27,3,99,0,3,36,60,7,0,92,2,,17,82,47,52,94,5,80,19,58,41
Urukunda,0,17,7,2,18,4,18,6,0,24,0,2,6,16,1,0,23,0,,9,15,18,6,22,2,21,3,18,6
Sulakeri,0,9,10,3,14,2,15,4,0,19,0,6,7,6,3,0,16,0,,1,18,2,17,15,4,17,2,12,7
Kuntanahal,0,14,10,3,19,2,17,6,1,23,1,14,4,6,6,0,18,3,,4,20,10,14,23,1,20,4,20,4
Halvi,0,8,9,2,14,1,15,2,0,17,0,1,4,12,2,0,15,0,,10,7,16,1,12,5,14,3,15,2
Myaliganur,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,0,1,1,0,1,0
Bantakunta,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,,0,1,0,1,1,0,1,0,1,0
Thovi,0,14,4,2,16,0,14,4,0,18,0,1,10,7,0,0,18,0,,5,13,7,11,16,2,17,1,14,4
Badinehal,0,8,4,0,11,1,9,3,0,12,0,5,7,0,2,0,10,2,,2,10,2,10,10,2,10,2,8,4
Katriki,0,13,6,1,18,0,18,1,0,19,0,4,5,10,1,0,18,0,,3,16,3,16,17,2,18,1,13,6
Chudi,0,10,1,1,9,1,10,1,0,11,0,2,5,4,1,0,10,0,,0,11,2,9,10,1,11,0,8,3
Madire,1,13,11,8,16,1,23,2,0,25,0,7,13,5,0,0,25,0,,7,18,8,17,25,0,23,2,19,6
