village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Madhavaram,0,4,2,0,6,0,5,1,0,6,0,1,2,3,0,0,6,0,6,2,4,6,0,4,2,4,2
Narayanapuram,0,1,3,0,4,0,3,1,0,4,0,1,0,3,0,0,4,3,1,3,1,4,0,4,0,4,0
Basapuram,0,10,4,3,9,2,13,1,0,14,0,0,7,7,1,0,13,0,14,10,4,12,2,7,7,7,7
Paramandoddi,0,5,1,0,6,0,3,3,0,6,0,0,1,5,0,0,5,0,6,2,4,5,1,5,1,2,4
Dibbanadoddi,0,3,0,0,3,0,3,0,0,3,0,0,1,2,1,0,2,0,3,1,2,0,3,3,0,3,0
Manchala,0,5,0,0,5,0,5,0,0,5,0,0,3,2,1,0,4,0,5,1,4,4,1,2,3,1,4
Malapalle,0,8,1,0,7,2,8,1,0,9,0,0,2,7,1,0,8,0,9,5,4,8,1,6,3,3,6
VAGARURU,1,34,10,2,37,6,35,10,0,45,0,3,22,20,7,0,38,1,44,21,24,41,4,38,7,30,15
Chilakaladona,1,24,11,1,30,5,25,11,0,36,0,0,14,22,6,0,30,3,33,18,18,32,4,30,6,27,9
Sunkeswari,0,19,4,2,19,2,21,2,0,22,1,0,11,12,0,0,23,1,22,8,15,21,2,19,4,15,8
Rampuram,0,5,2,1,6,0,7,0,0,7,0,0,4,3,0,0,7,0,7,3,4,6,1,5,2,4,3
Rachumarri,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1
Kachapuram,0,11,5,4,12,0,10,6,0,16,0,0,5,11,0,0,16,1,15,10,6,16,0,14,2,12,4
Budur,0,13,6,0,17,2,10,9,0,19,0,0,10,9,0,0,19,1,18,9,10,19,0,19,0,15,4
