village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rangapuram,0,21,21,22,20,0,29,13,0,42,0,1,22,19,2,0,40,0,,36,6,15,27,42,0,42,0,42,0
H Murvari,0,74,33,18,72,17,88,19,0,105,2,0,35,72,2,0,105,0,,52,55,73,34,100,7,90,17,96,11
Bapaladoddi,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,,1,0,1,0,1,0,1,0,0,1
Basaladoddi,0,19,3,8,13,1,19,3,0,21,1,0,9,13,1,0,21,1,,17,5,19,3,20,2,21,1,19,3
Chinnatumbalam,1,32,7,11,28,2,40,0,1,41,1,0,17,22,4,0,34,1,,7,35,18,24,41,1,38,4,35,7
Tarapuram,0,15,5,2,16,2,20,1,0,21,1,0,7,13,0,0,19,0,,17,5,20,2,18,4,21,1,18,4
Pedda Kadubur,0,36,9,4,35,6,41,4,0,44,1,0,14,31,4,0,41,8,,13,32,21,24,38,7,41,4,37,8
Nowlekal,0,17,3,1,17,2,20,0,0,19,1,0,5,15,0,0,20,0,,16,4,19,1,18,2,13,7,16,4
Gavigatlu,0,20,1,9,12,0,16,5,0,21,0,1,8,12,0,0,21,1,,16,5,19,2,21,0,19,2,19,2
Kambaladinne,0,15,3,5,13,0,18,0,0,18,0,0,6,12,3,0,15,1,,15,3,16,2,16,2,15,3,17,1
Kambadahal,0,16,2,2,16,0,18,0,0,17,1,0,5,13,0,0,18,3,,11,7,17,1,16,2,15,3,18,0
Kallukunta,0,17,4,7,13,1,20,1,0,21,0,0,9,12,1,0,20,1,,15,6,19,2,19,2,20,1,16,5
Jalvadi,0,18,4,3,17,2,18,4,0,22,0,1,6,15,6,0,16,0,,3,19,8,14,19,2,18,4,14,8
Peekalabetta,0,5,0,2,2,1,5,0,0,5,0,0,3,2,0,0,5,0,,3,2,5,0,4,1,5,0,5,0
Myakadona,0,20,2,3,18,1,18,4,0,22,0,0,8,14,0,0,22,0,,11,11,17,5,17,5,19,3,17,5
