village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gooty Erragudi,0,26,21,4,37,6,39,8,0,46,1,1,13,33,0,0,47,1,,32,15,36,11,47,0,44,3,34,13
Ratana,0,8,16,8,15,1,24,0,0,22,2,1,3,20,0,0,24,0,,4,20,18,6,24,0,23,1,20,4
Tuggali,0,22,23,3,36,6,37,7,1,45,0,0,14,31,4,0,41,0,,38,7,42,3,38,7,43,2,38,7
Pagidiroy,0,15,9,1,21,2,18,6,0,23,1,0,7,17,0,0,24,0,,19,5,22,2,24,0,22,2,13,11
Chennampalle,0,27,18,9,33,3,40,5,0,45,0,0,16,29,0,0,45,0,,36,9,43,2,40,5,44,1,30,15
Edduladoddi,0,0,3,0,2,1,2,0,1,3,0,0,1,2,0,0,3,0,,2,1,3,0,3,0,3,0,3,0
Kandamakuntla,0,14,8,2,18,2,21,1,0,22,0,1,13,8,0,0,22,0,,16,6,15,7,22,0,21,1,21,1
Bondimadugula,0,0,4,3,1,0,4,0,0,4,0,0,0,4,0,0,4,0,,1,3,2,2,3,1,4,0,3,1
Jonnagiri,0,7,31,1,34,3,37,1,0,37,1,0,3,34,0,0,38,0,,28,10,28,10,37,1,34,4,22,16
Mukkella,1,23,24,19,28,1,43,5,0,47,1,2,4,42,0,0,47,0,,38,10,42,6,46,2,43,5,44,4
Pendikallu,0,27,21,13,33,2,43,5,0,48,0,4,19,25,0,0,48,0,,41,7,44,4,44,4,41,7,39,9
