village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Cheduvada,0,3,18,20,0,1,6,9,6,19,2,2,3,16,0,0,21,1,,21,0,21,0,21,0,13,8,21,0
Manjeru,0,3,33,6,16,14,30,3,3,33,3,6,1,29,0,5,31,5,,27,9,7,25,35,0,17,19,28,1
Gollapalem,3,17,31,49,0,2,31,7,13,26,25,26,6,19,0,1,50,16,,29,19,48,3,45,6,5,46,51,0
Kolanka,0,27,46,24,23,23,39,31,3,71,2,3,3,67,0,0,73,4,,54,19,6,54,68,1,40,33,33,1
Andrangi,0,0,40,25,10,5,36,2,2,38,2,2,8,30,0,0,40,0,,13,27,40,0,33,7,17,23,40,0
Duggudurru,0,3,35,33,2,3,17,12,9,36,2,1,10,27,0,0,38,10,,37,1,37,0,38,0,24,14,35,3
Kajuluru,4,34,92,55,15,46,118,3,9,121,9,8,1,121,0,8,122,14,,119,11,59,49,124,6,67,62,127,1
Ithapudi,0,2,19,18,2,0,16,3,2,17,4,2,1,18,1,0,19,1,,18,0,21,0,21,0,0,21,21,0
Jagannathagiri,0,1,37,34,2,1,26,10,2,36,2,2,0,36,0,11,27,1,,38,0,37,1,37,1,6,32,34,2
Pallipalem,0,0,79,63,14,2,37,38,4,74,5,5,14,60,2,0,77,0,,48,31,9,70,78,1,34,45,78,1
Penumalla,0,2,38,14,7,18,23,15,2,38,2,3,8,29,0,0,40,3,,34,6,16,24,39,1,23,17,40,0
T. Mamidada,1,0,10,10,1,0,9,2,0,11,0,0,3,8,0,0,11,0,,10,1,4,7,11,0,4,7,11,0
Seela,0,3,35,30,3,5,26,9,3,36,2,1,0,37,1,2,35,2,,32,6,4,34,38,0,13,25,37,1
Aryavatam,0,1,34,31,2,2,25,8,2,33,2,3,9,23,0,0,35,1,,14,21,32,3,33,2,25,10,35,0
Uppumilli,0,0,21,16,3,2,16,2,3,20,2,1,1,20,0,0,21,0,,15,7,11,11,21,1,20,2,20,2
Kuyyeru,0,1,38,12,12,16,15,11,14,38,2,6,3,31,0,4,34,0,,19,21,1,27,40,0,25,15,26,4
Selapaka,0,1,42,32,2,9,18,8,17,41,2,6,7,29,0,0,43,2,,27,16,40,1,43,0,39,4,41,1
Bandanapudi,0,0,22,19,1,2,3,9,10,20,2,0,6,16,0,0,22,8,,21,1,20,2,22,0,2,20,22,0
Mathukumilli,0,1,10,10,1,0,10,0,1,10,1,0,1,10,0,0,11,0,,10,1,2,9,11,0,6,5,11,0
Tarlampudi,0,1,16,15,0,2,13,2,2,15,2,1,1,15,0,0,17,0,,14,3,4,12,17,0,5,12,17,0
