village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bilakala Gudur,0,24,6,13,17,0,20,10,0,30,0,8,16,6,1,0,29,26,4,19,11,30,0,30,0,30,0
Chennakkapalle,0,24,6,14,16,0,22,8,0,30,0,7,18,5,0,0,30,19,11,8,22,30,0,30,0,30,0
Durvesi,0,22,5,14,13,0,18,9,0,27,0,2,21,4,13,0,14,16,11,9,18,27,0,27,0,26,1
Bujanur,0,25,8,10,23,0,20,13,0,33,0,6,19,8,1,0,32,18,15,7,26,33,0,33,0,33,0
Koratamaddi,0,24,8,15,17,0,21,11,0,32,0,8,16,8,5,0,27,15,17,2,30,32,0,32,0,32,0
Manchalakatta,0,23,7,17,13,0,18,12,0,30,0,8,15,7,0,0,30,18,12,13,17,30,0,30,0,30,0
Korrapolur,0,26,5,10,21,0,19,12,0,31,0,8,18,5,3,0,28,20,11,12,19,31,0,31,0,29,2
Gadivemula,0,22,7,12,17,0,20,9,0,29,0,6,17,6,2,0,27,18,11,13,16,29,0,29,0,29,0
Karimaddala,0,22,7,14,15,0,18,11,0,29,0,2,20,7,0,0,29,18,11,13,16,29,0,29,0,29,0
Gani,0,11,0,5,6,0,5,6,0,11,0,5,6,0,2,0,9,6,5,2,9,11,0,11,0,11,0
Pesaravayi,0,20,10,11,19,0,17,13,0,30,0,9,11,10,6,0,24,17,13,3,27,30,0,30,0,30,0
Chindukuru,0,14,0,7,7,0,11,3,0,14,0,7,7,0,1,0,13,8,6,3,11,13,1,14,0,13,1
Gadigarevula,0,6,4,5,5,0,9,1,0,10,0,2,4,4,4,0,6,6,4,4,6,10,0,10,0,10,0
