village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Daida,1,5,18,19,4,1,12,11,1,24,0,1,3,20,0,0,24,23,1,17,7,24,0,23,1,24,0
Gurazala,0,12,167,131,36,12,55,109,15,179,0,0,4,175,0,0,179,170,9,115,64,179,0,170,9,179,0
Madugula,0,0,60,26,22,12,31,25,4,54,6,1,4,55,0,0,60,60,0,56,4,60,0,60,0,60,0
Cherlagudi Padu,0,1,65,42,23,1,45,20,1,64,2,0,1,65,0,0,66,66,0,59,6,66,0,58,8,65,1
Gottimukkala,0,5,23,19,7,2,12,16,0,28,0,0,3,25,0,0,28,26,2,22,6,27,1,28,0,23,5
Telukutla,0,3,24,13,12,2,12,13,2,27,0,0,1,26,0,0,27,27,0,23,4,27,0,26,1,27,0
Gangavaram,3,6,22,30,1,0,10,17,4,31,0,3,1,27,0,0,31,31,0,20,11,31,0,26,5,31,0
Pulipadu,2,13,40,26,24,5,21,23,11,55,0,2,11,42,0,0,54,52,3,30,25,54,1,53,2,55,0
Gogulapadu,0,2,13,6,9,0,9,6,0,15,0,0,0,15,1,0,14,15,0,10,5,15,0,15,0,15,0
Pallegunta,1,7,21,26,3,0,12,12,5,29,0,1,2,26,0,0,29,29,0,18,11,29,0,28,1,29,0
