village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhamini,0,1,46,25,21,1,36,7,4,36,11,27,17,3,0,4,43,1,,47,0,0,47,47,0,34,13,47,0
Liviri,0,1,20,17,4,0,19,0,2,15,6,14,1,6,1,14,6,2,,2,0,11,10,2,0,2,5,2,0
Solikiri,0,3,66,9,56,4,51,17,1,65,4,40,15,14,1,0,68,48,,17,52,0,69,69,0,31,38,66,3
Kosali,0,0,37,8,28,1,35,2,0,33,4,20,8,9,2,1,34,31,,37,0,20,17,37,0,33,4,37,0
Singidi,0,2,8,4,6,0,10,0,0,10,0,10,0,0,0,0,10,0,,0,0,4,3,0,0,2,0,0,0
Maniga,0,0,33,12,21,0,25,8,0,30,3,24,8,1,0,0,33,1,,33,0,0,33,33,0,30,3,33,0
Battili,0,0,65,1,58,6,62,3,0,58,7,29,19,17,0,0,65,58,,65,0,0,65,65,0,62,3,65,0
Chinnadimili,2,0,31,6,26,1,32,1,0,26,7,17,11,5,0,0,33,0,,0,33,29,4,33,0,5,28,33,0
Ghanasara,0,1,25,3,19,4,11,13,2,26,0,18,7,1,0,0,26,0,,26,0,12,14,26,0,8,18,26,0
Palavalasa,0,0,13,1,12,0,11,2,0,13,0,5,7,1,0,0,13,13,,13,0,0,13,13,0,11,2,13,0
Pakkudibhadra,0,1,14,2,12,1,13,2,0,15,0,7,8,0,0,0,15,9,,15,0,0,15,15,0,14,1,15,0
Vaddangi,0,0,22,7,14,1,22,0,0,22,0,9,11,2,0,0,22,1,,21,1,0,22,22,0,13,9,22,0
Peddadimili,0,0,33,10,23,0,21,12,0,32,1,18,14,1,0,0,33,24,,0,33,20,13,33,0,14,19,29,4
Bommika,0,0,11,2,9,0,7,4,0,10,1,7,4,0,0,0,11,0,,10,1,0,11,11,0,11,0,11,0
Nulakajodu,0,0,32,4,24,4,28,4,0,31,1,23,6,3,0,0,32,20,,32,0,0,32,32,0,30,2,32,0
Manumukonda,0,0,5,0,4,1,3,2,0,5,0,3,2,0,0,0,5,3,,5,0,0,5,5,0,5,0,5,0
Gurandi,0,0,34,2,29,3,29,5,0,29,5,16,10,7,0,0,34,24,,34,0,0,34,34,0,23,11,34,0
Burujola,0,0,16,1,15,0,14,2,0,14,2,7,3,6,0,0,16,15,,16,0,0,16,16,0,14,2,16,0
Pasukudi,0,0,6,0,6,0,6,0,0,5,1,4,2,0,0,0,6,5,,6,0,0,6,6,0,6,0,6,0
Dimmidijola,0,0,18,0,15,3,17,1,0,16,2,9,6,3,0,0,18,17,,18,0,0,18,18,0,18,0,18,0
