village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Polineni Cheruvu,0,0,12,3,4,5,2,5,5,6,6,3,3,6,2,0,10,1,11,0,12,11,1,4,8,11,1
East Polineni Palem,0,1,11,1,2,9,2,4,6,10,2,3,5,4,0,0,12,1,11,1,11,12,0,2,10,9,3
Voletivaripalem,0,0,12,1,2,9,2,2,8,11,1,1,2,9,0,0,12,1,11,2,10,5,7,2,10,12,0
Kakutur,0,0,5,3,1,1,0,3,2,4,1,0,0,5,0,0,5,0,5,0,5,5,0,0,5,5,0
Ramachandrapuram,0,0,12,1,4,7,3,1,8,7,5,0,2,10,2,0,10,7,5,1,11,3,9,2,10,12,0
Singamnenipalle,0,0,3,1,1,1,0,2,1,3,0,2,1,0,0,0,3,0,3,0,3,3,0,0,3,1,2
Kondasamudram,0,0,12,4,4,4,2,4,6,7,5,4,4,4,2,0,10,1,11,1,11,11,1,0,12,9,3
Kalavalla,0,0,12,0,2,10,3,0,9,11,1,7,4,1,2,0,10,11,1,0,12,10,2,2,10,12,0
Sameerapalem,0,0,11,0,3,8,1,4,6,10,1,1,3,7,0,0,11,0,11,1,10,11,0,2,9,11,0
Sakhavaram,0,0,12,2,3,7,1,7,4,9,3,2,2,8,0,0,12,2,10,0,12,10,2,3,9,12,0
Nekunampuram @ Pokur,0,0,25,4,5,16,6,7,12,16,9,8,3,14,2,0,23,2,23,3,22,24,1,3,22,23,2
Naladalapur,0,0,12,0,2,10,2,3,7,11,1,2,2,8,4,0,8,9,3,3,9,5,7,2,10,12,0
Nukavaram,0,0,7,4,1,2,2,3,2,5,2,1,2,4,0,0,7,0,7,1,6,7,0,0,7,7,0
Nekunam Puram K.Kandrika,0,0,9,3,3,3,1,2,6,8,1,4,4,1,0,0,9,2,7,0,9,9,0,2,7,9,0
Ayyavaripalle,0,0,6,0,0,6,0,2,4,5,1,2,3,1,0,0,6,0,6,0,6,6,0,0,6,6,0
Chundi,0,0,18,2,10,6,5,10,3,16,2,2,7,9,0,0,18,4,14,0,18,16,2,2,16,18,0
