village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Veerapuram,0,0,22,22,0,0,6,16,0,22,0,0,2,20,0,0,22,0,,9,13,22,0,22,0,17,5,22,0
Morasalapalle,0,4,18,22,0,0,6,16,0,20,2,0,1,21,0,0,22,0,,22,0,2,20,22,0,14,8,22,0
Kodikonda,0,0,22,22,0,0,1,21,0,22,0,0,3,19,0,0,22,0,,14,8,16,6,22,0,18,4,19,3
Marrimakulapalle,0,0,2,2,0,0,0,2,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Demakethepalle,0,0,45,41,4,0,4,41,0,44,1,0,4,41,0,0,45,0,,27,18,31,14,45,0,30,15,43,2
Tekulodu,0,0,22,22,0,0,0,22,0,21,1,0,3,19,0,0,22,0,,12,10,18,4,22,0,16,6,22,0
Somaghatta,0,1,16,16,1,0,5,12,0,17,0,0,2,15,0,0,17,0,,10,7,10,7,17,0,13,4,17,0
Chilamathur,0,1,68,69,0,0,5,64,0,68,1,0,12,57,0,0,69,0,,42,27,54,15,69,0,52,17,69,0
Kodur,0,5,39,40,4,0,1,43,0,43,1,2,9,33,0,0,44,0,,26,18,7,37,44,0,31,13,44,0
Chagaluru,0,0,43,43,0,0,10,33,0,39,4,0,3,40,2,0,41,0,,29,14,38,5,43,0,31,12,42,1
Settipalle,0,0,23,19,4,0,14,9,0,22,1,0,0,23,0,0,23,0,,21,2,21,2,23,0,17,6,23,0
Kambaladinne,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
