village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chodavaram,0,6,13,13,6,0,15,2,2,19,0,0,6,13,0,0,19,0,,19,0,17,2,19,0,18,1,19,0
Penubharthi,0,0,14,13,1,0,11,3,0,14,0,1,2,11,0,1,13,0,,14,0,14,0,13,1,13,1,14,0
Anandapuram,0,3,28,26,5,0,23,6,2,31,0,2,6,23,0,0,31,0,,30,1,28,3,30,1,29,2,31,0
Golagam,0,0,4,1,3,0,1,3,0,4,0,0,0,4,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Gurla,0,3,18,21,0,0,18,3,0,21,0,2,2,17,0,0,21,0,,21,0,19,2,21,0,19,2,21,0
Garikavalasa,0,0,14,12,2,0,11,3,0,14,0,1,2,11,0,0,14,0,,14,0,14,0,14,0,14,0,14,0
Chinthalapeta,0,0,15,12,2,1,14,1,0,15,0,2,1,12,0,0,15,0,,15,0,13,2,12,3,15,0,15,0
Jammu,0,0,19,15,4,0,9,8,2,19,0,1,1,17,0,0,19,0,,19,0,19,0,18,1,17,2,19,0
Chinthapallipeta,0,1,7,7,1,0,8,0,0,8,0,2,0,6,0,0,8,0,,8,0,8,0,8,0,6,2,8,0
Damarasingi,0,0,10,10,0,0,7,3,0,10,0,1,2,7,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Nadupuru,0,0,25,20,4,1,15,8,2,25,0,0,3,22,0,0,25,0,,25,0,22,3,24,1,23,2,25,0
Solipisomarajupeta,0,0,14,11,3,0,11,3,0,14,0,1,2,11,0,0,14,0,,14,0,13,1,14,0,14,0,14,0
Thatipudi,0,0,19,19,0,0,16,2,1,19,0,2,0,17,0,0,19,0,,19,0,17,2,19,0,17,2,19,0
Gudem,0,0,12,6,5,1,7,5,0,12,0,0,1,11,0,0,12,0,,12,0,12,0,12,0,11,1,12,0
Palavalasa,0,1,13,13,1,0,8,5,1,14,0,2,2,10,0,0,14,0,,14,0,14,0,14,0,14,0,14,0
Kotagandredu,0,0,20,18,2,0,16,4,0,20,0,2,3,15,0,0,20,0,,20,0,20,0,20,0,18,2,20,0
Pedabantupalle,0,0,8,8,0,0,6,2,0,8,0,0,2,6,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Vallapuram,0,0,22,17,5,0,15,6,1,22,0,1,3,18,0,0,22,0,,22,0,21,1,22,0,21,1,22,0
Meesalapeta,0,0,4,4,0,0,4,0,0,4,0,1,0,3,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Nagallavalasa,0,3,13,10,5,1,10,5,1,16,0,0,3,13,0,0,16,0,,16,0,14,2,13,3,13,3,16,0
Thettangi,0,0,8,8,0,0,7,1,0,8,0,1,0,7,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Kalavacherla,0,0,4,3,1,0,4,0,0,4,0,1,0,3,0,0,4,0,,4,0,3,1,4,0,4,0,4,0
Kella,0,1,8,9,0,0,5,4,0,9,0,1,1,7,0,0,9,0,,9,0,9,0,9,0,9,0,9,0
Palligantredu,0,0,8,8,0,0,5,3,0,8,0,1,0,7,0,0,8,0,,8,0,6,2,8,0,7,1,8,0
Kondagandredu,0,0,10,8,2,0,7,3,0,10,0,1,0,9,0,0,10,0,,10,0,10,0,10,0,8,2,10,0
Gujjangivalasa,0,0,5,4,1,0,5,0,0,5,0,0,1,4,0,0,5,0,,5,0,5,0,5,0,4,1,5,0
Manyapuripeta,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
