village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Akkarapalle,0,0,11,8,3,0,7,3,1,11,0,2,7,2,0,0,11,0,,11,0,9,2,11,0,11,0,11,0
Medamarthi,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Kakarapalle,0,5,25,19,11,0,6,23,1,30,0,3,5,22,1,0,29,0,,30,0,25,5,30,0,28,2,30,0
Gollavalasa,0,0,26,22,1,3,23,3,0,15,11,4,1,21,0,0,26,0,,26,0,16,10,26,0,23,3,26,0
Gullaseetharama Puram,0,1,15,12,4,0,9,6,1,16,0,6,2,8,0,0,16,0,,16,0,14,2,16,0,16,0,16,0
Kondagudem,0,0,23,12,9,2,12,9,2,19,4,3,4,16,0,0,23,0,,23,0,20,3,23,0,23,0,23,0
Talada,0,0,18,17,1,0,12,6,0,14,4,0,1,17,0,0,18,0,,18,0,15,3,18,0,18,0,18,0
Mamidipalle,0,0,20,8,9,3,15,4,1,13,7,8,2,10,0,0,20,0,,20,0,14,6,20,0,20,0,20,0
Pullita,0,0,8,5,2,1,1,5,2,6,2,2,0,6,1,0,7,0,,8,0,8,0,7,0,8,0,8,0
Siripuram,0,0,27,20,4,3,26,1,0,27,0,6,3,18,0,0,27,0,,27,0,23,4,27,0,26,1,27,0
PONUGUTIVALASA,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Chennaiahpeta,0,0,7,7,0,0,5,2,0,7,0,1,2,4,0,0,7,0,,7,0,7,0,7,0,7,0,7,0
Kavali,0,1,3,3,1,0,4,0,0,4,0,2,0,2,0,0,4,0,,4,0,2,2,4,0,4,0,4,0
Modugulapeta,0,0,24,14,6,4,16,0,8,22,2,6,6,12,1,0,23,0,,24,0,19,5,24,0,18,6,23,1
Vasudevapatnam,0,0,27,16,8,3,27,0,0,27,0,17,5,5,4,0,23,0,,27,0,24,3,27,0,27,0,27,0
Mirthivalasa,0,0,6,2,2,2,3,2,1,4,2,0,2,4,0,0,6,0,,6,0,6,0,6,0,5,1,6,0
Mandavakuriti,0,0,19,11,5,3,18,1,0,18,1,10,1,8,4,0,15,0,,19,0,14,5,19,0,15,4,19,0
Thamaram,0,0,22,14,7,1,21,0,1,20,2,0,0,22,1,0,21,0,,22,0,21,1,22,0,22,0,22,0
Honjaram,0,0,20,15,2,3,10,9,1,20,0,1,0,19,0,0,20,0,,20,0,14,6,20,0,20,0,20,0
Mandarada,0,0,24,0,0,24,21,2,1,17,7,2,2,20,1,1,22,0,,24,0,18,6,24,0,13,11,24,0
Panasapeta,0,0,3,3,0,0,3,0,0,2,1,0,0,3,0,0,3,0,,3,0,2,1,3,0,2,1,3,0
Geddavalasa Narasimha Puram,0,0,15,9,4,2,15,0,0,14,1,6,5,4,0,0,15,0,,15,0,9,6,15,0,13,2,14,1
Valtair,0,0,4,1,2,1,4,0,0,4,0,0,0,4,0,0,4,0,,4,0,3,1,4,0,4,0,4,0
Santhakaviti,0,0,22,10,8,4,4,9,9,20,2,3,5,14,0,0,22,0,,21,1,18,4,22,0,22,0,22,0
Suravaram,0,0,22,17,5,0,22,0,0,18,4,0,1,21,0,0,22,0,,22,0,17,5,22,0,21,1,22,0
Chittaripuram,0,0,28,27,1,0,16,10,2,28,0,5,7,16,0,0,28,0,,28,0,21,7,28,0,28,0,28,0
Javam,0,0,26,21,5,0,14,12,0,26,0,4,7,15,0,0,26,0,,26,0,21,5,26,0,24,2,26,0
Garikipadu,0,0,11,6,5,0,8,2,1,11,0,1,3,7,1,0,10,0,,11,0,4,7,11,0,8,3,11,0
Thalatampara,0,0,16,4,10,2,15,1,0,15,1,0,2,14,0,0,16,0,,16,0,14,2,16,0,16,0,16,0
Manthina,0,0,19,13,6,0,11,7,1,9,10,1,4,14,0,0,19,0,,19,0,13,6,19,0,18,1,19,0
Bodduru,0,0,19,17,2,0,8,10,1,19,0,0,3,16,0,0,19,0,,19,0,15,4,19,0,19,0,19,0
Seshadripuram,0,0,2,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,,2,0,1,1,1,0,2,0,2,0
Billani,0,0,2,2,0,0,1,1,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Appalaagraharam,0,0,2,2,0,0,1,1,0,2,0,0,1,1,0,1,1,0,,2,0,1,1,2,0,2,0,2,0
