village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kathavapadu,1,19,12,14,18,0,28,2,2,8,23,5,24,3,0,17,15,1,,32,0,31,1,32,0,32,0,32,0
Rapaka,0,2,3,3,2,0,2,0,3,3,2,2,2,1,0,2,3,0,,5,0,4,1,5,0,5,0,5,0
Iragavaram,0,33,62,47,45,3,72,9,14,46,49,20,64,11,0,1,93,6,,93,2,93,2,95,0,95,0,95,0
Relangi,0,41,68,48,60,1,89,7,13,68,41,19,78,12,0,2,107,6,,109,0,107,2,109,0,109,0,109,0
Kavalipuram,0,20,13,14,19,0,17,11,5,27,5,8,21,4,0,1,32,1,,32,1,30,3,33,0,33,0,33,0
Kakileru,0,15,18,18,15,0,20,11,2,9,24,6,21,6,0,1,32,1,,33,0,30,3,33,0,33,0,33,0
Surampudi,1,19,13,20,13,0,30,2,1,18,15,6,23,4,0,0,33,5,,33,0,33,0,33,0,33,0,33,0
Thurupuvipparru,0,17,16,22,11,0,29,2,2,23,10,6,22,5,0,2,31,1,,32,1,33,0,33,0,33,0,33,0
Kothapadu,0,7,8,8,7,0,7,8,0,13,2,3,9,3,0,0,15,0,,15,0,13,2,15,0,15,0,15,0
Kantheru,0,9,8,12,5,0,5,10,2,16,1,4,9,4,0,0,17,2,,17,0,15,2,17,0,17,0,17,0
Itempudi,0,3,3,5,1,0,5,1,0,4,2,2,2,2,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Kakulaillindalaparru,0,11,19,14,14,2,16,13,1,12,18,3,23,4,0,0,30,0,,30,0,27,3,30,0,30,0,30,0
Eletipadu,0,14,16,18,12,0,22,8,0,28,2,5,23,2,0,3,27,3,,30,0,26,4,30,0,30,0,30,0
Goteru,0,20,12,20,11,1,19,11,2,28,3,6,20,6,0,0,32,0,,31,1,28,4,32,0,32,0,32,0
Pekeru,0,20,15,19,15,1,33,0,2,8,27,7,25,3,0,0,35,0,,34,1,33,2,35,0,35,0,35,0
Ogidi,0,17,12,21,8,0,28,0,1,25,3,4,23,2,0,0,29,0,,29,0,27,2,29,0,29,0,29,0
Inaparru,0,18,15,22,10,1,30,0,3,26,7,6,23,4,0,0,33,0,,33,0,27,6,33,0,33,0,33,0
Kannayakumudavalli,0,17,16,17,14,2,30,1,2,22,11,5,25,3,0,0,33,0,,33,0,31,2,33,0,33,0,33,0
