village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Korhali,0,2,1,3,0,0,0,3,0,3,0,1,2,0,0,0,3,3,0,3,0,3,0,2,1,3,0
Garhia,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Gopalpur,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Jhila Dumri,0,51,59,106,5,0,6,105,0,111,0,27,57,27,0,0,111,109,2,108,3,111,0,109,2,101,10
Piprakhurd,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
Sadanandpur,1,32,37,63,7,1,3,67,1,70,1,23,16,32,0,0,71,68,3,69,2,71,0,70,1,63,8
Chandpipar,0,102,95,177,16,5,18,173,7,195,3,68,53,77,0,1,197,188,10,198,0,194,4,196,1,195,2
Bhabtiahi,0,1,1,1,1,0,0,2,0,1,1,0,1,1,0,0,2,2,0,2,0,2,0,2,0,2,0
Aurahi,0,0,2,1,1,0,0,2,0,1,1,0,1,1,0,0,2,1,1,2,0,2,0,2,0,1,0
Girdhari,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
