village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Achchha-Chhadka,0,0,3,0,2,1,2,1,0,2,1,0,3,0,0,0,3,0,,3,0,2,1,3,0,3,0,3,0
Mohlai,0,0,53,0,43,10,28,25,0,22,31,0,41,12,0,0,53,13,,53,0,17,36,53,0,52,1,53,0
Khatti,0,0,71,0,70,1,39,32,0,11,60,0,59,12,0,1,70,0,,71,0,31,40,71,0,71,0,71,0
Sadhauli (Sathouli),0,0,129,1,128,0,72,57,0,29,100,1,109,19,0,0,129,4,,129,0,75,54,129,0,129,0,129,0
Barula,0,0,200,0,194,6,108,92,0,42,158,1,157,42,0,0,200,0,,200,0,80,120,200,0,200,0,200,0
Amadi,0,0,101,0,82,19,38,63,0,41,60,1,64,36,0,4,97,25,,100,1,39,62,99,2,93,8,101,0
Jaitpuri,0,0,46,0,31,15,19,27,0,25,21,1,26,19,0,2,44,18,,46,0,19,27,46,0,44,2,46,0
Kasabay,0,0,2,0,2,0,2,0,0,1,1,0,1,1,0,0,2,0,,2,0,0,2,2,0,2,0,2,0
Kasarbay,0,0,55,0,42,13,25,30,0,42,13,4,26,25,0,5,50,3,,43,12,21,34,55,0,39,16,55,0
Hardi,0,0,145,0,144,1,87,58,0,38,107,0,119,26,0,0,145,1,,145,0,80,65,145,0,145,0,145,0
