village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Lailunga,0,45,21,0,49,17,3,60,3,58,8,2,27,37,0,0,66,0,,66,0,58,8,66,0,66,0,66,0
Laripani,0,22,14,0,28,8,4,30,2,27,9,0,15,21,0,3,33,0,,36,0,26,10,36,0,36,0,36,0
Bhakurra,0,19,9,0,17,11,2,26,0,17,11,1,13,14,0,2,26,0,,27,1,25,3,28,0,28,0,28,0
Sohanpur,0,77,56,0,96,37,9,122,2,41,92,0,55,78,2,4,127,0,,132,1,123,10,133,0,133,0,132,1
Bhendimuda,0,40,38,5,50,23,6,71,1,42,36,17,32,29,10,0,68,0,,78,0,62,16,77,0,78,0,78,0
Jhagarpur,0,41,27,4,49,15,0,65,3,50,18,2,33,33,0,11,57,1,,68,0,65,3,68,0,68,0,68,0
Lamdand,0,21,22,1,29,13,3,40,0,30,13,5,18,20,2,0,41,1,,43,0,28,15,43,0,43,0,43,0
Pakargaon,0,39,49,14,70,4,2,84,2,80,8,5,32,51,0,3,85,2,,87,1,22,66,87,1,88,0,88,0
Salakhiya,0,32,35,4,54,9,0,67,0,53,14,7,21,39,2,2,63,0,,67,0,30,37,67,0,67,0,67,0
Rajpur,0,57,17,0,62,12,0,74,0,74,0,0,29,45,3,0,71,0,,73,1,59,15,74,0,74,0,74,0
Gahna Jhariya,0,5,3,0,4,4,0,7,1,8,0,4,3,1,0,0,8,0,,8,0,5,3,8,0,8,0,8,0
Rupdega,0,1,4,0,5,0,1,4,0,3,2,0,2,3,0,0,5,0,,4,1,4,1,5,0,5,0,5,0
Ghatgaon,0,50,29,1,67,11,0,74,5,44,35,17,28,33,0,5,74,0,,78,1,71,8,79,0,79,0,77,2
Gudu Bahal,0,31,7,0,28,10,1,36,1,35,3,13,18,7,0,2,36,0,,36,2,26,12,38,0,38,0,38,0
Taragarh,0,1,2,0,2,1,0,2,1,3,0,0,1,2,0,0,3,0,,3,0,2,1,3,0,3,0,3,0
Nawagaon,0,11,11,2,14,6,2,20,0,10,12,1,2,19,0,0,22,1,,22,0,14,8,21,1,22,0,22,0
Amapali,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Gorhi,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Keshala,0,22,7,0,23,6,0,28,1,27,2,5,14,10,1,0,28,0,,29,0,16,13,29,0,29,0,29,0
Kaharchuwan,0,25,17,0,32,10,1,40,1,33,9,6,17,19,0,0,42,0,,42,0,29,13,42,0,42,0,42,0
Ainkra,0,4,1,0,4,1,0,4,1,4,1,0,3,2,0,0,5,0,,5,0,2,3,5,0,5,0,5,0
Katakliya,0,31,8,0,33,6,0,39,0,38,1,0,15,24,1,0,38,0,,39,0,32,7,39,0,39,0,39,0
Kunjara,0,47,14,2,48,11,0,61,0,60,1,6,28,27,1,0,60,0,,61,0,52,9,61,0,61,0,61,0
Khamhar,0,31,13,0,35,9,5,37,2,32,12,4,21,19,0,0,44,0,,44,0,29,15,44,0,44,0,44,0
Saraimuda,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,0,1,1,0,1,0,1,0
Kodasiya,0,78,27,1,83,21,0,105,0,101,4,3,46,56,3,0,102,0,,105,0,85,20,105,0,105,0,105,0
Munda Gaon,0,3,1,0,4,0,0,4,0,4,0,1,2,1,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Tetka Ama,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Ishwarpur,0,1,1,0,2,0,0,2,0,2,0,1,1,0,0,1,1,0,,2,0,1,1,2,0,2,0,2,0
Birsingha,0,29,30,4,41,14,6,51,2,55,4,1,33,25,0,0,59,0,,58,1,49,10,59,0,59,0,59,0
Jamuna,0,22,20,0,28,14,4,36,2,22,20,5,14,23,1,0,41,0,,42,0,27,15,42,0,42,0,42,0
Chiraikhar,0,12,12,0,16,8,0,24,0,21,3,5,12,7,0,0,24,0,,24,0,17,7,24,0,24,0,24,0
Libra,0,14,6,0,16,4,0,20,0,15,5,1,11,8,0,0,20,0,,20,0,14,6,20,0,20,0,20,0
Bhuyapani,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,0,1,1,0,1,0,1,0
Kamarga,0,26,10,0,25,11,4,31,1,34,2,1,10,25,2,0,34,2,,36,0,33,3,35,0,36,0,36,0
