village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bendordem,3,24,0,4,1,16,12,12,3,13,14,27,0,0,0,6,21,0,,27,0,14,13,27,0,9,13,27,0
Sirvoi,1,3,0,1,1,1,2,2,0,0,3,4,0,0,0,0,4,0,,4,0,4,0,4,0,3,1,4,0
Cazur,8,43,1,11,12,29,28,19,5,21,31,50,1,1,2,4,46,0,,47,2,46,3,48,1,23,19,47,2
Barcem,2,44,4,4,25,21,34,6,10,20,25,48,2,0,0,39,11,0,,50,0,43,7,50,0,16,25,50,0
Cordem,5,60,1,20,18,26,37,13,16,36,27,66,0,0,1,26,39,1,,66,0,57,9,66,0,18,30,66,0
Deao,0,4,0,0,0,3,0,0,4,2,2,4,0,0,0,4,0,0,,4,0,4,0,4,0,3,1,4,0
Padi,0,8,0,0,0,6,2,6,0,5,3,8,0,0,0,4,4,0,,8,0,0,8,6,2,0,6,8,0
Ambaulim,0,20,25,2,8,31,28,12,5,32,8,26,16,3,0,14,31,0,,43,2,45,0,43,2,13,17,41,4
Tiloi,0,10,0,4,3,3,2,4,4,6,4,10,0,0,0,1,9,0,,10,0,8,2,10,0,6,3,10,0
Bali,0,7,1,7,0,1,0,1,7,4,4,8,0,0,0,1,7,0,,8,0,8,0,8,0,3,3,8,0
Morpila,1,84,7,20,10,46,30,38,24,45,41,89,3,0,1,37,54,0,,92,0,69,23,89,3,26,58,89,3
Avedem,4,30,2,1,10,24,10,12,14,18,16,36,0,0,2,20,14,0,,36,0,35,1,36,0,9,18,35,1
Molcopona,0,20,4,0,1,20,1,11,12,2,22,22,0,2,0,2,22,0,,23,1,17,7,24,0,5,16,24,0
Adnem,10,43,1,23,16,10,17,21,16,32,21,54,0,0,1,27,26,0,,54,0,46,8,54,0,15,17,54,0
Assolda,0,17,7,0,6,16,1,6,17,11,11,20,4,0,0,20,4,3,,24,0,24,0,22,2,13,6,22,2
Naquerim,1,20,10,1,6,23,12,18,1,14,9,25,6,0,0,5,26,0,,28,3,30,1,26,4,15,8,26,5
Fatorpa,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Molcarnem,4,66,6,2,5,53,6,41,29,8,45,71,2,3,0,19,57,0,,65,10,45,30,74,1,25,21,75,0
Gocoldem,5,66,9,8,15,55,47,24,9,39,36,77,3,0,1,64,15,0,,79,1,52,26,80,0,19,54,80,0
Xeldem (CT),0,42,1,0,11,24,0,23,20,7,27,42,0,1,0,10,33,0,,32,11,28,15,43,0,15,9,41,2
Cacora,0,2,0,0,0,1,0,0,2,0,2,2,0,0,0,0,2,0,,0,2,0,2,2,0,1,1,2,0
Nagvem,0,11,0,0,2,5,0,6,5,1,5,11,0,0,0,2,9,0,,9,2,9,2,11,0,6,1,10,1
Undorna,0,12,2,0,1,8,1,5,8,3,8,12,1,1,0,5,9,0,,11,3,9,5,12,2,2,5,14,0
Pirla,0,42,12,0,9,41,14,38,2,17,11,45,9,0,0,0,54,1,,52,2,53,1,53,1,42,11,47,7
Cotombi,0,3,0,1,0,2,1,1,1,1,1,3,0,0,0,2,1,0,,3,0,3,0,3,0,0,3,3,0
Xelvona,1,8,2,1,1,4,2,2,7,3,5,10,0,1,0,9,2,2,,11,0,8,3,11,0,2,9,10,1
Cusmane,0,6,0,0,1,5,5,1,0,1,5,6,0,0,0,0,6,0,,4,2,6,0,5,1,4,2,6,0
