village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mandal,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,8,2,0,10,10,0,10,0,10,0
Hindorna,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,10,0,8,2,10,0,10,0,10,0
Kadiyali,0,0,10,10,0,0,10,0,0,0,10,0,3,7,0,0,10,0,,10,0,8,2,10,0,10,0,10,0
Vad,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,1,9,5,5,9,1,10,0,10,0
Charodiya,0,0,10,10,0,0,10,0,0,0,10,0,1,9,0,0,10,0,,8,2,10,0,10,0,10,0,10,0
Rabhda,0,0,10,10,0,0,10,0,0,0,10,0,2,8,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Rampara No-1,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,5,5,6,4,10,0,10,0,10,0
Zampodar,0,0,10,10,0,0,10,0,0,0,10,0,2,8,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Khambhaliya,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,9,1,9,1,10,0,10,0,10,0
Dungarparda,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,7,3,3,7,10,0,10,0,10,0
Zanzarda,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,10,0,1,9,10,0,10,0,10,0
Morangi,0,0,10,10,0,0,10,0,0,0,10,0,7,3,0,0,10,0,,10,0,2,8,9,1,10,0,10,0
Mobhiyana Mota,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,3,7,8,2,10,0,10,0,10,0
Mandardi Navi-Juni,0,0,10,10,0,0,10,0,0,0,10,0,1,9,0,0,10,0,,9,1,2,8,10,0,10,0,10,0
Kundaliyala,0,0,10,10,0,0,10,0,0,0,10,0,6,4,0,0,10,0,,10,0,1,9,10,0,10,0,10,0
Barbatana,0,0,10,10,0,0,10,0,0,0,10,0,7,3,0,0,10,0,,9,1,0,10,9,1,10,0,10,0
Vavera,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Rajula,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,10,0,3,7,10,0,10,0,10,0
Chhatadiya,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,9,1,3,7,10,0,10,0,10,0
Dipadiya,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,4,6,8,2,10,0,10,0,10,0
Nesdi No -1,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,8,2,1,9,10,0,10,0,10,0
Sajanavav,0,0,10,10,0,0,10,0,0,0,10,0,3,7,0,0,10,0,,6,4,4,6,10,0,10,0,10,0
Mobhiyana Nana,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,8,2,6,4,10,0,10,0,10,0
Khakhbai,0,0,10,10,0,0,10,0,0,0,10,0,6,4,0,0,10,0,,8,2,4,6,10,0,10,0,10,0
Zinzka,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,5,5,7,3,10,0,10,0,10,0
Ringaniyala Nana,0,0,10,10,0,0,10,0,0,0,10,0,4,6,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Dungar,0,0,10,10,0,0,10,0,0,0,10,0,5,5,0,0,10,0,,10,0,7,3,10,0,10,0,10,0
Vadli,0,0,10,10,0,0,10,0,0,0,10,0,6,4,0,0,10,0,,10,0,4,6,9,1,10,0,10,0
