village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Mogri (OG),0,0,10,10,0,0,4,5,1,10,0,4,5,1,0,0,10,10,0,10,0,10,0,6,4,10,0
Ode,0,0,10,10,0,0,7,3,0,10,0,5,4,1,0,0,10,10,0,10,0,10,0,10,0,10,0
Gamdi (CT),0,0,10,10,0,0,6,4,0,10,0,8,2,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Rasnol,0,0,10,10,0,0,3,2,5,10,0,9,1,0,0,0,10,10,0,10,0,10,0,6,4,10,0
Kasor,0,0,10,10,0,0,5,3,2,10,0,6,4,0,0,0,10,9,1,10,0,10,0,9,1,10,0
Ajarpura,0,2,8,10,0,0,6,2,2,10,0,8,2,0,0,0,10,9,1,10,0,10,0,8,2,10,0
Chikhodra,0,3,7,10,0,0,10,0,0,10,0,7,3,0,0,0,10,9,1,9,1,10,0,9,1,10,0
Kunjrao,0,2,8,10,0,0,9,1,0,10,0,10,0,0,0,0,10,10,0,10,0,10,0,7,3,10,0
Rajupura,0,0,10,10,0,0,7,3,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Vans Khiliya,0,1,9,10,0,0,7,3,0,10,0,6,4,0,0,0,10,10,0,10,0,10,0,6,4,10,0
Sarsa,0,0,10,10,0,0,7,3,0,10,0,10,0,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Khambholaj,0,0,10,10,0,0,10,0,0,10,0,8,2,0,0,0,10,10,0,10,0,10,0,9,1,10,0
Valasan,0,5,5,10,0,0,4,5,1,10,0,8,2,0,0,0,10,9,1,10,0,10,0,8,2,10,0
Vaghasi,0,1,9,10,0,0,6,3,1,10,0,10,0,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Meghva Gana,0,0,10,10,0,0,10,0,0,10,0,9,1,0,0,0,10,9,1,10,0,10,0,7,3,10,0
Sandesar,0,1,9,10,0,0,9,1,0,10,0,8,2,0,0,0,10,10,0,10,0,10,0,10,0,10,0
Gopalpura,0,2,8,10,0,0,7,3,0,10,0,8,2,0,0,0,10,10,0,10,0,10,0,4,6,10,0
Adas,0,0,10,10,0,0,5,4,1,10,0,7,2,1,0,0,10,10,0,10,0,10,0,7,3,10,0
Ramnagar,0,0,10,10,0,0,9,1,0,10,0,5,5,0,0,0,10,9,1,10,0,10,0,6,4,10,0
Vaherakhadi,0,1,9,10,0,0,5,4,1,10,0,6,4,0,0,0,10,6,4,10,0,10,0,9,1,10,0
Jakhariya,0,1,9,10,0,0,5,4,1,8,2,5,4,1,0,0,10,9,1,10,0,10,0,6,4,10,0
Vadod,0,1,9,10,0,0,8,2,0,9,1,7,3,0,0,1,9,8,2,9,1,10,0,8,2,10,0
Napad Talpad,0,4,6,10,0,0,9,1,0,10,0,10,0,0,1,0,9,10,0,9,1,10,0,7,3,10,0
Khandhali,0,0,10,10,0,0,6,4,0,10,0,7,3,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Sundan,0,5,5,10,0,0,10,0,0,10,0,10,0,0,0,0,10,10,0,10,0,10,0,10,0,10,0
Samarkha,0,4,6,10,0,0,9,0,1,10,0,9,1,0,0,0,10,10,0,9,1,10,0,7,3,10,0
Karamsad,0,0,10,10,0,0,9,0,1,10,0,9,1,0,0,0,10,10,0,10,0,10,0,9,1,10,0
Bakrol,0,3,7,10,0,0,10,0,0,10,0,7,3,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Boriavi,0,0,10,10,0,0,10,0,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,6,4,10,0
Tarnol,0,0,10,10,0,0,6,4,0,10,0,6,4,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Rahtalav,0,0,10,10,0,0,8,2,0,10,0,6,4,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Kherda,0,0,10,10,0,0,5,4,1,10,0,3,7,0,0,0,10,9,1,10,0,10,0,8,2,10,0
Lambhvel,0,0,10,10,0,0,10,0,0,10,0,5,5,0,2,0,8,10,0,10,0,10,0,7,3,10,0
Khanpur,0,2,8,10,0,0,8,1,1,10,0,10,0,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Jol,0,0,10,10,0,0,9,1,0,10,0,5,5,0,0,0,10,9,1,10,0,10,0,7,3,10,0
Gana,0,1,9,10,0,0,10,0,0,10,0,10,0,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Bedva,0,0,10,10,0,0,8,2,0,10,0,8,2,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Mogar,0,0,10,10,0,0,7,3,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Jitodiya (Part),0,0,10,10,0,0,3,7,0,10,0,7,3,0,0,0,10,10,0,10,0,10,0,8,2,10,0
Anklavdi,0,0,10,10,0,0,2,7,1,10,0,9,1,0,0,0,10,3,7,10,0,10,0,10,0,10,0
Vasad,0,5,5,10,0,0,10,0,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,4,6,10,0
Navli,0,0,10,10,0,0,3,6,1,10,0,10,0,0,0,0,10,10,0,10,0,10,0,6,4,10,0
Napad Vanto,0,0,10,10,0,0,6,3,1,10,0,4,6,0,0,0,10,10,0,10,0,10,0,9,1,10,0
Hadgood (CT),0,0,10,10,0,0,7,3,0,10,0,9,1,0,0,0,10,9,1,10,0,10,0,8,2,10,0
Anand City,0,4,6,10,0,0,4,6,0,10,0,7,3,0,0,0,10,9,1,10,0,10,0,8,2,10,0
