village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jhilod,0,4,6,10,0,0,9,1,0,9,1,5,1,4,0,0,10,1,9,10,0,10,0,1,9,10,0
Ambali,0,4,6,10,0,0,10,0,0,10,0,6,1,3,0,0,10,0,10,10,0,10,0,0,10,9,1
Hathipura,0,3,7,10,0,0,8,2,0,10,0,3,4,3,0,0,10,0,10,10,0,10,0,1,9,10,0
Kosindra,0,8,2,10,0,0,7,3,0,7,3,8,0,2,0,0,10,2,8,8,2,10,0,2,8,9,1
Navapura,0,0,10,10,0,0,10,0,0,10,0,3,3,4,0,0,10,0,10,9,1,10,0,8,2,10,0
Chamara,0,5,5,10,0,0,6,4,0,4,6,10,0,0,0,0,10,0,10,9,1,10,0,2,8,10,0
Haldari,0,6,4,10,0,0,10,0,0,10,0,10,0,0,0,0,10,0,10,10,0,10,0,10,0,10,0
Anklav,0,10,0,10,0,0,4,6,0,10,0,10,0,0,0,0,10,2,8,10,0,10,0,1,9,9,1
Gambhira,0,0,10,10,0,0,10,0,0,10,0,7,1,2,0,0,10,0,10,10,0,10,0,10,0,10,0
Kanthariya,0,6,4,10,0,0,10,0,0,9,1,10,0,0,0,0,10,0,10,10,0,10,0,10,0,10,0
Ambav,0,5,5,10,0,0,9,1,0,10,0,10,0,0,0,0,10,0,10,10,0,10,0,10,0,10,0
Bhetasi (Talpad),0,5,5,10,0,0,7,3,0,9,1,9,1,0,0,0,10,1,9,10,0,10,0,0,10,10,0
Manpura,0,0,10,10,0,0,10,0,0,10,0,2,0,8,0,0,10,0,10,10,0,10,0,1,9,10,0
Amrol,0,6,4,10,0,0,6,4,0,8,2,8,1,1,0,0,10,4,6,9,1,10,0,6,4,10,0
Bhetasi Ba Bhag,0,8,2,10,0,0,10,0,0,10,0,10,0,0,0,0,10,0,10,10,0,10,0,10,0,10,0
Bamangam,0,6,4,10,0,0,9,1,0,10,0,8,1,1,1,0,9,0,10,10,0,10,0,8,2,10,0
Devapura,0,0,10,10,0,0,10,0,0,9,1,7,2,1,0,0,10,2,8,10,0,10,0,10,0,10,0
Lalpura,0,5,5,10,0,0,9,1,0,9,1,8,1,1,0,0,10,0,10,8,2,10,0,0,10,10,0
Khadol (Umeta),0,3,7,10,0,0,10,0,0,10,0,4,5,1,0,0,10,0,10,10,0,10,0,9,1,10,0
Narpura,0,0,10,10,0,0,9,1,0,7,3,3,7,0,0,0,10,0,10,9,1,10,0,10,0,10,0
Asarma,0,4,6,10,0,0,7,3,0,9,1,4,3,3,0,0,10,0,10,10,0,10,0,0,10,10,0
Navakhal,0,9,1,10,0,0,9,1,0,10,0,10,0,0,0,0,10,0,10,10,0,10,0,1,9,10,0
Bilpad,0,2,8,10,0,0,10,0,0,8,2,4,3,3,0,0,10,0,10,10,0,10,0,10,0,10,0
Umeta,0,1,9,10,0,0,9,1,0,8,2,3,1,6,0,0,10,3,7,8,2,10,0,10,0,10,0
Khadol (Haldari),0,6,4,10,0,0,5,5,0,9,1,7,2,1,0,0,10,4,6,10,0,10,0,10,0,10,0
Sankhyad,0,3,7,10,0,0,8,2,0,8,2,6,4,0,0,0,10,1,9,10,0,10,0,0,10,10,0
Asodar,0,5,5,10,0,0,10,0,0,8,2,9,1,0,0,0,10,0,10,10,0,10,0,10,0,10,0
Mujkuva,0,2,8,10,0,0,10,0,0,8,2,6,4,0,0,0,10,0,10,10,0,10,0,9,1,10,0
Kahanvadi,0,5,5,10,0,0,10,0,0,10,0,8,1,1,0,0,10,0,10,10,0,10,0,2,8,10,0
Joshikuva,0,9,1,10,0,0,7,3,0,8,2,10,0,0,0,0,10,1,9,9,1,10,0,5,5,10,0
Bhetasi Vanta,0,2,8,10,0,0,10,0,0,9,1,3,2,5,0,0,10,1,9,10,0,10,0,0,10,10,0
Bhanpura,0,6,4,10,0,0,5,5,0,8,2,8,2,0,0,0,10,2,8,10,0,10,0,0,10,10,0
