village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhachadiya,0,0,10,10,0,0,9,1,0,10,0,0,3,7,0,0,10,3,,8,2,10,0,10,0,6,4,9,1
Ambaghanta,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,0,1,1,0,1,0,0,1,0,1
Bhankhri,0,1,9,10,0,0,4,5,1,10,0,6,1,3,0,0,10,3,,7,3,10,0,9,1,7,3,8,2
Jasvantpura (Danta),0,1,9,10,0,0,5,5,0,9,1,4,3,3,0,0,10,5,,5,5,9,1,10,0,10,0,9,1
Chorasan,0,1,9,10,0,0,10,0,0,10,0,5,4,1,0,0,10,4,,5,5,8,2,10,0,7,3,10,0
Bhanpur,0,0,10,9,1,0,8,1,1,10,0,3,3,4,0,0,10,3,,7,3,8,2,10,0,6,4,10,0
Abhapura,0,1,9,10,0,0,9,1,0,8,2,7,1,2,0,0,10,4,,8,2,10,0,10,0,10,0,8,2
Harigadh,0,1,9,10,0,0,4,5,1,10,0,7,2,1,0,0,10,3,,3,7,10,0,10,0,10,0,7,3
Jagatapura,0,0,10,10,0,0,6,4,0,8,2,6,3,1,0,0,10,4,,8,2,9,1,10,0,7,3,8,2
Gadh (Danta),0,1,9,10,0,0,3,4,3,8,2,5,3,2,0,0,10,3,,5,5,10,0,9,1,7,3,9,1
Jamru,0,1,9,9,1,0,2,6,2,9,1,5,3,2,0,0,10,1,,6,4,9,1,9,1,7,3,9,1
Hathi Pagala,0,2,8,9,1,0,7,2,1,7,3,6,2,2,0,0,10,0,,6,4,10,0,10,0,10,0,9,1
Chhota Pipodara,0,3,7,10,0,0,9,0,1,10,0,6,1,3,0,0,10,4,,10,0,8,2,10,0,6,4,9,1
Jalana,0,0,10,10,0,0,3,6,1,10,0,3,4,3,0,0,10,2,,7,3,9,1,10,0,7,3,9,1
Danta,0,1,9,10,0,0,5,4,1,8,2,5,4,1,0,0,10,5,,8,2,9,1,9,1,6,4,9,1
Kanabiyavas,0,1,9,9,1,0,8,2,0,5,5,5,2,3,0,0,10,0,,5,5,10,0,9,1,9,1,9,1
Chokibor,0,2,8,10,0,0,6,4,0,8,2,5,1,4,0,0,10,4,,6,4,10,0,9,1,7,3,8,2
Bordiyala,0,0,10,9,1,0,9,1,0,9,1,4,5,1,0,0,10,6,,7,3,9,1,9,1,5,5,9,1
Amloi,0,2,8,9,1,0,7,1,2,10,0,7,2,1,0,0,10,5,,8,2,8,2,10,0,10,0,8,2
