village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Utiyadara,0,5,5,9,1,0,9,1,0,4,6,8,2,0,0,0,10,10,0,6,4,10,0,9,1,10,0
Sisodara,0,3,7,10,0,0,10,0,0,7,3,6,0,4,0,0,10,10,0,4,6,10,0,9,1,10,0
Kharod,0,1,9,10,0,0,10,0,0,5,5,6,1,3,0,0,10,10,0,5,5,10,0,10,0,10,0
Pardi Idris,0,0,10,9,1,0,10,0,0,5,5,0,2,8,0,0,10,10,0,6,4,10,0,10,0,10,0
Alonj,0,2,8,10,0,0,10,0,0,6,4,5,3,2,0,0,10,10,0,6,4,10,0,6,4,10,0
Bakrol,0,0,10,7,3,0,10,0,0,4,6,0,5,5,0,0,10,10,0,5,5,10,0,6,4,10,0
Kosamadi,0,0,10,10,0,0,9,1,0,7,3,5,3,2,0,0,10,10,0,4,6,10,0,5,5,10,0
Umarwada,0,0,10,7,3,0,5,5,0,6,4,5,4,1,0,0,10,10,0,3,7,10,0,10,0,10,0
Piludara,0,2,8,8,2,0,9,1,0,2,8,5,4,1,0,0,10,10,0,5,5,10,0,9,1,10,0
Sarthan,0,0,10,9,1,0,9,1,0,3,7,3,0,7,0,0,10,10,0,3,7,10,0,8,2,10,0
Nangal,0,5,5,6,4,0,9,1,0,10,0,8,1,1,0,0,10,10,0,6,4,10,0,10,0,10,0
Sajod,0,7,3,8,2,0,8,2,0,10,0,7,0,3,0,0,10,10,0,6,4,10,0,10,0,10,0
Pungam,0,2,8,10,0,0,10,0,0,10,0,2,3,5,0,0,10,10,0,7,3,10,0,9,1,10,0
Sakkarpor,0,2,8,10,0,0,9,1,0,10,0,5,3,2,0,0,10,10,0,5,5,10,0,9,1,10,0
Haripura,0,2,8,8,2,0,8,2,0,10,0,2,4,4,0,0,10,10,0,4,6,10,0,10,0,10,0
Taria,0,0,10,10,0,0,6,4,0,5,5,4,3,3,0,0,10,10,0,6,4,10,0,6,4,10,0
Dhanturiya,0,3,7,9,1,0,9,1,0,4,6,3,0,7,0,0,10,10,0,2,8,10,0,8,2,10,0
Bharan,0,0,10,10,0,0,10,0,0,7,3,5,3,2,0,0,10,10,0,4,6,10,0,10,0,10,0
Adadara,0,0,10,10,0,0,9,1,0,7,3,3,5,2,0,0,10,10,0,6,4,10,0,9,1,10,0
Ravidra,0,1,9,10,0,0,9,1,0,4,6,3,3,4,0,0,10,10,0,6,4,10,0,9,1,10,0
Bhadi,0,0,10,9,1,0,10,0,0,3,7,7,3,0,0,0,10,10,0,6,4,10,0,10,0,10,0
Panoli,0,2,8,10,0,0,10,0,0,8,2,4,0,6,0,0,10,10,0,7,3,10,0,8,2,10,0
Karmali,0,0,10,8,2,0,10,0,0,5,5,3,3,4,0,0,10,10,0,5,5,10,0,8,2,10,0
Telva,0,0,10,9,1,0,7,3,0,3,7,2,4,4,0,0,10,10,0,5,5,10,0,9,1,10,0
Motwan,0,0,10,10,0,0,9,1,0,7,3,5,0,5,0,0,10,10,0,5,5,10,0,9,1,10,0
Hajat,0,3,7,9,1,0,10,0,0,7,3,7,2,1,0,0,10,10,0,5,5,10,0,10,0,10,0
Adol,0,6,4,9,1,0,9,1,0,5,5,6,3,1,0,0,10,10,0,5,5,10,0,9,1,10,0
Amboli,0,0,10,10,0,0,8,2,0,4,6,7,1,2,0,0,10,10,0,7,3,9,1,9,1,10,0
Kanwa,0,2,8,10,0,0,3,7,0,3,7,7,3,0,0,0,10,10,0,3,7,10,0,5,5,10,0
Matied,0,2,8,8,2,0,10,0,0,4,6,2,1,7,0,0,10,10,0,2,8,10,0,7,3,10,0
Bhadkodara (CT),0,1,9,8,2,0,10,0,0,3,7,1,4,5,0,0,10,10,0,3,7,10,0,10,0,10,0
Gadkhol (CT),0,0,10,9,1,0,10,0,0,3,7,0,3,7,0,0,10,10,0,2,8,10,0,9,1,9,1
Andada (CT),0,0,10,10,0,0,10,0,0,6,4,1,5,4,0,0,10,10,0,6,4,10,0,10,0,10,0
Sangpor,0,0,10,10,0,0,10,0,0,6,4,0,3,7,0,0,10,10,0,7,3,10,0,10,0,10,0
Pardi Mokha,0,1,9,10,0,0,8,2,0,5,5,5,0,5,0,0,10,10,0,5,5,10,0,9,1,10,0
Kapodara,0,0,10,10,0,0,10,0,0,9,1,4,6,0,0,0,10,10,0,6,4,10,0,7,3,10,0
Piraman (Part),0,0,10,9,1,0,10,0,0,1,9,4,1,5,0,0,10,10,0,6,4,10,0,9,1,10,0
Dadhal,0,0,10,9,1,0,9,1,0,2,8,1,6,3,0,0,10,10,0,6,4,10,0,9,1,10,0
Kararvel,0,0,10,9,1,0,10,0,0,4,6,4,5,1,0,0,10,10,0,7,3,10,0,7,3,10,0
Uchhali,0,2,8,10,0,0,9,1,0,5,5,4,1,5,0,0,10,10,0,3,7,10,0,8,2,10,0
Diva,0,0,10,10,0,0,9,1,0,5,5,0,0,10,0,0,10,10,0,9,1,10,0,2,8,10,0
Divi,0,0,10,9,1,0,10,0,0,4,6,0,5,5,0,0,10,10,0,7,3,10,0,7,3,10,0
Surwadi,0,0,10,10,0,0,10,0,0,10,0,2,3,5,0,0,10,10,0,10,0,10,0,7,3,10,0
Samor,0,1,9,10,0,0,10,0,0,6,4,2,5,3,0,0,10,10,0,7,3,10,0,7,3,10,0
Mandvabuzarg,0,0,10,10,0,0,10,0,0,8,2,0,0,10,0,0,10,10,0,5,5,10,0,7,3,10,0
Chhapra,0,0,10,10,0,0,10,0,0,5,5,2,3,5,0,0,10,10,0,6,4,10,0,10,0,10,0
Borbhatha Bet,0,0,10,9,1,0,10,0,0,2,8,4,3,3,0,0,10,10,0,7,3,10,0,6,4,10,0
Sarangpore (CT),0,1,9,9,1,0,8,2,0,3,7,7,2,1,0,0,10,10,0,4,6,9,1,3,7,10,0
Avadar,0,0,10,10,0,0,10,0,0,2,8,2,5,3,0,0,10,10,0,5,5,10,0,10,0,10,0
Piprod,0,3,7,8,2,0,10,0,0,3,7,8,2,0,0,0,10,10,0,6,4,9,1,7,3,10,0
Jitali,0,1,9,9,1,0,10,0,0,5,5,4,3,3,0,0,10,10,0,5,5,10,0,10,0,10,0
Amrutpura,0,0,10,8,2,0,8,2,0,5,5,4,5,1,0,0,10,10,0,0,10,10,0,5,5,10,0
Motali,0,0,10,10,0,0,8,2,0,1,9,0,0,10,0,0,10,10,0,1,9,10,0,6,4,10,0
Boidara,0,0,10,10,0,0,10,0,0,2,8,2,4,4,0,0,10,10,0,10,0,10,0,8,2,10,0
Naugama,0,0,10,7,3,0,9,1,0,1,9,1,4,5,0,0,10,10,0,3,7,10,0,9,1,10,0
Kansiya,0,0,10,10,0,0,10,0,0,5,5,2,0,8,0,0,10,10,0,6,4,10,0,7,3,10,0
Borbhatha,0,0,10,10,0,0,10,0,0,4,6,0,1,9,0,0,10,10,0,6,4,10,0,10,0,10,0
Sarfuddin,0,2,8,9,1,0,10,0,0,4,6,5,3,2,0,0,10,10,0,6,4,10,0,10,0,10,0
