village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ambadungar,0,6,4,10,0,0,7,3,0,0,10,10,0,0,0,0,10,10,0,0,10,10,0,9,1,10,0
Amsota,0,3,7,10,0,0,4,6,0,1,9,8,2,0,0,0,10,9,1,0,10,10,0,9,1,10,0
Aratiya,0,0,10,10,0,0,6,4,0,0,10,6,3,1,0,0,10,9,1,2,8,10,0,7,3,10,0
Athadungari,0,3,7,10,0,0,10,0,0,0,10,9,1,0,0,0,10,8,2,1,9,10,0,10,0,10,0
Amalvant,0,4,6,10,0,0,8,2,0,0,10,9,1,0,0,0,10,10,0,2,8,10,0,10,0,10,0
Asar,0,7,3,9,1,0,10,0,0,0,10,9,0,1,0,0,10,7,3,2,8,10,0,10,0,10,0
Uncheda,0,0,10,10,0,0,1,9,0,0,10,5,5,0,0,1,9,7,3,3,7,10,0,10,0,10,0
Umathi,0,4,6,10,0,0,10,0,0,0,10,9,1,0,0,0,10,10,0,3,7,10,0,10,0,10,0
Karvi,0,5,5,10,0,0,7,3,0,1,9,8,1,1,0,0,10,8,2,2,8,10,0,10,0,10,0
Kadipani,0,7,3,10,0,0,10,0,0,1,9,9,1,0,0,0,10,9,1,4,6,10,0,10,0,10,0
Kanalva,0,7,3,10,0,0,6,3,1,0,10,10,0,0,0,0,10,9,1,0,10,10,0,9,1,10,0
Kavant (CT),0,3,7,10,0,0,7,3,0,0,10,9,1,0,0,0,10,9,1,3,7,10,0,10,0,10,0
Katkavant,0,3,7,10,0,0,2,8,0,0,10,10,0,0,0,0,10,9,1,5,5,10,0,10,0,10,0
Usela,0,5,5,10,0,0,10,0,0,0,10,9,1,0,0,0,10,10,0,4,6,10,0,9,1,10,0
Kasarvav,0,1,9,10,0,0,4,6,0,0,10,9,0,1,0,0,10,9,1,2,8,10,0,9,1,10,0
Kanabeda,0,5,5,10,0,0,8,2,0,0,10,7,2,1,0,0,10,8,2,1,9,10,0,10,0,10,0
Undva,0,5,5,10,0,0,10,0,0,0,10,7,3,0,0,0,10,8,2,2,8,10,0,9,1,10,0
Keldhara,0,5,5,10,0,0,10,0,0,0,10,9,1,0,0,0,10,7,3,1,9,10,0,10,0,10,0
Kaidavant,0,5,5,10,0,0,6,3,1,1,9,9,1,0,0,0,10,9,1,3,7,10,0,10,0,10,0
Karajvant,0,2,8,10,0,0,0,10,0,1,9,9,1,0,0,0,10,10,0,2,8,10,0,10,0,10,0
Kochvad,0,1,9,10,0,0,10,0,0,0,10,7,3,0,0,0,10,9,1,3,7,10,0,10,0,10,0
Kakanpur,0,3,7,10,0,0,0,10,0,0,10,9,0,1,0,0,10,10,0,6,4,10,0,10,0,10,0
Mota Vanta,0,1,9,3,6,1,8,0,2,10,0,9,0,1,0,0,10,10,0,7,3,10,0,0,10,10,0
Kotbi,0,2,8,6,3,1,10,0,0,4,6,9,1,0,0,0,10,10,0,5,5,10,0,6,4,10,0
Nakhal,0,4,6,10,0,0,8,2,0,1,9,9,1,0,0,0,10,8,2,9,1,10,0,9,1,10,0
Khasra,0,4,6,0,9,1,9,0,1,10,0,9,1,0,0,0,10,10,0,9,1,10,0,0,10,10,0
Moti Chikhli,0,3,7,1,8,1,9,1,0,10,0,10,0,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Raysingpura (Kavant),0,1,9,1,7,2,9,1,0,10,0,8,1,1,0,0,10,10,0,9,1,10,0,0,10,10,0
Bildha,0,2,8,0,7,3,9,1,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Titod,0,5,5,0,8,2,10,0,0,10,0,8,2,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Nana Vanta,0,0,10,0,8,2,10,0,0,10,0,8,2,0,0,0,10,10,0,10,0,10,0,0,10,9,1
Bunjar,0,0,10,1,9,0,10,0,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Jamba,0,2,8,0,9,1,9,1,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Bhekhadiya,0,3,7,1,8,1,10,0,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Jamli (Muset),0,1,9,1,8,1,8,1,1,9,1,10,0,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Nalvant,0,2,8,0,9,1,10,0,0,9,1,10,0,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Nakvindhiya,0,4,6,0,8,2,9,1,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Vankaner,0,2,8,1,9,0,10,0,0,10,0,9,1,0,0,0,10,10,0,10,0,10,0,0,10,10,0
Padvani,0,2,8,0,8,2,9,1,0,10,0,9,1,0,0,0,10,9,1,10,0,10,0,0,10,10,0
