village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pandadi,0,0,10,9,1,0,4,6,0,6,4,0,4,6,0,0,10,3,,6,4,5,5,9,1,0,10,9,1
Vajelav,0,0,10,8,1,1,7,2,1,7,3,0,6,4,0,0,10,3,,5,5,5,5,10,0,0,10,8,2
Nalwai,0,0,10,7,3,0,6,3,1,6,4,0,5,5,0,0,10,3,,6,4,5,5,9,1,0,10,8,2
Chandla,0,0,10,9,1,0,6,4,0,6,4,0,4,6,0,0,10,4,,6,4,4,6,10,0,0,10,10,0
Patiya,0,1,9,9,0,1,5,5,0,5,5,1,3,6,0,0,10,2,,7,3,5,5,9,1,0,10,9,1
Gangardi,0,0,10,9,1,0,6,4,0,6,4,0,4,6,0,0,10,3,,6,4,4,6,9,1,0,10,10,0
Tunki Anop,0,0,10,9,1,0,3,6,1,7,3,0,4,6,0,0,10,4,,5,5,4,6,10,0,0,10,10,0
Bhutardi,0,0,10,9,1,0,5,4,1,6,4,0,4,6,0,0,10,4,,5,5,5,5,10,0,0,10,9,1
Chharchhoda,0,0,10,8,2,0,4,6,0,7,3,0,5,5,0,0,10,4,,6,4,3,7,10,0,0,10,9,1
Ambli,0,0,10,9,1,0,4,6,0,7,3,0,4,6,0,0,10,3,,6,4,5,5,9,1,0,10,8,2
Gangarda,0,0,10,9,1,0,4,6,0,7,3,0,4,6,0,0,10,3,,6,4,5,5,9,1,0,10,10,0
Sahada,0,0,10,8,2,0,4,6,0,6,4,0,5,5,0,0,10,3,,6,4,5,5,9,1,0,10,10,0
Bhe,0,0,10,9,1,0,3,6,1,6,4,0,4,6,0,0,10,3,,6,4,5,5,10,0,0,10,10,0
Bharsada,0,0,10,8,2,0,4,6,0,6,4,0,4,6,0,0,10,3,,7,3,5,5,9,1,0,10,10,0
Panchwada,0,0,10,9,1,0,5,5,0,5,5,0,5,5,0,0,10,4,,6,4,5,5,10,0,0,10,10,0
Garbada,0,0,10,9,1,0,3,7,0,6,4,0,4,6,0,0,10,3,,6,4,4,6,9,1,0,10,9,1
Zari Bujarg,0,0,10,9,1,0,5,4,1,6,4,0,6,4,0,0,10,3,,7,3,5,5,10,0,0,10,10,0
Nadhelav,0,1,9,8,2,0,5,4,1,6,4,1,4,5,0,0,10,3,,6,4,5,5,9,1,0,10,10,0
Gulbar,0,0,10,8,2,0,4,6,0,7,3,0,4,6,0,1,9,3,,6,4,3,7,10,0,0,10,10,0
Simaliya Bujarg,0,0,10,9,1,0,6,4,0,6,4,0,5,5,0,0,10,4,,6,4,5,5,9,1,0,10,9,1
Boriyala,0,0,10,9,1,0,4,6,0,6,4,0,4,6,0,0,10,3,,6,4,5,5,9,1,0,10,10,0
Patiya Zol,0,0,10,9,1,0,5,5,0,6,4,0,4,6,0,0,10,3,,7,3,5,5,9,1,0,10,10,0
Jambua,0,1,9,8,2,0,4,6,0,6,4,1,4,5,0,0,10,3,,6,4,3,7,10,0,0,10,8,2
Matwa,0,0,10,9,1,0,3,7,0,6,4,0,5,5,0,0,10,4,,6,4,4,6,10,0,0,10,9,1
Nelsur,0,0,10,9,1,0,3,7,0,6,4,0,4,6,0,0,10,3,,6,4,5,5,10,0,0,10,10,0
Abhlod,0,1,9,9,0,1,5,4,1,7,3,1,3,6,0,0,10,4,,4,6,5,5,9,1,0,10,9,1
Nimach,0,0,10,9,1,0,3,7,0,6,4,0,5,5,0,0,10,3,,6,4,5,5,10,0,0,10,10,0
Dadur,0,0,10,9,1,0,5,5,0,6,4,0,5,5,0,0,10,4,,6,4,4,6,10,0,0,10,10,0
Jesawada,0,0,10,9,1,0,4,6,0,6,4,0,5,5,0,0,10,3,,6,4,4,6,10,0,0,10,10,0
Nandva,0,0,10,8,1,1,4,6,0,5,5,0,4,6,0,0,10,3,,6,4,5,5,9,1,0,10,8,2
Vadva,0,0,10,9,0,1,4,6,0,6,4,0,5,5,0,0,10,3,,6,4,5,5,10,0,0,10,10,0
Minakyar,0,0,10,9,1,0,3,6,1,6,4,0,5,5,0,0,10,3,,7,3,5,5,10,0,0,10,10,0
Tunki Vaju,0,0,10,9,1,0,3,7,0,6,4,0,5,5,0,0,10,3,,6,4,3,7,10,0,0,10,10,0
Devdha,0,0,10,8,1,1,3,6,1,5,5,0,5,5,0,0,10,4,,5,5,5,5,10,0,0,10,10,0
