village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bandhda,0,0,10,5,5,0,4,6,0,8,2,1,8,1,0,0,10,10,0,2,8,3,7,0,10,10,0
Bhatiya,0,0,10,10,0,0,5,4,1,8,2,0,5,5,0,0,10,10,0,3,7,3,7,0,10,10,0
Umatwada,0,7,3,6,4,0,7,2,1,8,2,1,6,3,0,0,10,10,0,2,8,2,8,0,10,10,0
Meghpur,0,0,10,8,2,0,6,3,1,6,4,2,4,4,0,0,10,9,1,1,9,4,6,0,10,10,0
Santalpur,0,7,3,7,3,0,7,3,0,8,2,0,7,3,0,0,10,10,0,4,6,4,6,1,9,10,0
Khorasa,0,0,10,10,0,0,6,3,1,8,2,0,8,2,0,0,10,8,2,3,7,9,1,0,10,10,0
Navada,0,0,10,10,0,0,3,6,1,7,3,1,5,4,0,0,10,10,0,3,7,5,5,1,9,10,0
Nagadiya,0,0,10,8,2,0,4,5,1,7,3,0,7,3,0,0,10,10,0,3,7,5,5,0,10,10,0
Vaspada,0,0,10,9,1,0,5,5,0,8,2,1,4,5,0,0,10,9,1,4,6,4,6,0,10,10,0
Tikar-padardi,0,3,7,10,0,0,5,5,0,6,4,2,5,3,0,0,10,10,0,4,6,5,5,0,10,10,0
Mahobatpur,0,0,10,10,0,0,7,3,0,8,2,1,4,5,0,0,10,10,0,3,7,5,5,0,10,10,0
Sonardi,0,0,10,10,0,0,3,5,2,6,4,0,7,3,0,0,10,6,4,2,8,6,4,0,10,10,0
Kanjha,0,0,10,9,1,0,5,5,0,8,2,0,7,3,0,0,10,8,2,1,9,3,7,0,10,10,0
Kajaliya Mota,0,0,10,7,3,0,6,4,0,8,2,2,5,3,0,0,10,8,2,2,8,0,10,0,10,10,0
Kajaliya Nana,0,0,10,9,1,0,4,6,0,9,1,1,8,1,0,0,10,9,1,1,9,2,8,0,10,10,0
Khokharda,0,0,10,9,1,0,6,4,0,8,2,0,5,5,0,0,10,9,1,3,7,8,2,0,10,10,0
Gadoi,0,0,10,6,4,0,7,3,0,7,3,1,5,4,0,0,10,10,0,1,9,8,2,0,10,10,0
Koyli,0,0,10,9,1,0,5,5,0,8,2,0,8,2,0,0,10,9,1,3,7,3,7,0,10,10,0
Thanapipli,0,0,10,8,1,1,3,6,1,6,4,0,6,4,0,0,10,10,0,2,8,5,5,0,10,10,0
Lushala,0,0,10,4,6,0,3,7,0,9,1,0,6,4,0,0,10,5,5,1,9,1,9,0,10,10,0
Vanthali,0,1,9,8,2,0,6,3,1,10,0,1,5,4,0,0,10,9,1,3,7,7,3,0,10,10,0
Ravni,0,0,10,7,3,0,7,2,1,7,3,0,7,3,0,0,10,8,2,2,8,0,10,0,10,10,0
Bantiya,0,6,4,8,2,0,5,5,0,7,3,0,6,4,0,0,10,10,0,3,7,8,2,1,9,10,0
Dungri,0,0,10,9,1,0,4,5,1,7,3,0,7,3,0,0,10,9,1,1,9,5,5,0,10,10,0
Bodka,0,0,10,7,3,0,6,4,0,9,1,0,6,4,0,0,10,8,2,2,8,3,7,0,10,10,0
Ganthila,0,0,10,9,1,0,3,7,0,5,5,1,7,2,0,0,10,10,0,3,7,6,4,0,10,10,0
Khumbhdi,0,0,10,9,1,0,6,4,0,8,2,0,5,5,0,0,10,10,0,1,9,6,4,0,10,10,0
Raypur,0,0,10,10,0,0,7,3,0,8,2,0,6,4,0,0,10,4,6,3,7,5,5,0,10,10,0
Sukhpur,0,0,10,9,1,0,5,5,0,8,2,1,9,0,0,0,10,9,1,2,8,3,7,0,10,10,0
Tinmas,0,8,2,9,1,0,2,7,1,6,4,1,7,2,0,0,10,9,1,1,9,4,6,0,10,10,0
Kanjhadi,0,0,10,6,4,0,4,6,0,8,2,0,8,2,0,0,10,9,1,3,7,4,6,0,10,10,0
Balot,0,5,5,8,2,0,5,5,0,10,0,0,5,5,0,0,10,10,0,4,6,8,2,1,9,10,0
Sendarda,0,0,10,9,1,0,3,6,1,8,2,0,6,4,0,0,10,9,1,2,8,6,4,0,10,10,0
Naredi,0,0,10,9,1,0,5,5,0,8,2,1,5,4,0,0,10,8,2,3,7,4,6,0,10,10,0
Akha,0,7,3,10,0,0,5,3,2,7,3,2,4,4,0,0,10,10,0,2,8,1,9,0,10,10,0
Luvarsar,0,0,10,9,1,0,5,4,1,9,1,0,8,2,0,0,10,10,0,1,9,9,1,0,10,10,0
