village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chhachhi,0,5,5,9,1,0,10,0,0,10,0,5,2,3,2,0,8,4,,10,0,10,0,9,1,7,3,10,0
Vadsar,0,2,8,8,2,0,8,2,0,10,0,2,3,5,0,0,10,0,,10,0,9,1,7,3,7,3,10,0
Bhanada,0,6,4,6,4,0,10,0,0,10,0,5,2,3,3,0,7,7,,10,0,10,0,8,2,3,7,10,0
Hothiay,0,0,10,8,2,0,10,0,0,9,1,0,3,7,3,0,7,1,,10,0,10,0,6,4,5,5,10,0
Sukhpar (Sayand),0,4,6,10,0,0,8,2,0,10,0,4,5,1,0,0,10,0,,10,0,9,1,5,5,7,3,10,0
Ber Nani,0,2,8,10,0,0,10,0,0,10,0,2,3,5,0,0,10,1,,10,0,7,3,7,3,6,4,10,0
Varadiya,0,2,8,9,1,0,8,2,0,10,0,1,4,5,0,0,10,4,,10,0,10,0,7,3,7,3,10,0
Karaiya,0,1,9,8,2,0,10,0,0,6,4,1,2,7,4,0,6,2,,10,0,5,5,10,0,5,5,10,0
Raydhanjar,0,3,7,8,2,0,9,1,0,10,0,3,4,3,0,0,10,0,,10,0,10,0,6,4,4,6,10,0
Mohadi,0,0,10,10,0,0,8,2,0,10,0,0,3,7,2,0,8,4,,10,0,5,5,5,5,5,5,10,0
Lala,0,3,7,8,2,0,10,0,0,10,0,2,3,5,4,0,6,3,,10,0,6,4,8,2,3,7,10,0
Butta (Abdawali),0,4,6,7,3,0,9,1,0,10,0,4,0,6,1,0,9,6,,10,0,7,3,5,5,4,6,10,0
Navavas (Vandh),0,0,10,9,1,0,10,0,0,10,0,0,0,10,0,0,10,5,,10,0,5,5,10,0,6,4,10,0
Kala Talav,0,3,7,10,0,0,10,0,0,10,0,3,3,4,4,0,6,0,,10,0,10,0,8,2,3,7,10,0
Vagoth,0,0,10,8,2,0,10,0,0,10,0,0,1,9,1,0,9,4,,10,0,5,5,9,1,4,6,10,0
Kandhay,0,0,10,9,1,0,9,1,0,9,1,0,4,6,2,0,8,1,,10,0,10,0,9,1,6,4,10,0
Kuvapaddhar,0,7,3,9,1,0,10,0,0,10,0,7,2,1,0,0,10,4,,10,0,10,0,9,1,4,6,10,0
Chavadaka,0,1,9,7,3,0,8,2,0,10,0,1,2,7,4,0,6,6,,10,0,0,10,9,1,7,3,10,0
Khuado,0,6,4,7,3,0,9,1,0,10,0,4,6,0,4,0,6,5,,10,0,10,0,4,6,4,6,10,0
Samanda,0,6,4,10,0,0,9,1,0,10,0,3,7,0,0,0,10,0,,10,0,7,3,9,1,4,6,10,0
VARANDI MOTI,0,0,10,10,0,0,10,0,0,10,0,0,3,7,1,0,9,10,,10,0,7,3,6,4,5,5,10,0
Dhunvai,1,5,4,10,0,0,9,1,0,10,0,4,3,3,1,0,9,7,,10,0,10,0,10,0,9,1,10,0
Bara,0,0,10,9,1,0,8,2,0,10,0,0,1,9,1,0,9,0,,10,0,9,1,4,6,8,2,10,0
Naliya,0,2,8,6,3,1,9,1,0,10,0,2,5,3,0,0,10,1,,10,0,10,0,10,0,6,4,10,0
Sandhav,0,7,3,10,0,0,9,1,0,10,0,6,4,0,0,0,10,1,,10,0,10,0,2,8,8,2,10,0
Nundhatad,0,4,6,10,0,0,10,0,0,10,0,3,3,4,4,0,6,1,,10,0,10,0,6,4,4,6,10,0
Nandhra Mota,0,1,9,8,2,0,9,1,0,9,1,0,2,8,2,0,8,4,,10,0,10,0,8,2,5,5,10,0
Bhavanipar,0,2,8,8,2,0,8,2,0,10,0,2,3,5,0,0,10,1,,10,0,8,2,7,3,4,6,10,0
Daha,0,4,6,7,3,0,9,1,0,10,0,2,3,5,1,0,9,2,,10,0,3,7,6,4,3,7,10,0
