village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kachhol,0,0,10,10,0,0,10,0,0,10,0,0,4,6,0,0,10,0,,1,9,10,0,10,0,10,0,10,0
Kumbhar Faliya,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Sadlav,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,2,8,10,0,10,0,10,0,10,0
Sisodra (Ganesh),0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,3,7,10,0,10,0,10,0,10,0
Adada,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,2,8,10,0,10,0,10,0,10,0
Pardi,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Kanbad,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,9,1,10,0,10,0,10,0,10,0
Chandravasan Supa,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,7,3,8,2,10,0,10,0,10,0
Wada Adda,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,4,6,10,0,10,0,10,0,10,0
Telada,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Khergam,0,0,10,10,0,0,10,0,0,10,0,0,6,4,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Ugat,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,8,2,9,1,10,0,10,0,10,0
Vasar,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Vachharvad,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Nasilpor,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,3,7,10,0,10,0,10,0,10,0
Asundar,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Ambada,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Dantej,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Boriach,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,6,4,10,0,10,0,10,0,10,0
Virwadi,0,0,10,10,0,0,10,0,0,10,0,0,4,6,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Munsad,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Toli,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Dabhalai,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Nagdhara,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Butlav,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Mogar,0,0,10,10,0,0,8,1,1,10,0,1,1,8,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Rajwada,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,2,8,10,0,10,0,10,0,10,0
Kambada,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,7,3,10,0,10,0,10,0,10,0
Bhunwadi,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Puni,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Khadsupa,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,7,3,10,0,10,0,10,0,9,1
Partapor,0,1,9,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Bhula Faliya,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,5,5,10,0,10,0,10,0,10,0
Ashtagam,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,5,5,10,0,10,0,10,0,10,0
Satem,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Sarpor,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Dhaman,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Bhattai,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,2,8,10,0,10,0,10,0,10,0
Navapara,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,1,9,10,0,10,0,10,0,10,0
Dandesar,0,0,10,10,0,0,10,0,0,10,0,0,4,6,0,0,10,0,,0,10,10,0,10,0,10,0,10,0
Pera,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Pinsad,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Padgha,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,2,8,6,4,10,0,10,0,10,0
Mahudi,0,0,10,10,0,0,10,0,0,10,0,0,3,7,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Navatalav,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,5,5,10,0,10,0,10,0,10,0
Dharagiri,0,0,10,10,0,0,10,0,0,10,0,0,4,6,0,0,10,0,,8,2,9,1,10,0,10,0,10,0
Kurel,0,0,10,10,0,0,10,0,0,10,0,0,9,1,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Moldhara,0,0,10,10,0,0,9,1,0,10,0,0,0,10,0,0,10,0,,3,7,10,0,10,0,10,0,9,1
Parthan,0,0,10,10,0,0,10,0,0,9,1,0,6,4,0,0,10,0,,10,0,9,1,10,0,9,1,10,0
Sarona,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Shahu,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,5,5,9,1,10,0,10,0,10,0
Arsan,0,0,10,10,0,0,10,0,0,10,0,0,4,6,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Sarai,0,0,10,10,0,0,10,0,0,10,0,0,5,5,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Un,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,7,3,10,0,10,0,10,0,10,0
Onchi,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,4,6,9,1,10,0,10,0,10,0
Amri,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,8,2,10,0,10,0,10,0
Tarsadi,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Kasbapar,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,3,7,10,0,10,0,10,0,10,0
Kadipor,0,0,10,10,0,0,10,0,0,10,0,0,2,8,0,0,10,0,,2,8,10,0,10,0,10,0,10,0
Vejalpor,0,0,10,10,0,0,10,0,0,10,0,0,0,10,0,0,10,0,,9,1,10,0,10,0,10,0,10,0
Supa,0,0,10,10,0,0,10,0,0,10,0,0,7,3,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Amadpor,0,0,10,10,0,0,9,1,0,10,0,0,2,8,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Singod,0,0,10,10,0,0,10,0,0,10,0,0,1,9,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
