village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dhana Ladanpur (19),0,0,2,199,1,1,1,0,200,200,1,7,5,189,0,1,200,141,60,69,131,201,0,0,1,198,3
Azadnagar (147),0,0,0,199,1,0,24,176,0,197,3,4,44,152,48,0,152,4,196,199,1,200,0,0,0,200,0
Asalwas Marhata (55),0,0,0,45,158,1,18,110,76,204,0,1,10,193,0,17,187,77,127,112,92,195,9,0,0,201,3
Mitathal (6),0,0,0,1,196,2,15,99,85,198,1,1,8,190,0,0,199,68,131,97,102,185,14,0,0,164,35
Mandhana (48),0,0,0,0,198,2,0,198,2,200,0,17,64,119,0,0,200,0,200,195,5,200,0,0,0,200,0
Nathuwas (14),0,0,0,60,139,1,21,160,19,195,5,8,75,117,3,1,196,19,181,101,99,199,1,0,0,124,76
Mundhal Khurd (57),0,0,0,44,155,1,22,174,4,199,1,0,11,189,0,0,200,24,176,147,53,188,12,0,0,183,17
Kayla (117),0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Ajitpura (105),0,0,0,16,181,5,4,181,17,191,11,43,66,93,1,5,196,7,195,97,105,170,32,0,0,104,98
Kelanga (130),0,0,0,153,46,0,5,188,6,199,0,15,24,160,0,0,199,140,59,125,74,185,14,0,0,171,28
Dinod (26),0,0,0,9,191,1,0,199,2,201,0,2,35,164,0,1,200,0,201,102,99,171,30,0,0,110,91
Manheru (113),0,0,0,0,169,3,11,157,4,168,4,18,67,87,1,0,171,28,144,144,28,145,27,0,0,49,123
Bamla (15),0,0,0,139,59,2,8,182,10,196,4,6,36,158,0,0,200,110,90,107,93,195,5,0,0,181,19
Kalinga Panu Sawai (130),0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0
Roopgarh (99),0,0,0,13,253,4,5,265,0,270,0,22,72,175,8,0,262,32,238,233,36,259,11,2,0,202,68
Badala (118),0,0,0,1,1,0,0,1,1,2,0,0,2,0,0,0,2,0,2,2,0,1,1,0,0,2,0
Sanga (116),0,0,0,4,194,2,2,196,2,200,0,50,62,88,1,0,199,0,200,112,88,142,58,0,0,87,113
Sai (1),0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
Nangal (114),0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0
