village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Noswa(7),0,0,0,0,199,3,21,181,0,150,52,0,0,202,16,0,186,5,,178,24,146,56,202,0,0,0,202,0
Ramalwas(66),0,0,0,111,85,4,26,165,9,200,0,0,0,200,7,0,193,0,,188,12,167,33,162,38,0,0,197,3
Badal(84),0,0,0,163,40,5,29,171,8,205,3,0,0,208,75,0,133,0,,184,24,8,200,154,54,0,0,198,10
Bijna(184),0,0,0,182,31,1,23,165,26,209,5,0,0,214,64,0,150,0,,199,15,155,59,214,0,0,0,212,2
Norangawas Rajputan(11),0,0,0,0,174,6,21,159,0,139,41,0,0,180,0,0,180,27,,162,18,147,33,177,3,0,0,180,0
Asawri(83),0,0,0,0,162,38,19,181,0,147,53,0,0,200,2,0,198,0,,162,38,153,47,200,0,0,0,200,0
Balali(72),0,0,0,10,193,0,19,184,0,151,52,0,0,203,3,0,200,0,,169,34,106,97,203,0,0,0,203,0
Palri(181),0,0,0,196,4,0,43,157,0,200,0,3,183,14,56,1,143,0,,173,27,142,58,200,0,0,0,200,0
Kadma(57),0,0,0,15,190,0,11,194,0,141,64,0,0,205,4,0,201,0,,174,31,185,20,205,0,0,0,205,0
Dudhwa(177),0,0,0,77,117,7,23,178,0,171,30,1,62,138,0,0,201,0,,170,31,133,68,201,0,0,0,201,0
Mandoli(80),0,0,0,30,105,0,9,126,0,108,27,2,28,105,0,0,135,0,,122,13,109,26,135,0,0,0,135,0
Bindraban(14),0,0,0,8,190,1,21,178,0,163,36,0,0,199,9,0,190,0,,173,26,173,26,199,0,0,0,199,0
Chandeni(65),0,0,0,0,2,0,0,2,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,0,0,2,0
Norangawas Jattan(185),0,0,0,0,8,0,1,7,0,6,2,0,0,8,0,0,8,0,,8,0,6,2,8,0,0,0,8,0
