village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Piala (54) (CT),0,0,0,0,149,51,147,53,0,200,0,0,0,200,79,0,121,0,,200,0,199,1,0,0,0,0,200,0
Panehra Kalan(64),0,0,0,0,139,62,159,42,0,201,0,0,0,201,87,0,114,0,,201,0,201,0,0,0,0,0,201,0
Mojmabad majra,0,0,0,0,85,43,100,28,0,128,0,0,0,128,13,0,115,0,,128,0,128,0,0,0,0,0,128,0
Sikrona(40),0,0,0,0,136,67,154,49,0,203,0,0,0,203,102,0,101,26,,203,0,203,0,0,0,0,0,203,0
Ferozepur Kalan(41),0,0,0,0,126,62,134,54,0,188,0,0,0,188,64,0,124,0,,188,0,188,0,0,0,0,0,188,0
Shahpur Kalan(71),0,0,0,0,118,84,159,43,0,202,0,0,0,202,11,0,191,0,,202,0,202,0,0,0,0,0,202,0
Harphala (47),0,0,0,0,157,60,158,59,0,217,0,0,0,217,11,0,206,0,,217,0,215,2,0,0,0,0,217,0
Narhawali(66),0,0,0,0,152,48,147,53,0,200,0,0,0,200,19,0,181,0,,200,0,200,0,0,0,0,0,200,0
Mohna(204),0,0,0,0,135,61,154,42,0,196,0,0,0,196,85,0,111,0,,196,0,196,0,0,0,0,0,196,0
Jalalpur majra chainsa(199),0,0,0,0,101,82,130,53,0,183,0,0,0,183,87,0,96,0,,183,0,183,0,0,0,0,0,183,0
