village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pol(68),0,0,0,0,0,200,107,93,0,200,0,0,0,200,0,0,200,179,21,200,0,0,0,0,0,200,0
Agon(104),0,0,0,0,0,200,52,147,1,200,0,0,0,200,0,0,200,183,17,200,0,0,0,0,0,200,0
Rawli(91),0,0,0,0,0,200,96,104,0,200,0,0,0,200,0,0,200,145,55,200,0,0,0,0,0,200,0
Kol Gaon (95),0,0,0,0,0,200,42,158,0,200,0,0,0,200,0,0,200,171,29,200,0,0,0,0,0,200,0
Nasirbas(67),0,0,0,0,0,200,101,99,0,200,0,0,0,200,0,0,200,182,18,200,0,0,0,0,0,200,0
Biwan(148),0,0,50,6,0,194,111,89,0,200,0,0,0,200,6,0,194,181,19,200,0,0,0,0,0,199,1
Sakras(64),0,0,0,0,0,200,104,96,0,200,0,0,0,200,0,0,200,175,25,199,1,0,0,0,0,200,0
Mahoon(117),0,0,0,0,0,200,87,113,0,200,0,0,0,200,1,0,199,186,14,199,1,0,0,0,0,200,0
Madapur(77),0,0,0,0,0,200,55,145,0,200,0,0,0,200,117,0,83,190,10,200,0,0,0,0,0,200,0
Ahmadbas Ferozepur(71),0,0,0,200,0,0,79,121,0,200,0,0,0,200,0,0,200,185,15,200,0,0,0,0,0,200,0
Ghata Shamasabad(106),0,0,0,200,0,0,106,94,0,200,0,0,0,200,0,0,200,152,48,200,0,200,0,0,0,196,4
Ranyala Ferozepur(108),0,0,0,200,0,0,88,112,0,200,0,0,0,200,0,0,200,153,47,200,0,0,0,0,0,200,0
Nangli(76),0,0,0,200,0,0,125,75,0,200,0,0,0,200,0,0,200,200,0,200,0,200,0,0,0,189,11
Doha(94),0,0,0,200,0,0,142,58,0,200,0,0,0,200,0,0,200,181,19,177,23,200,0,0,0,112,88
Beriabas(97),0,0,0,200,0,0,143,57,0,200,0,0,0,200,0,0,200,185,15,181,19,199,1,0,0,113,87
Ferozepur Jhirka (Rural)(73),0,0,0,200,0,0,128,72,0,200,0,0,0,200,12,0,188,172,28,200,0,198,2,0,0,199,1
Bhond(85),0,0,0,200,0,0,136,64,0,200,0,0,0,200,5,0,195,198,2,200,0,200,0,0,0,198,2
