village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rasiawas (25),0,0,0,117,75,8,89,111,0,200,0,0,0,200,0,0,200,199,1,200,0,200,0,0,0,200,0
Rajgarh (47),0,0,0,199,1,0,0,199,1,196,4,0,0,200,0,0,200,200,0,198,2,200,0,0,0,200,0
Subasari (67),0,0,0,206,2,1,0,207,2,208,1,0,0,209,3,0,206,209,0,208,1,209,0,0,0,209,0
Gujriwas (159),0,0,0,200,0,0,0,200,0,200,0,0,0,200,1,0,199,200,0,200,0,200,0,0,0,200,0
Bawal (Rural)(37),0,0,0,200,0,0,8,191,1,200,0,0,0,200,1,0,199,200,0,200,0,200,0,0,0,200,0
Keshopur (23),0,0,0,200,0,0,0,200,0,200,0,0,0,200,0,0,200,200,0,200,0,200,0,0,0,200,0
Kanuka (45),0,0,0,192,0,0,0,192,0,192,0,0,0,192,0,0,192,192,0,192,0,192,0,0,0,192,0
Narsinghpur Garhi (8),0,0,0,198,2,0,1,89,110,162,38,0,0,200,0,0,200,200,0,187,13,200,0,0,0,200,0
Gujar Majri (52),0,0,0,196,4,0,0,187,13,184,16,0,0,200,0,0,200,200,0,193,7,200,0,0,0,200,0
Mohamadpur (12),0,0,0,200,0,0,19,152,29,200,0,0,0,200,1,0,199,200,0,200,0,200,0,0,0,200,0
Pawti (64),0,0,0,118,0,0,2,92,24,118,0,0,0,118,0,0,118,118,0,118,0,118,0,0,0,118,0
Jhabuwa (68),0,0,0,128,0,0,1,126,1,128,0,0,0,128,0,0,128,128,0,128,0,128,0,0,0,128,0
Pranpura (61),0,0,0,156,15,0,0,140,31,170,1,0,0,171,0,0,171,171,0,171,0,171,0,0,0,171,0
Alawalpur (72),0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
