village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bharin (46/10),0,2,0,0,2,0,0,2,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0
Bhalera (46/6),1,2,0,1,2,0,0,3,0,3,0,1,2,0,0,0,3,2,1,3,0,3,0,0,0,3,0
Ropri Baloya (44/53),1,3,0,0,4,0,1,3,0,4,0,1,3,0,0,0,4,4,0,3,1,4,0,0,0,4,0
Charian Di Dhar (62/32),1,1,0,0,2,0,0,2,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,0,0,2,0
Ropri (62/28),1,2,0,1,2,0,0,3,0,3,0,2,1,0,0,0,3,2,1,3,0,3,0,0,0,3,0
Jhokhar (45/57),0,5,0,0,5,0,1,4,0,5,0,3,2,0,0,0,5,5,0,5,0,5,0,0,0,5,0
Barin (45/62),0,8,0,1,7,0,0,8,0,8,0,4,4,0,0,0,8,8,0,8,0,8,0,0,0,8,0
Sawahlwa (45/81),3,1,0,0,4,0,1,3,0,4,0,1,2,1,0,0,4,4,0,4,0,4,0,0,0,4,0
Bahal (62/1),0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Kaloh (62/20),0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Bhater (62/17),1,5,0,0,6,0,0,6,0,6,0,3,3,0,0,0,6,6,0,6,0,6,0,0,0,6,0
Kakaryar (45/79),0,5,0,1,3,1,2,3,0,5,0,4,1,0,0,0,5,5,0,5,0,5,0,0,0,5,0
Khandehra (45/82),0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Dhango (45/51),0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Siswan (45/54),1,5,0,1,5,0,0,6,0,6,0,4,2,0,0,0,6,6,0,6,0,6,0,0,0,6,0
Dhawal (45/58),2,3,0,0,5,0,1,4,0,5,0,1,3,1,0,0,5,5,0,5,0,5,0,0,0,5,0
Kudwan Di Dhar (62/24),1,1,0,0,2,0,0,2,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,0,0,2,0
Loharkhar (62/3),0,7,0,3,4,0,0,6,1,7,0,5,2,0,0,0,7,7,0,7,0,7,0,0,0,7,0
Sawana (62/23),4,4,1,0,8,1,0,9,0,9,0,6,3,0,0,0,9,9,0,9,0,9,0,0,0,9,0
Dungi (44/37),0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Tikkar Upperla (44/47),1,1,0,0,2,0,1,1,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,0,0,2,0
Tikkar Buhla (44/28),0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Dasmal (45/36),0,3,0,0,3,0,0,3,0,3,0,2,1,0,0,0,3,2,1,3,0,3,0,0,0,3,0
Nohara (45/55),1,2,0,0,3,0,0,3,0,3,0,1,2,0,0,0,3,3,0,3,0,3,0,0,0,3,0
Baloh (45/32),0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
