village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ratnal,2,31,23,1,55,0,19,36,1,56,0,4,22,30,0,0,56,56,0,54,2,55,0,55,1,56,0
Sehora,0,9,6,0,15,0,4,11,0,15,0,1,4,10,0,0,15,15,0,14,1,15,0,15,0,15,0
Chakra,0,5,0,0,5,0,2,3,0,5,0,2,2,1,0,0,5,5,0,5,0,5,0,5,0,5,0
Kanhal,0,1,2,0,3,0,1,2,0,3,0,0,0,3,0,0,3,3,0,2,1,3,0,3,0,3,0
Chorli,0,6,3,0,9,0,6,3,0,9,0,1,5,3,0,0,9,9,0,9,0,9,0,9,0,9,0
Chak Jaralan,0,2,5,0,7,0,2,5,0,7,0,0,1,6,0,0,7,7,0,7,0,7,0,7,0,7,0
Chak Murar,0,12,8,0,20,0,6,14,0,20,0,1,6,13,0,0,20,20,0,20,0,20,0,20,0,20,0
Harsa Dabber,0,8,6,0,14,0,14,0,0,14,0,0,5,9,0,0,14,14,0,14,0,14,0,14,0,14,0
Sri Partap Singh Pura,2,18,5,0,25,0,20,5,0,25,0,3,16,6,0,0,25,24,1,23,2,25,0,24,1,25,0
Kulwal,5,17,3,2,23,0,2,22,1,25,0,10,11,4,0,0,25,25,0,25,0,25,0,25,0,25,0
Soungli,0,8,2,0,10,0,0,10,0,10,0,0,4,6,0,0,10,9,1,10,0,10,0,10,0,10,0
Dolain,0,6,4,0,10,0,0,10,0,10,0,0,2,8,0,0,10,10,0,10,0,10,0,10,0,10,0
Chak Hasal,2,51,38,2,89,0,11,80,0,91,0,7,33,51,0,0,91,89,2,89,2,91,0,91,0,91,0
Deoli,0,6,18,0,24,0,9,15,0,24,0,0,4,20,0,0,24,24,0,24,0,24,0,24,0,24,0
Jinder Khurd,0,12,3,0,15,0,7,8,0,15,0,2,9,4,0,0,15,15,0,15,0,15,0,13,2,15,0
Khairi,3,16,8,0,27,0,11,16,0,27,0,6,10,11,0,0,27,27,0,27,0,27,0,27,0,27,0
Kotli Charkan,1,4,0,0,5,0,4,1,0,5,0,0,1,4,0,0,5,5,0,5,0,5,0,5,0,5,0
Patiyari,0,6,2,0,8,0,4,4,0,8,0,0,2,6,0,0,8,8,0,8,0,8,0,5,3,8,0
Chak Waziru Brahmana,1,15,13,0,29,0,9,20,0,29,0,7,10,12,0,0,29,29,0,24,5,29,0,26,3,29,0
Nougran,1,10,4,0,15,0,13,2,0,15,0,0,5,10,0,0,15,15,0,15,0,15,0,12,3,15,0
Chak Lalla,1,13,14,0,28,0,6,22,0,28,0,1,11,16,0,0,28,28,0,28,0,28,0,28,0,28,0
Sultanpur,0,4,2,0,6,0,0,5,1,6,0,0,3,3,0,0,6,6,0,6,0,6,0,5,1,6,0
Bishnah,0,1,1,0,2,0,0,2,0,2,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,2,0
Chak Avtara,1,2,0,0,3,0,0,3,0,3,0,2,1,0,0,0,3,3,0,3,0,3,0,3,0,3,0
