village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kaloye,0,8,5,0,13,0,11,2,0,13,0,1,1,11,0,0,13,0,,13,0,13,0,13,0,13,0,13,0
Abdal,1,9,3,1,12,0,12,1,0,13,0,1,7,5,0,0,13,0,,13,0,13,0,13,0,13,0,13,0
Jangwal,0,1,1,0,2,0,0,2,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Jajowal,0,1,1,0,2,0,0,2,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Rakh Haripur,0,3,1,0,4,0,2,2,0,4,0,0,3,1,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Sai Khurd,0,4,4,0,8,0,1,7,0,8,0,0,1,7,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Mokhey,2,3,1,1,5,0,1,4,1,6,0,2,1,3,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Gharani,0,8,5,0,13,0,11,2,0,13,0,4,4,5,0,0,13,0,,13,0,13,0,13,0,13,0,13,0
Satowali,0,3,4,1,6,0,6,1,0,7,0,0,1,6,0,0,7,1,,7,0,7,0,7,0,7,0,7,0
Haripur,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Talhar,0,2,1,0,3,0,0,3,0,3,0,0,1,2,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Sai Kalan,0,2,4,0,6,0,0,5,1,6,0,0,0,6,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Sidher,0,3,0,0,3,0,0,3,0,3,0,0,2,1,0,0,3,0,,1,2,3,0,3,0,3,0,1,2
Panjgrain,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Satriyan Kalan,0,1,1,0,2,0,2,0,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Satriyan Khurd,1,2,1,1,3,0,4,0,0,4,0,0,1,3,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
Rangpur Mullania,0,5,3,0,8,0,8,0,0,8,0,0,5,3,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Chakrohi,3,6,4,0,13,0,11,2,0,13,0,2,7,4,0,0,13,0,,12,1,12,1,13,0,13,0,13,0
Badyal Quazian,0,6,0,1,5,0,0,6,0,6,0,0,3,3,0,0,6,0,,5,1,6,0,6,0,6,0,4,2
Sadhra,0,2,0,0,2,0,2,0,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Magowali,0,8,2,0,10,0,9,1,0,10,0,0,3,7,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Dewan Garh,0,5,4,0,9,0,2,7,0,9,0,0,3,6,0,0,9,0,,9,0,9,0,9,0,9,0,9,0
Pindi Sarochan Kalan,0,4,2,0,6,0,2,4,0,6,0,0,3,3,0,0,6,0,,6,0,6,0,6,0,5,1,6,0
Parlah,0,3,9,0,12,0,3,9,0,12,0,0,3,9,0,0,12,0,,12,0,12,0,12,0,11,1,12,0
Bokri,0,8,12,0,20,0,6,13,1,20,0,0,2,18,0,0,20,0,,19,1,19,1,20,0,20,0,19,1
Suchetgarh,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Chak Bhulla,0,2,2,0,4,0,0,4,0,4,0,0,1,3,0,0,4,0,,4,0,4,0,4,0,4,0,4,0
