village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Pandanpahari,0,0,47,0,44,3,0,13,34,42,5,4,14,29,0,42,5,2,,45,2,42,5,47,0,24,23,45,2
Ukhrapahari,0,0,11,0,9,2,0,6,5,8,3,1,4,6,0,10,1,2,,11,0,11,0,11,0,8,3,11,0
Masania,0,0,10,0,9,1,0,10,0,8,2,1,6,3,0,10,0,2,,10,0,10,0,10,0,3,7,10,0
Baghjhonpa,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Bara Dhania Pahari,0,0,24,0,23,1,0,23,1,20,4,2,8,14,0,20,4,1,,22,2,19,5,24,0,13,11,23,1
Jhirka,0,0,5,1,4,0,0,5,0,4,1,1,2,2,0,5,0,1,,5,0,5,0,5,0,2,3,5,0
Jaluaduba,0,0,30,0,28,2,0,29,1,25,5,3,13,14,0,28,2,0,,30,0,25,5,29,1,17,13,30,0
Kanaidih,0,0,49,0,47,2,0,4,45,47,2,6,17,26,0,45,4,2,,48,1,45,4,49,0,29,20,49,0
Joram,0,0,36,1,34,1,0,1,35,34,2,2,21,13,0,29,7,2,,35,1,20,16,36,0,26,10,36,0
Belaikandar,0,0,24,0,20,4,0,2,22,22,2,4,10,10,0,17,7,1,,23,1,20,4,24,0,16,8,24,0
Bhawanrpathar,0,1,28,0,28,1,0,2,27,26,3,1,9,19,0,24,5,0,,27,2,23,6,29,0,16,13,28,1
Bamerjhanti,0,1,30,3,27,1,0,1,30,30,1,0,17,14,0,21,10,1,,31,0,12,19,30,0,15,16,31,0
Domanpur,0,0,10,0,10,0,0,0,10,10,0,0,4,6,0,9,1,0,,10,0,8,2,10,0,8,2,10,0
Hirodih,0,0,23,2,20,1,0,0,23,23,0,5,7,11,0,20,3,1,,22,1,17,6,23,0,15,8,23,0
Kalhajhor,0,0,28,2,26,0,0,0,28,28,0,3,16,9,1,25,2,1,,27,1,24,4,28,0,12,16,28,0
Kendpahari,0,3,1,0,4,0,0,1,3,3,1,0,3,1,0,1,3,0,,4,0,3,1,4,0,3,1,4,0
Gandharap,0,0,14,3,11,0,0,0,14,14,0,4,6,4,0,11,3,0,,14,0,14,0,14,0,12,2,14,0
Nonadangal,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Sultanabad,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Jangla,0,0,20,3,16,1,0,1,19,20,0,9,5,6,1,16,3,1,,19,1,20,0,20,0,18,2,20,0
Astajora,0,35,84,5,74,40,1,62,56,81,38,4,55,60,0,51,68,0,,119,0,48,71,119,0,77,41,119,0
Baghasol,0,6,10,1,7,8,0,9,7,9,7,5,7,4,0,10,5,0,,16,0,3,13,16,0,13,3,16,0
Amjhari,0,13,23,1,18,17,0,14,22,25,11,11,18,7,0,19,17,0,,36,0,17,19,36,0,27,9,36,0
Saharjori,0,0,5,1,3,1,0,1,4,3,2,0,5,0,0,2,3,0,,5,0,3,2,5,0,2,3,5,0
Kolha,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,,1,0,0,1,1,0,1,0,1,0
Lakhanpur,0,2,0,0,2,0,0,1,1,2,0,0,1,1,0,0,2,0,,2,0,0,2,2,0,0,2,2,0
Raibandh,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
