village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Satkatiya,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Jamshol,0,0,2,0,1,1,2,0,0,2,0,0,1,1,0,2,0,2,0,2,0,2,0,2,0,2,0
Baramchatti,0,4,0,1,3,0,0,4,0,3,1,2,0,2,0,2,2,4,0,4,0,4,0,0,4,4,0
Gurguriya,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Lakshmipur,1,15,5,2,11,8,5,13,3,13,8,8,9,4,0,15,6,21,0,20,1,20,1,12,9,21,0
Kuchiya Kanali,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Lakshmihira,0,4,0,1,2,1,2,1,1,3,1,2,1,1,0,4,0,4,0,4,0,4,0,1,3,4,0
Dhadka,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
Jamdol,0,11,0,3,7,1,3,6,2,10,1,6,2,3,0,11,0,11,0,10,1,10,1,6,5,11,0
Sanghati,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Kenddangri,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Andhariya,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Muturkham,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0
Bend,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Bardikanpur,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Kenddangri,1,3,1,1,2,2,0,4,1,2,3,4,1,0,0,3,2,5,0,5,0,5,0,4,1,5,0
Katasmara,0,3,2,0,3,2,2,2,1,3,2,5,0,0,0,5,0,5,0,5,0,5,0,2,3,5,0
Kenddangri,0,4,0,1,2,1,2,2,0,2,2,2,2,0,0,3,1,4,0,4,0,4,0,2,2,4,0
Shyamsundarpur Aliasthakurba,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
