village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Royam,0,13,2,2,13,0,0,15,0,15,0,1,2,12,0,5,10,15,0,15,0,14,1,6,9,15,0
Latiga,0,63,14,26,51,0,4,73,0,77,0,25,25,27,0,27,50,77,0,77,0,76,1,36,41,77,0
Bhaduya,0,35,1,9,27,0,6,30,0,36,0,16,13,7,0,15,21,36,0,36,0,36,0,21,15,36,0
Bikrampur Alias Mainjhariya,0,113,13,46,80,0,7,119,0,126,0,34,55,37,1,52,73,126,0,125,1,126,0,71,55,126,0
Paruliya,0,21,6,3,19,5,3,19,5,23,4,6,7,13,0,12,14,27,0,26,1,27,0,18,9,27,0
Katsakra,0,33,4,12,25,0,5,31,1,37,0,7,14,16,0,11,26,37,0,36,1,37,0,22,15,37,0
Koilisuta,0,3,1,0,3,1,0,3,1,3,1,3,1,0,0,2,2,4,0,4,0,4,0,3,1,4,0
Jadugora (CT),0,4,0,1,3,0,2,2,0,4,0,0,3,1,0,0,4,4,0,3,1,4,0,2,2,4,0
Benashol,0,8,5,0,13,0,0,13,0,13,0,0,0,13,0,0,13,12,1,11,2,13,0,6,7,13,0
Badia,0,35,9,15,26,3,5,35,4,43,1,11,18,15,1,15,28,44,0,42,2,43,1,29,15,44,0
Musabani,0,2,1,0,3,0,0,3,0,3,0,0,0,3,0,2,1,3,0,2,1,3,0,1,2,3,0
Phuljhari,0,158,48,62,144,0,18,187,1,205,1,59,43,104,0,93,113,206,0,203,3,206,0,110,96,206,0
Gohla,1,371,141,113,355,45,33,441,39,478,35,95,135,282,2,181,325,513,0,485,28,512,1,257,256,512,1
Kumirmuri,0,6,0,1,5,0,0,6,0,6,0,3,1,2,0,1,5,6,0,6,0,6,0,3,3,6,0
Ichra,0,1,4,1,1,3,0,2,3,1,4,1,1,3,0,5,0,5,0,3,2,5,0,1,4,5,0
Merhiya,0,0,5,0,1,5,1,1,4,2,4,0,1,4,0,5,0,6,0,6,0,6,0,1,5,6,0
Kendadi,0,0,10,0,0,10,0,2,8,3,7,0,1,9,0,9,1,10,0,8,2,10,0,2,8,10,0
