village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Barai,0,0,6,0,5,1,0,6,0,6,0,1,4,1,0,4,2,0,,6,0,5,1,6,0,5,1,6,0
Sankhabara,0,5,5,0,9,1,1,9,0,10,0,0,7,3,0,4,6,0,,10,0,10,0,10,0,5,5,10,0
Kharkhari,0,2,19,5,11,5,0,12,9,16,5,2,8,11,0,2,19,0,,21,0,21,0,21,0,11,10,21,0
Partappur,0,6,4,0,9,1,2,8,0,10,0,2,8,0,0,4,6,0,,10,0,7,3,10,0,8,2,10,0
Pararmania,0,23,94,36,76,5,8,93,16,103,14,26,63,28,0,62,55,0,,117,0,114,3,115,0,90,27,117,0
Garaidih,0,5,7,0,10,2,1,11,0,12,0,0,11,1,0,4,8,0,,12,0,11,1,12,0,7,5,12,0
Kalyanpur,0,5,4,0,9,0,0,8,1,9,0,0,7,2,0,5,4,0,,9,0,8,1,9,0,9,0,9,0
Chitankhari,0,6,4,0,9,1,0,9,1,10,0,0,8,2,0,5,5,0,,10,0,6,4,10,0,8,2,10,0
Basudih,0,16,61,29,48,0,2,66,9,73,4,24,49,4,0,56,21,0,,77,0,76,1,77,0,59,18,77,0
Khairidih,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,2,0,,2,0,2,0,2,0,1,1,2,0
Sitaltola,0,1,69,20,50,0,0,60,10,70,0,4,55,11,0,42,28,0,,70,0,56,14,70,0,47,23,70,0
Madarkha,0,4,18,6,14,2,1,17,4,22,0,3,14,5,0,11,11,0,,22,0,22,0,22,0,13,9,22,0
Jaridih,0,7,26,11,19,3,3,24,6,31,2,9,17,7,0,20,13,0,,33,0,32,1,32,0,25,8,33,0
Kenduatanr,0,5,21,15,11,0,6,20,0,25,1,12,13,1,0,12,14,0,,26,0,26,0,26,0,16,10,26,0
Arari,0,0,16,16,0,0,0,16,0,16,0,0,15,1,0,15,1,0,,16,0,16,0,16,0,15,1,16,0
Toko,0,6,4,2,8,0,0,9,1,10,0,2,5,3,0,6,4,0,,10,0,10,0,9,0,8,2,10,0
Khedwara,0,3,8,4,5,2,0,10,1,11,0,2,3,6,0,4,7,0,,11,0,11,0,10,0,7,4,11,0
Duar Padhari,0,1,11,1,10,1,2,10,0,10,2,3,7,2,0,9,3,0,,12,0,12,0,12,0,10,2,12,0
Charghara,0,0,5,2,3,0,0,3,2,5,0,2,3,0,0,5,0,0,,5,0,5,0,5,0,5,0,5,0
Khankhipipar,0,2,14,8,6,2,1,13,2,15,1,4,12,0,0,10,6,0,,16,0,16,0,16,0,10,6,16,0
Baidapahari,0,0,6,0,6,0,1,4,1,5,1,0,6,0,0,5,1,0,,6,0,6,0,6,0,4,2,6,0
Salaidih Kalan,0,14,20,10,24,0,2,27,5,33,1,11,21,2,0,22,12,0,,34,0,34,0,34,0,28,6,34,0
Kendua,0,4,5,4,5,0,2,7,0,9,0,1,4,4,0,7,2,0,,9,0,9,0,9,0,5,4,9,0
Kharti,0,3,6,4,5,0,1,7,1,9,0,1,7,1,0,5,4,0,,9,0,9,0,9,0,7,2,9,0
Tato,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Gando,0,9,10,12,5,2,0,18,1,19,0,4,10,5,0,10,9,0,,19,0,19,0,18,0,13,6,19,0
Baghanal,0,0,3,2,1,0,0,3,0,3,0,0,3,0,0,2,1,0,,3,0,3,0,3,0,3,0,3,0
Gobindadih,0,13,35,17,26,5,3,40,5,48,0,10,25,13,0,24,24,0,,48,0,48,0,48,0,39,9,48,0
Gardih,0,1,1,1,1,0,1,1,0,2,0,0,1,1,0,1,1,0,,2,0,2,0,2,0,2,0,2,0
Margora,0,0,24,18,6,0,4,20,0,23,1,8,14,2,0,14,10,0,,24,0,24,0,24,0,23,1,24,0
Matiosingha,0,5,25,4,19,7,0,21,9,24,6,4,10,16,0,6,24,0,,30,0,30,0,29,0,21,9,30,0
Bhatudih,0,5,29,7,15,12,0,23,11,29,5,4,15,15,1,7,26,0,,34,0,34,0,34,0,26,8,34,0
Nagri,0,0,2,0,2,0,0,2,0,2,0,1,1,0,0,1,1,0,,2,0,2,0,2,0,1,1,2,0
Panduadih,0,1,7,4,4,0,0,7,1,8,0,2,5,1,0,6,2,0,,8,0,8,0,8,0,6,2,8,0
Kuruatanr,0,12,18,6,22,2,0,28,2,30,0,4,13,13,0,13,17,0,,30,0,30,0,30,0,23,7,30,0
Madangundi,0,0,4,3,1,0,1,2,1,4,0,1,3,0,0,3,1,0,,4,0,4,0,4,0,3,1,4,0
Dabri,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Chitakharu,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Baherwatanr,0,2,2,1,3,0,0,4,0,4,0,1,2,1,0,3,1,0,,4,0,4,0,4,0,4,0,4,0
Manik Diha,0,0,4,3,1,0,0,3,1,4,0,1,2,1,0,4,0,0,,4,0,4,0,4,0,4,0,4,0
Balgo,0,6,3,8,1,0,0,5,4,9,0,2,7,0,0,9,0,0,,9,0,9,0,9,0,6,3,9,0
Hariharpur,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Dharampur,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
