village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dhadhu,0,10,0,0,2,8,6,4,0,0,10,5,5,0,0,3,7,0,0,0,0,0,0,0,0,0,0
Komar,0,3,2,0,4,1,3,2,0,0,5,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0
Banio,2,7,7,4,12,0,5,11,0,0,14,4,4,8,0,2,14,0,0,0,0,0,0,0,0,0,0
Hathdih,0,3,1,0,4,0,2,2,0,0,4,1,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0
Masiatu,5,9,2,0,16,0,5,11,0,6,10,8,5,3,0,1,15,0,0,0,0,0,0,0,0,0,0
Rajbar,7,8,0,0,15,0,6,9,0,3,12,11,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0
Siram,0,14,6,1,7,12,15,5,0,0,19,4,10,6,0,13,7,0,1,0,0,0,0,0,0,0,0
Bhagea,0,11,7,3,2,13,9,9,0,0,18,4,6,8,0,9,9,0,0,0,0,0,0,0,0,0,0
Marangloiya,0,14,1,2,4,9,14,1,0,0,15,2,11,2,0,0,15,0,0,0,0,0,0,0,0,0,0
Bhaisadon,0,3,8,0,1,10,9,2,0,0,11,0,2,9,0,3,8,0,0,0,0,0,0,0,0,0,0
Jipua,0,19,5,7,4,13,19,4,1,0,23,7,13,4,0,5,19,0,0,0,0,0,0,0,0,0,0
Jogiadih,0,15,1,0,1,15,16,0,0,0,16,1,12,3,0,0,16,0,0,0,0,0,0,0,0,0,0
Balumath,2,2,0,0,3,1,4,0,0,0,4,2,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Chetag,0,18,2,0,7,13,20,0,0,0,20,2,16,2,0,8,12,0,0,0,0,0,0,0,0,0,0
Pindarkom,0,3,0,3,0,0,3,0,0,0,3,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Jala,0,2,0,2,0,0,2,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Bara,0,4,3,0,7,0,6,1,0,0,7,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0
Bishunpur,0,4,6,0,10,0,10,0,0,0,10,0,3,7,0,0,10,0,0,0,0,0,0,0,0,0,0
Seregara,0,8,11,2,16,1,14,5,0,0,19,0,6,13,0,0,19,0,0,0,0,0,0,0,0,0,0
