village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhainsmundoalias Bhaiyagaon,0,0,12,9,1,2,0,0,12,12,0,1,3,8,0,0,12,12,0,12,0,12,0,12,0,11,1
Nagri,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Akasi,0,0,6,3,3,0,0,0,6,5,1,0,2,4,1,0,5,6,0,5,1,6,0,6,0,3,3
Burka,0,0,2,1,1,0,0,0,2,2,0,0,0,2,0,0,2,2,0,2,0,2,0,2,0,1,0
Masmanothakurgaon,0,1,37,32,2,4,0,0,38,37,1,0,9,29,0,2,36,37,1,38,0,38,0,38,0,37,1
Baragain,0,0,44,36,5,3,0,0,44,39,4,1,5,38,2,0,42,43,1,44,0,43,0,44,0,44,0
Bhaunro,0,0,39,37,1,1,0,0,39,38,1,7,8,24,5,0,34,39,0,38,1,39,0,38,1,39,0
Kundo,0,0,16,14,2,0,0,0,16,16,0,0,1,15,2,1,13,15,1,16,0,16,0,16,0,16,0
Bedal,0,0,46,19,18,8,0,0,46,39,7,5,20,21,6,6,34,40,5,46,0,45,1,44,1,39,7
Pajhri,0,0,10,10,0,0,0,0,10,10,0,0,3,7,2,0,8,10,0,10,0,10,0,10,0,10,0
