village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Hatma,0,6,19,7,18,0,0,25,0,16,9,1,17,7,0,9,16,25,0,11,14,25,0,14,11,25,0
Nagra,0,9,31,7,33,0,7,33,0,13,27,6,15,19,0,21,19,40,0,21,19,40,0,17,23,40,0
Jhinghri,0,1,2,2,1,0,0,3,0,2,1,0,1,2,0,1,2,3,0,0,3,3,0,2,1,3,0
Chund,0,1,2,2,1,0,1,2,0,1,2,2,0,1,0,1,2,3,0,1,2,3,0,2,1,3,0
Bargari,0,1,2,1,2,0,0,3,0,3,0,1,2,0,0,1,2,3,0,2,1,3,0,3,0,3,0
Karge,0,1,8,2,7,0,0,9,0,1,8,0,4,5,0,3,6,9,0,6,3,9,0,7,2,9,0
Mesal,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Kaimbo,0,30,37,3,58,6,0,54,13,53,14,30,17,20,0,44,23,67,0,60,7,67,0,46,21,67,0
Barambe,0,1,2,1,2,0,0,3,0,1,2,0,2,1,0,1,2,3,0,1,2,3,0,1,2,3,0
Chatwal,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
