village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chirumatha,0,4,2,0,6,0,0,6,0,6,0,0,5,1,0,5,1,6,0,6,0,6,0,4,2,6,0
Gundiuli,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
Khatangbera,0,11,7,5,13,0,0,18,0,18,0,0,12,6,0,18,0,18,0,14,4,18,0,11,7,18,0
Saranga,0,3,12,3,12,0,0,15,0,15,0,0,6,9,0,11,4,15,0,9,6,15,0,1,14,15,0
Binju,0,3,2,2,3,0,0,5,0,4,1,0,3,2,0,5,0,5,0,3,2,5,0,2,3,5,0
Jorobari,0,20,7,3,24,0,0,26,1,26,1,1,19,7,0,26,1,27,0,24,3,27,0,23,4,27,0
Kurna,0,62,3,24,39,2,0,65,0,65,0,1,63,1,0,36,29,65,0,46,19,65,0,38,27,65,0
Borotika,0,28,19,10,37,0,0,45,2,47,0,0,30,17,0,35,12,47,0,41,6,47,0,39,8,47,0
Boreta,0,0,3,1,2,0,0,3,0,3,0,0,2,1,0,3,0,3,0,0,3,3,0,0,3,3,0
Runghi,0,10,3,5,8,0,0,13,0,13,0,1,11,1,0,8,5,13,0,9,4,13,0,10,3,13,0
Hasabera,0,3,8,2,10,0,0,11,1,12,0,0,5,7,0,11,1,12,0,6,6,12,0,5,7,12,0
Dumirta,0,44,0,28,16,0,0,43,1,44,0,1,39,4,0,30,14,43,1,13,31,44,0,13,31,44,0
Burhibil,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Srijang,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
Rangamati,0,8,0,1,7,0,0,8,0,8,0,0,8,0,0,6,2,8,0,8,0,8,0,7,1,8,0
Hontopa,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Anandpur,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Mahisgira,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
