village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rajgaon,0,15,17,10,22,0,2,30,0,32,0,2,16,14,0,8,24,32,0,23,9,32,0,21,11,32,0
Lonjo,0,16,1,8,9,0,0,17,0,16,1,0,10,7,0,14,3,17,0,15,2,17,0,6,11,17,0
Naranga,0,23,0,12,11,0,0,23,0,23,0,0,23,0,0,15,8,22,0,8,15,23,0,6,17,23,0
Dewanbir,0,16,13,6,23,0,0,24,5,29,0,1,6,22,0,26,3,29,0,11,18,28,1,8,21,29,0
Sarjamhatu,0,1,10,1,10,0,0,11,0,11,0,0,0,11,0,11,0,11,0,2,9,11,0,0,11,11,0
Banua,0,35,22,17,39,1,0,55,2,56,1,4,36,17,0,27,30,56,1,38,19,56,1,36,21,57,0
Jorapokhar,0,9,0,2,7,0,0,7,2,8,1,8,0,1,0,1,8,9,0,8,1,9,0,8,1,9,0
Naugaon,0,1,5,0,6,0,0,6,0,6,0,0,3,3,0,6,0,6,0,2,4,6,0,1,5,6,0
Kankowa,0,24,41,18,47,0,0,64,1,60,5,1,25,39,0,64,1,65,0,33,32,62,3,14,51,65,0
Punipada,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
Saraspos,0,5,0,3,2,0,0,5,0,5,0,0,5,0,0,2,3,5,0,4,1,5,0,2,3,5,0
Jhumpura,0,20,0,10,10,0,0,19,0,20,0,0,20,0,0,13,7,20,0,15,5,20,0,12,8,20,0
Jhingamarcha,0,5,0,1,4,0,0,5,0,5,0,0,5,0,0,3,2,5,0,5,0,5,0,5,0,5,0
Sonapos,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Segaisai,0,6,28,20,14,0,1,31,2,34,0,4,20,10,0,2,32,34,0,34,0,34,0,29,5,34,0
Brindawan,0,16,0,3,13,0,3,13,0,16,0,16,0,0,0,0,16,16,0,16,0,16,0,16,0,16,0
Parsa,0,2,18,2,18,0,0,18,2,20,0,1,4,15,0,5,15,19,1,20,0,19,1,19,1,20,0
Uran Chauka,0,2,24,6,20,0,0,24,2,26,0,3,18,5,0,0,26,26,0,26,0,26,0,21,5,26,0
