village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gitiladar,0,25,6,2,29,0,0,31,0,31,0,0,25,6,0,20,11,31,0,31,0,31,0,27,4,31,0
Angardiha,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Loahatu,0,11,4,3,12,0,0,15,0,15,0,0,10,5,0,9,6,15,0,13,2,15,0,13,2,15,0
Baduri,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0
Roladih,0,49,0,26,23,0,0,48,1,49,0,0,39,10,0,41,8,49,0,11,38,49,0,4,45,49,0
Kulaburu,0,93,1,34,59,1,0,93,1,94,0,0,67,27,0,80,14,94,0,19,75,94,0,6,88,94,0
Tuibana,0,21,0,13,8,0,0,21,0,21,0,0,17,4,0,6,15,21,0,5,16,21,0,0,21,21,0
Iligara,0,75,3,34,44,0,1,76,1,78,0,1,63,14,0,62,16,78,0,20,58,78,0,5,73,78,0
Chereapahari,0,36,0,14,22,0,0,36,0,36,0,2,34,0,0,16,20,36,0,26,10,36,0,22,14,36,0
Kathbari,0,28,2,4,26,0,0,30,0,30,0,3,27,0,0,20,10,30,0,29,1,30,0,28,2,30,0
Chirchi,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Ganjia,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
Khajuria,0,6,0,1,5,0,0,6,0,6,0,0,6,0,0,5,1,6,0,6,0,6,0,6,0,6,0
Hindudih,0,5,0,2,3,0,0,5,0,5,0,0,5,0,0,4,1,5,0,5,0,5,0,4,1,5,0
