village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ayyanapura,1,2,0,2,1,0,0,3,0,3,0,0,2,1,0,0,3,0,,0,3,1,2,3,0,0,3,3,0
Hondarabalu,0,1,10,2,7,2,0,7,4,11,0,0,0,11,1,0,10,0,,1,10,10,1,11,0,0,11,6,5
Nallur,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,0,1,1,0,1,0,0,1,1,0
Nagavalli,25,24,8,46,11,0,10,43,4,45,12,11,36,10,2,0,55,0,,23,34,46,11,55,2,1,56,52,5
Ammanapura,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,0,3,0,,0,3,3,0,3,0,0,3,3,0
Saraguru,3,29,77,25,84,0,0,92,17,102,7,1,7,101,0,0,109,3,,87,22,95,14,101,8,11,98,67,42
Bandigowdanahalli,3,15,0,6,5,7,0,2,16,18,0,1,7,10,0,4,14,0,,9,9,3,15,18,0,0,18,9,9
Basthipura,1,19,2,22,0,0,7,15,0,22,0,1,6,15,0,0,22,0,,10,12,20,2,22,0,6,16,22,0
Bevinathalapura,3,7,0,6,3,1,0,7,3,10,0,2,7,1,0,0,10,0,,7,3,2,8,10,0,0,10,9,1
Arakalavadi,5,2,0,7,0,0,2,5,0,7,0,5,1,1,0,2,5,1,,3,4,5,2,7,0,4,3,7,0
Achattipura,16,53,10,23,56,0,6,31,42,79,0,10,27,42,0,23,56,0,,15,64,50,29,78,1,8,71,79,0
Bokkepura,2,7,0,2,1,6,3,4,2,6,3,1,6,2,0,0,9,0,,1,8,3,6,9,0,4,5,9,0
Kengaki,6,4,0,1,9,0,1,8,1,10,0,3,6,1,0,0,10,0,,7,3,7,3,10,0,1,9,10,0
Sagade,21,30,1,4,48,0,10,31,11,47,5,14,17,21,0,0,52,0,,28,24,27,25,51,1,7,45,50,2
Bettadapura,15,15,1,1,20,10,0,23,8,22,9,7,20,4,0,0,31,0,,8,23,3,28,31,0,0,31,31,0
Kulagana,4,14,1,1,18,0,6,9,4,19,0,1,12,6,0,0,19,0,,2,17,9,10,19,0,3,16,19,0
Hirebegur,9,45,11,23,29,13,3,44,18,62,3,3,21,41,0,1,64,0,,35,30,11,54,60,5,0,65,60,5
Chikkabegur,16,35,4,6,24,25,5,36,14,36,19,9,25,21,0,0,55,0,,25,30,11,44,44,11,4,51,49,6
Kotamballi,1,5,1,2,4,1,3,3,1,1,6,0,4,3,0,0,7,0,,0,7,7,0,7,0,0,7,5,2
Homma,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,,0,1,1,0,1,0,0,1,1,0
Desavalli,2,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,0,,0,2,0,2,2,0,1,1,2,0
Puttanapura,1,3,2,3,2,1,1,3,2,6,0,0,3,3,0,0,6,0,,2,4,6,0,5,1,0,6,6,0
Kokkanahalli,14,20,3,28,7,2,2,30,5,37,0,8,23,6,1,0,36,0,,5,32,32,5,35,2,3,34,36,1
Hanchithalapura,5,8,0,5,8,0,1,10,2,13,0,1,8,4,1,0,12,0,,3,10,8,5,10,3,0,13,13,0
Bisalavadi,19,14,0,29,4,0,25,6,2,33,0,11,22,0,0,0,33,0,,6,27,13,20,31,2,15,18,32,1
Channappanapura,20,25,7,30,10,12,29,7,16,39,13,12,18,22,0,0,52,1,,4,48,34,18,52,0,7,45,51,1
Manchagundipura,15,4,0,8,11,0,14,4,1,19,0,9,9,1,0,3,16,0,,2,17,4,15,19,0,3,16,19,0
Vaddarahalli,56,44,27,5,97,25,14,74,39,126,1,56,11,60,0,15,112,0,,51,76,96,31,123,4,0,127,105,22
Yanagahalli,17,6,0,23,0,0,15,8,0,23,0,13,8,2,0,1,22,0,,18,5,18,5,23,0,13,10,23,0
Narasamangala,2,21,11,23,11,0,19,14,1,34,0,0,9,25,0,1,33,0,,3,31,1,33,34,0,3,31,23,11
Basavapura,19,17,3,34,1,4,24,12,3,38,1,6,20,13,0,0,39,2,,9,30,32,7,39,0,5,34,39,0
Badagalapura,6,4,0,0,9,1,0,0,10,10,0,3,4,3,0,0,10,0,,0,10,0,10,10,0,0,10,10,0
Devalapura,45,20,0,5,59,1,0,22,43,38,27,32,30,3,0,0,65,0,,19,46,51,14,50,15,0,65,64,1
Udigala,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,0,1,0,1,1,0,0,1,1,0
Kebbepura,8,35,0,5,23,15,3,24,16,42,1,4,24,15,0,1,42,0,,40,3,0,43,43,0,0,43,40,3
Aralikatte,35,50,5,5,60,25,5,43,42,61,29,17,43,30,1,0,89,0,,1,89,7,83,90,0,17,73,70,20
Bedarapura,52,98,11,56,105,0,33,112,16,148,13,34,69,58,0,0,161,2,,1,160,141,20,157,4,21,140,138,23
Heggavadipura,0,3,0,2,1,0,2,1,0,2,1,0,1,2,1,0,2,0,,1,2,2,1,3,0,1,2,3,0
Mudala Agrahara,13,17,9,34,5,0,5,8,26,35,4,8,12,19,2,0,37,0,,12,27,4,35,39,0,17,22,39,0
Kavudavadi,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,0,1,0,1,1,0,0,1,1,0
Thelanur,37,24,0,10,48,3,2,3,56,48,13,30,18,13,0,0,61,0,,0,61,7,54,60,1,25,36,61,0
Hebbasur,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,0,1,1,0,1,0,0,1,1,0
Jyothigowdanapura,6,20,6,19,13,0,5,25,2,32,0,4,14,14,3,0,29,0,,0,32,19,13,30,2,0,32,30,2
