village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nalkunda,15,510,15,382,144,14,355,184,1,538,2,134,226,180,2,0,538,160,380,312,228,537,3,329,211,458,82
Batlekatte,0,2,0,2,0,0,2,0,0,2,0,1,0,1,0,0,2,0,2,2,0,2,0,2,0,2,0
Giriyapura,2,23,0,20,5,0,22,3,0,25,0,4,7,14,0,0,25,6,19,5,20,22,3,12,13,14,11
Gummanur,0,28,1,23,6,0,19,10,0,29,0,6,17,6,0,0,29,0,29,12,17,28,1,21,8,28,1
Bavihalu,0,6,0,5,1,0,3,3,0,5,1,3,2,1,0,0,6,1,5,1,5,6,0,4,2,3,3
Honnur,2,13,0,11,4,0,13,2,0,15,0,4,7,4,0,0,15,1,14,9,6,14,1,11,4,15,0
Syagale,3,36,0,28,10,1,26,13,0,39,0,11,16,12,0,0,39,8,31,9,30,38,1,26,13,38,1
Doddamagadi,5,30,0,25,10,0,30,5,0,35,0,4,7,24,0,0,35,1,34,0,35,35,0,18,17,33,2
Naraganahalli,1,7,0,4,4,0,5,3,0,8,0,1,5,2,0,0,8,0,8,2,6,8,0,6,2,4,4
Hindasakatte,6,95,2,68,32,3,69,34,0,103,0,28,38,37,0,0,103,14,89,68,35,103,0,70,33,59,44
Anaji,3,13,1,12,5,0,13,4,0,17,0,4,5,8,0,0,17,0,17,12,5,17,0,12,5,15,2
Anagodu,0,17,0,12,4,1,14,3,0,17,0,6,6,5,0,0,17,2,15,8,9,17,0,14,3,12,5
Katihalli,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0
Hosahalli,5,30,0,26,9,0,28,7,0,35,0,6,19,10,0,0,35,5,30,29,6,33,2,29,6,22,13
Dyamavvanahalli,0,6,0,4,1,1,2,4,0,6,0,1,5,0,0,0,6,1,5,1,5,6,0,5,1,5,1
Kurki,0,6,0,5,1,0,4,2,0,6,0,0,1,5,0,0,6,1,5,4,2,6,0,5,1,6,0
Rudranakatte,4,36,0,26,14,0,24,16,0,40,0,4,7,29,0,1,39,0,40,18,22,35,5,23,17,38,2
Katanaikana Hosahalli,1,16,0,17,0,0,15,2,0,17,0,4,5,8,0,0,17,11,6,3,14,16,1,14,3,10,7
Thumbigere,1,4,0,3,2,0,5,0,0,5,0,2,2,1,0,0,5,0,5,0,5,4,1,5,0,2,3
Bullapura,8,89,1,70,24,4,77,21,0,98,0,21,34,43,0,0,98,88,10,88,10,97,1,73,25,94,4
Balluru,0,15,0,9,6,0,13,2,0,15,0,2,4,9,0,0,15,0,15,1,14,15,0,10,5,9,6
Kolenahalli,1,12,0,9,3,1,12,0,1,13,0,3,4,6,0,0,13,0,13,1,12,12,1,7,6,13,0
Bisaleri,0,14,0,11,3,0,12,2,0,14,0,0,5,9,0,0,14,0,14,2,12,13,1,14,0,6,8
Kadajji,4,80,0,68,15,1,70,13,1,84,0,12,33,39,0,0,84,1,83,43,41,74,10,65,18,58,26
Kakkaragolla,0,17,7,18,6,0,24,0,0,24,0,4,8,12,0,0,24,0,24,14,10,23,1,13,11,10,14
Obajjihalli,2,23,0,18,7,0,25,0,0,25,0,9,10,6,0,0,25,0,25,16,9,22,3,15,10,15,10
Gonivada,0,36,0,34,2,0,24,12,0,36,0,8,28,0,0,0,36,1,35,0,36,36,0,35,1,0,36
Hutchavvanahalli,3,30,0,24,8,1,24,9,0,33,0,9,11,13,1,0,32,4,29,23,10,33,0,22,11,4,29
Honnaikanahalli,0,4,0,4,0,0,2,2,0,4,0,0,1,3,0,0,4,0,4,2,2,4,0,2,2,2,2
Kenchammanahalli,0,2,0,2,0,0,2,0,0,2,0,1,0,1,0,0,2,0,2,0,2,2,0,2,0,1,1
Gudalu,0,20,0,17,3,0,17,3,0,20,0,5,9,6,1,0,19,6,14,8,12,20,0,14,6,16,4
Mallashettihalli,1,1,0,2,0,0,2,0,0,2,0,1,0,1,0,0,2,1,1,0,2,2,0,2,0,2,0
