village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Athaguru,0,1,17,8,9,1,13,1,4,10,8,1,11,6,0,0,18,0,,18,0,14,4,18,0,7,11,18,0
Kothana Halli,0,92,72,164,0,0,164,0,0,164,0,161,3,0,0,0,164,1,,10,154,164,0,164,0,162,2,164,0
Maradevanahalli,0,6,64,25,32,13,25,14,31,61,9,19,16,35,0,0,70,0,,69,1,36,34,70,0,37,33,70,0
Manigere,0,0,2,1,1,0,1,0,1,2,0,2,0,0,0,1,1,0,,2,0,0,2,2,0,2,0,2,0
Thore Settihalli,0,0,8,2,4,2,0,3,5,7,1,0,0,8,0,0,8,0,,2,6,4,4,8,0,0,8,8,0
Kadalur,0,4,40,7,24,13,10,2,32,21,23,0,10,34,0,0,44,0,,44,0,12,32,44,0,25,19,44,0
Byadrahalli,0,11,67,48,26,4,29,33,16,78,0,28,32,18,0,1,77,0,,64,14,68,10,78,0,20,58,78,0
Tarikere,0,3,40,41,2,0,26,17,0,43,0,36,6,1,0,0,43,0,,26,17,41,2,43,0,25,18,43,0
Madarahalli,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Alamsettahalli,0,4,135,18,51,70,0,30,109,127,12,1,0,138,0,0,139,0,,20,119,30,109,139,0,3,136,139,0
Koolagere,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Gopanahalli,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Kadukothanahalli,0,0,5,5,0,0,1,4,0,5,0,5,0,0,0,0,5,0,,5,0,2,3,5,0,0,5,5,0
Yaraganahalli,0,0,2,2,0,0,2,0,0,2,0,0,2,0,0,0,2,0,,1,1,1,1,2,0,1,1,2,0
Annur,0,6,135,128,10,3,70,63,8,140,1,121,14,6,7,2,132,1,,126,15,116,25,140,1,103,38,140,1
N.Kodihalli,0,33,38,62,9,0,61,10,0,71,0,67,4,0,0,0,71,0,,55,16,70,1,71,0,53,18,71,0
Dundanahalli,0,0,22,9,13,0,14,3,5,10,12,0,16,6,0,0,22,0,,22,0,17,5,22,0,8,14,22,0
Aruvanahalli,0,2,44,40,6,0,5,17,24,43,3,2,7,37,0,31,15,0,,44,2,6,40,46,0,3,43,46,0
Hosahalli,0,4,26,10,20,0,26,1,3,12,18,0,23,7,0,0,30,0,,30,0,27,3,30,0,15,15,30,0
Malagaranahalli,0,0,162,149,13,0,47,49,66,153,9,65,80,17,1,1,160,1,,131,31,143,19,162,0,7,155,161,1
