village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Channenahalli,0,1,107,69,38,1,34,71,3,35,73,0,4,104,0,21,87,0,,65,43,32,76,104,4,32,76,108,0
Rayapura,0,0,36,14,22,0,8,27,1,4,32,0,7,29,0,0,36,0,,22,14,4,32,36,0,4,32,36,0
Belagumba,0,4,4,8,0,0,0,8,0,0,8,0,4,4,0,0,8,0,,6,2,3,5,8,0,2,6,8,0
Kowthamaranahalli,0,1,103,96,8,0,24,80,0,76,28,0,1,103,0,0,104,0,,60,44,57,47,104,0,29,75,103,1
Kondanayakanahalli,0,0,9,9,0,0,6,3,0,1,8,0,0,9,0,0,9,0,,6,3,3,6,9,0,0,9,9,0
Kadaranahalli,1,26,35,59,3,0,20,41,1,42,20,19,30,13,0,0,62,1,,45,17,22,40,62,0,28,33,59,3
Urdigere,0,4,58,43,19,0,16,41,5,15,47,0,9,53,0,0,62,0,,24,38,10,52,61,1,3,59,57,5
Janupanahalli,0,0,14,14,0,0,7,7,0,2,12,0,3,11,0,0,14,0,,11,3,7,7,14,0,1,13,14,0
Hosahalli,0,15,52,47,20,0,9,57,1,33,34,0,18,49,0,0,67,0,,32,35,9,58,62,5,20,47,50,17
Mutsandra,0,0,21,21,0,0,21,0,0,8,13,0,0,21,0,0,21,0,,12,9,0,21,20,1,6,15,21,0
Honnenahalli,0,14,66,42,38,0,14,47,19,27,53,1,15,64,0,0,80,0,,38,42,30,50,75,5,15,65,79,1
Chikkathotlakere,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,,0,1,0,1,1,0,0,1,1,0
Chikkakodathakal,0,5,31,29,7,0,5,31,0,23,13,1,7,28,0,0,36,0,,13,23,28,8,36,0,17,19,36,0
Swandenahalli,0,2,1,2,1,0,0,2,1,1,2,0,2,1,0,0,3,0,,0,3,2,1,3,0,0,3,3,0
Beeranakal,0,0,10,10,0,0,10,0,0,8,2,0,0,10,0,0,10,0,,7,3,0,10,10,0,2,8,10,0
Ajjappanahalli,0,0,9,9,0,0,7,2,0,9,0,0,0,9,0,0,9,0,,5,4,0,9,9,0,7,2,9,0
Hirekodathakal,0,5,20,25,0,0,11,14,0,24,1,3,7,15,0,0,25,0,,2,23,24,1,25,0,17,8,25,0
Chiniga,0,25,19,33,9,2,21,23,0,42,2,7,26,11,0,0,44,0,,20,24,39,5,44,0,9,35,44,0
Hiredoddavadi,0,14,39,28,24,1,11,35,7,28,25,0,18,35,0,0,53,0,,16,37,3,50,50,3,10,43,38,15
Vaddarahalli,0,0,15,11,4,0,0,6,9,1,14,0,0,15,0,0,15,0,,10,5,0,15,15,0,3,12,15,0
Kestur,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,,1,0,1,0,1,0,1,0,1,0
