village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Anpur,0,40,288,145,155,28,327,0,1,319,9,40,230,58,28,0,300,297,31,276,52,322,6,40,288,325,3
Shivapur,0,0,13,3,10,0,13,0,0,13,0,0,13,0,0,0,13,13,0,13,0,13,0,7,6,13,0
Yedlapur,0,18,63,2,75,4,31,49,1,76,5,15,62,4,0,0,81,65,16,69,12,81,0,42,39,80,1
Devarahalli,0,33,49,80,2,0,34,46,2,82,0,18,64,0,0,0,82,74,8,76,6,82,0,67,15,82,0
Kamalanagar,0,0,29,24,5,0,25,4,0,27,2,0,23,6,4,0,25,24,5,29,0,29,0,13,16,28,1
Konkal,0,10,70,8,62,10,79,1,0,65,15,7,58,15,0,0,80,68,12,64,16,80,0,19,61,80,0
Chanderki,0,5,57,54,8,0,62,0,0,62,0,5,39,18,7,0,55,60,2,48,14,62,0,10,52,62,0
Borabanda,0,9,24,32,1,0,21,12,0,33,0,7,25,1,3,0,30,31,2,32,1,33,0,25,8,33,0
Budur,0,8,35,40,3,0,28,15,0,43,0,7,35,1,2,0,41,27,16,37,6,43,0,34,9,43,0
Yelahar,0,5,172,139,38,0,169,8,0,174,3,5,71,101,23,0,154,163,14,118,59,177,0,26,151,171,6
Chapetla,0,16,147,18,129,16,32,131,0,143,20,16,123,24,4,1,158,119,44,153,10,163,0,32,131,154,9
Gurmatkal(Rural),0,0,28,14,14,0,25,3,0,25,3,0,15,13,0,1,27,25,3,25,3,28,0,10,18,27,1
Narayanpur,0,5,43,24,24,0,29,19,0,47,1,6,26,16,9,0,39,47,1,38,10,48,0,20,28,48,0
