village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Laxmani,0,8,76,39,45,0,8,76,0,26,58,11,60,13,0,13,71,51,,51,33,4,80,35,49,5,79,71,13
Giljhiri,1,42,75,41,77,0,3,111,4,82,36,13,69,36,0,24,94,45,,104,14,7,111,71,47,13,105,117,1
Dhanpur,0,10,26,11,25,0,0,36,0,19,17,17,13,6,0,4,32,13,,34,2,8,28,18,18,4,32,33,3
Borkuwa,0,25,62,26,60,1,4,74,9,65,22,15,52,20,0,23,64,47,,66,21,10,77,46,41,6,81,70,17
Chachriyaumda,0,10,64,27,47,0,1,70,3,21,53,7,46,21,0,17,57,33,,50,24,4,70,42,32,1,73,63,11
Sejgaon,0,13,82,31,64,0,5,89,1,50,45,3,44,48,1,25,69,59,,52,43,4,91,65,30,10,85,79,16
Titi,0,2,63,20,45,0,0,64,1,17,48,9,38,18,1,7,57,21,,39,26,5,60,48,17,7,58,62,3
Adwada,0,10,60,32,38,0,0,66,4,41,29,7,33,30,1,12,57,35,,56,14,2,68,41,29,0,70,68,2
Girala,0,0,17,0,17,0,1,16,0,3,14,1,9,7,0,2,15,6,,2,15,3,14,12,5,2,15,14,3
Thanasemli,0,3,21,12,12,0,2,21,1,6,18,0,15,9,0,3,21,8,,20,4,4,20,21,3,3,21,23,1
Chichalguda,0,13,55,36,32,0,2,66,0,15,53,9,45,14,0,7,61,28,,47,21,2,66,32,36,1,67,61,7
Bahdiya Ki Choki,0,0,49,14,35,0,1,47,1,25,24,2,22,25,0,11,38,12,,22,27,2,47,38,11,14,35,42,7
Thod Sindi,0,19,20,14,25,0,4,35,0,38,1,9,19,11,0,7,32,14,,37,2,1,38,14,25,3,36,38,1
Baheda,0,3,48,16,34,1,2,47,2,27,24,13,31,7,0,7,44,6,,44,7,3,48,43,8,6,45,50,1
Haraswat,0,3,48,26,25,0,6,43,2,11,40,4,33,14,0,14,37,18,,21,30,3,48,30,21,6,45,48,3
Ambua,0,4,64,27,41,0,5,61,2,35,33,11,24,33,0,9,59,24,,49,19,7,61,52,16,7,61,64,4
Kotbu,0,1,65,25,40,1,1,63,2,30,36,7,32,27,0,14,52,36,,42,24,4,62,40,26,7,59,60,6
Fata,0,6,34,13,27,0,6,34,0,17,23,2,21,17,0,8,32,27,,12,28,1,39,27,13,1,39,34,6
Bhimbayda,0,4,47,20,31,0,3,47,1,25,26,0,25,26,0,10,41,35,,40,11,4,47,33,18,0,51,50,1
Indi,0,1,25,12,14,0,2,20,4,11,15,0,15,11,0,6,20,11,,11,15,0,26,20,6,3,23,25,1
Aali,0,6,32,5,32,1,3,35,0,20,18,3,26,9,1,5,32,23,,27,11,2,36,31,7,2,36,38,0
Somkuwa,0,30,41,22,49,0,4,66,1,53,18,24,30,17,0,25,46,61,,58,13,11,59,20,51,5,66,58,13
Kherwad,0,1,63,24,39,1,1,61,2,16,48,4,44,16,2,11,51,11,,52,12,2,62,44,20,9,55,55,9
Nanpur (CT),0,8,41,18,31,0,3,46,0,15,34,6,26,17,0,10,39,8,,40,9,4,45,34,15,11,38,47,2
Kukawat,0,12,66,40,38,0,4,71,3,28,50,9,47,22,0,14,64,26,,69,9,2,76,52,26,3,75,71,7
Baddala,0,12,47,20,39,0,0,58,1,15,44,7,39,13,0,12,47,19,,33,26,1,58,34,25,1,58,55,4
Bhawri,0,5,31,4,32,0,2,34,0,21,15,2,17,17,0,11,25,17,,26,10,2,34,26,10,0,36,25,11
Morasa,0,1,14,2,13,0,2,11,2,4,11,2,13,0,1,4,10,2,,12,3,1,14,13,2,4,11,14,1
Chichlana,0,10,44,20,34,0,3,51,0,21,33,2,26,26,2,10,42,26,,45,9,4,50,47,7,3,51,52,2
Darkali,1,34,117,73,77,2,10,141,1,71,81,17,86,49,0,31,121,58,,108,44,10,142,76,76,22,130,139,13
Panwani,0,0,32,8,23,1,0,32,0,9,23,2,13,17,2,6,24,11,,29,3,2,30,27,5,0,32,31,1
Doblajhiri,0,2,45,2,44,1,0,46,1,21,26,11,29,7,1,5,41,11,,37,10,5,42,36,11,1,46,40,7
Ramsingh Ki Choki,0,7,13,5,15,0,2,18,0,13,7,5,8,7,0,6,14,9,,20,0,2,18,9,11,2,18,19,1
Dipa Ki Choki,0,3,60,21,42,0,3,58,2,28,35,4,35,24,1,13,49,30,,45,18,1,62,28,35,8,55,55,8
Ambari,0,0,35,13,20,2,0,34,1,11,24,12,20,3,0,6,29,6,,34,1,3,32,28,7,3,32,35,0
Machhaliya,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,1,1,0
Kushalwai,0,2,1,0,3,0,0,3,0,3,0,0,2,1,0,0,3,3,,3,0,0,3,1,2,0,3,3,0
Gadat,0,1,1,1,1,0,0,2,0,2,0,1,1,0,1,0,1,1,,2,0,0,2,2,0,0,2,2,0
Chhota Undwa,0,2,19,3,18,0,0,21,0,19,2,9,8,4,0,0,21,5,,20,1,2,19,1,20,7,14,21,0
Ghunghasa,0,27,12,32,7,0,2,36,1,39,0,11,25,3,0,7,32,23,,36,3,10,29,23,13,10,29,36,3
Sukhi Bawadi,0,11,9,17,3,0,1,19,0,20,0,3,17,0,0,4,16,9,,20,0,4,16,17,3,3,17,20,0
Kawthu,0,13,34,15,30,2,1,46,0,43,4,11,21,15,0,1,46,27,,37,10,2,45,30,17,5,42,44,3
Bada Undwa,0,8,45,14,38,1,0,52,1,50,3,20,24,9,0,0,53,12,,44,9,2,51,14,39,17,36,53,0
Dudalwat,0,42,28,56,14,0,6,64,0,66,4,22,40,8,1,15,54,22,,69,1,8,62,40,27,7,63,67,3
Kharkhari,0,1,17,5,13,0,0,18,0,18,0,9,7,2,0,0,18,0,,13,5,2,16,4,14,8,10,18,0
Saija,0,7,41,18,30,0,3,45,0,14,34,5,25,18,0,2,46,7,,40,8,4,44,31,17,8,40,48,0
Masni,0,0,11,3,8,0,0,10,1,11,0,1,1,9,0,0,11,10,,11,0,1,10,5,6,0,11,11,0
