village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Talav,0,2,8,1,8,1,2,8,0,9,1,2,8,0,0,0,10,9,1,7,3,9,1,10,0,5,5
Jamanya,0,11,63,6,57,11,20,53,1,58,16,23,27,24,0,0,73,53,21,53,21,61,13,49,25,46,28
Jhakar,0,42,19,1,53,7,5,56,0,54,7,49,11,1,0,1,60,52,9,40,21,58,3,49,12,29,32
Niwali Buzurg,0,6,12,1,16,1,2,16,0,18,0,7,10,1,0,0,18,17,1,10,8,18,0,12,6,13,5
Pichhodi,0,0,2,0,2,0,0,2,0,2,0,2,0,0,0,0,2,2,0,0,2,2,0,1,1,0,2
Chatli,0,50,79,1,122,6,3,121,5,124,5,60,65,4,3,1,125,120,9,74,55,127,2,98,31,49,80
Wasawi,0,68,136,11,177,16,41,162,1,196,8,90,80,34,1,0,203,193,11,134,70,184,20,161,43,99,105
Bhoolgaon,0,58,65,26,97,0,23,100,0,118,5,67,56,0,1,0,122,121,2,79,44,123,0,97,26,79,44
Guljwari,0,67,157,30,175,19,38,185,1,200,24,87,101,36,2,0,221,198,26,156,68,202,22,181,43,158,66
Mansur,0,15,20,1,34,0,2,33,0,35,0,23,11,1,0,0,35,32,3,22,13,34,1,31,4,13,22
Wajhar,0,15,52,7,50,10,22,45,0,58,9,22,29,16,0,0,67,67,0,43,22,53,14,49,18,41,26
Sidadi,0,46,30,11,64,1,5,69,2,69,7,52,18,6,0,0,76,65,11,56,20,73,3,60,16,39,37
Niwalikhurd,0,5,5,2,7,1,2,8,0,5,5,6,2,2,1,0,9,9,1,7,3,10,0,8,2,5,5
Gumadya Buzurg,0,1,1,0,1,1,0,2,0,1,1,1,0,1,0,0,2,1,1,1,1,1,1,1,1,1,1
Gumadya Khurd,0,1,4,0,5,0,0,5,0,4,1,1,3,1,0,0,5,4,1,4,1,5,0,3,2,4,1
Khedi,0,82,130,28,157,27,71,138,3,191,21,86,73,53,0,1,210,181,31,149,62,171,41,148,64,139,73
Morgun,0,34,59,9,74,10,25,66,2,88,5,40,33,20,0,0,89,88,5,61,32,89,4,84,9,59,34
Merkhedi,0,90,32,23,85,14,19,99,4,102,20,88,30,4,0,5,117,73,49,79,43,105,17,89,33,75,47
Rajmali,0,3,5,0,7,1,4,4,0,7,1,3,1,4,0,0,8,7,1,5,3,5,3,5,3,7,1
Warlyapani,0,1,2,0,3,0,0,3,0,3,0,2,1,0,0,0,3,1,2,2,1,3,0,2,1,2,1
Jamaniyavan,0,23,21,4,32,8,8,34,2,31,12,38,5,1,0,0,44,38,6,42,2,44,0,33,11,22,21
Jharimatavan,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1
Bhangeedad,0,4,25,2,22,5,10,20,0,28,2,4,15,10,0,0,29,28,2,20,10,20,9,25,5,22,8
Pipaldhar,0,8,71,3,63,13,18,61,0,72,7,12,44,23,1,0,78,76,3,57,22,64,15,56,23,61,18
Salun,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Khadki,0,2,9,1,8,2,3,8,0,11,0,3,7,1,0,0,11,10,1,8,3,8,3,7,4,10,1
Kannadgaon,0,1,3,0,4,0,0,4,0,4,0,1,2,1,0,0,4,4,0,3,1,3,1,1,3,4,0
Nanijhari(Nanijhiri),0,0,2,0,2,0,0,2,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,1,1
Ghodlyapani,0,0,4,0,4,0,0,4,0,4,0,0,1,3,0,0,4,4,0,1,3,4,0,1,3,3,1
Mogarikheda,0,1,3,0,3,1,0,4,0,4,0,2,2,0,0,0,4,4,0,2,2,3,1,4,0,2,2
Dongalyapani,0,0,8,0,6,2,1,7,0,8,0,1,4,3,0,0,8,8,0,6,2,6,2,7,1,4,4
Rajmali,0,1,2,0,3,0,0,3,0,3,0,1,1,1,0,0,3,2,1,2,1,3,0,3,0,2,1
Sulgaon,0,14,50,4,50,10,16,47,1,60,4,20,28,16,0,0,64,59,5,49,15,50,14,40,24,51,13
Niliyarbawardi,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
Bhensdad,0,1,9,1,9,0,3,7,0,10,0,3,4,3,0,0,10,8,2,7,2,9,1,6,4,10,0
Kunjari,0,0,2,0,2,0,1,1,0,2,0,1,0,1,0,0,2,1,1,2,0,2,0,0,2,1,1
Dondwada,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Jharimata,0,1,3,1,3,0,1,3,0,4,0,1,1,2,0,0,4,3,1,3,1,4,0,3,1,4,0
Khampani,0,0,2,1,1,0,0,2,0,2,0,0,1,1,0,0,2,2,0,1,1,2,0,1,1,0,2
Kusmya,0,3,1,1,3,0,1,3,0,4,0,3,1,0,0,0,4,2,2,2,2,4,0,4,0,3,1
Kanpuri,0,0,2,0,2,0,0,2,0,2,0,0,1,1,0,0,2,2,0,1,1,2,0,1,1,1,1
