village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bhagupura,0,1,6,3,4,0,2,5,0,7,0,0,4,3,0,0,7,3,4,4,3,7,0,6,1,6,1
Rampurakhurd,0,3,6,4,5,0,4,4,1,8,1,2,4,3,0,0,9,6,3,6,3,9,0,8,1,8,1
Rubaha,0,4,23,19,7,1,14,13,0,26,1,6,10,11,0,0,27,18,9,18,9,26,1,23,4,27,0
Berkheda,0,7,7,8,6,0,9,5,0,13,1,6,4,4,0,0,14,10,4,7,7,14,0,13,1,13,1
Todapahad,0,2,5,3,2,2,4,2,1,7,0,1,3,3,0,0,7,5,2,6,1,7,0,6,1,7,0
Atreta,0,5,107,66,45,1,46,62,4,111,1,36,39,37,2,0,110,78,34,74,38,111,1,92,20,102,10
Nahla,0,5,10,6,9,0,5,10,0,14,1,2,8,5,0,0,15,11,4,7,8,15,0,13,2,14,1
Diguwan,0,0,47,24,23,0,27,19,1,47,0,11,18,18,0,0,47,24,23,26,20,46,1,44,3,45,2
Rampurabuzurg,0,5,6,6,5,0,4,7,0,11,0,3,6,2,0,0,11,7,4,6,5,11,0,10,1,9,2
Cheena,0,0,141,54,80,7,59,76,6,132,9,40,55,46,0,0,141,92,49,78,63,139,2,115,26,130,11
Maliyapura,0,7,15,8,13,1,8,14,0,21,1,4,12,6,0,0,22,13,9,16,6,22,0,19,3,18,4
Basaimalak,0,4,3,5,2,0,4,3,0,5,2,3,2,2,0,0,7,6,1,4,3,7,0,6,1,4,3
Charokhara,0,0,25,13,12,0,7,18,0,23,2,8,12,5,0,0,25,14,11,17,8,24,1,20,5,20,5
Roora,0,0,2,1,1,0,2,0,0,2,0,0,2,0,0,0,2,1,1,1,1,2,0,2,0,2,0
Marsenibuzurg,0,1,4,1,4,0,1,4,0,4,1,1,2,2,0,0,5,2,3,3,2,5,0,5,0,4,1
Jorital,0,1,3,1,3,0,2,2,0,4,0,0,2,2,0,0,4,3,1,2,2,4,0,3,1,3,1
Marsenikhurd,0,6,5,7,4,0,7,4,0,11,0,4,5,2,0,0,11,6,5,8,3,11,0,9,2,9,2
Khamroli,0,4,6,5,4,1,7,3,0,9,1,3,5,2,0,0,10,6,4,6,4,10,0,9,1,8,2
Atra,0,3,2,2,3,0,3,2,0,5,0,2,2,1,0,0,5,3,2,3,2,5,0,5,0,5,0
Itonda,0,1,3,1,2,1,1,3,0,4,0,1,1,2,0,0,4,3,1,2,2,4,0,4,0,3,1
Basturi,0,2,2,1,3,0,2,2,0,4,0,0,3,1,0,0,4,4,0,3,1,4,0,4,0,2,2
Amawali,0,0,4,1,2,1,2,2,0,4,0,1,2,1,0,0,4,3,1,2,2,4,0,4,0,4,0
Badehari,0,8,28,20,14,2,16,20,0,36,0,14,13,9,0,0,36,26,10,21,15,36,0,26,10,30,6
Itarora,0,0,4,0,3,1,1,3,0,4,0,1,2,1,0,0,4,2,2,3,1,4,0,4,0,3,1
Raruarai,0,0,37,15,20,2,23,14,0,37,0,10,17,10,1,0,36,17,20,18,18,36,1,33,4,27,10
Bagurdan (Proj),0,2,19,5,14,2,5,14,2,19,2,2,7,12,0,0,21,9,12,16,5,21,0,19,2,19,2
Pachokhara,0,0,7,3,4,0,5,2,0,6,1,1,4,2,0,0,7,7,0,3,4,7,0,7,0,7,0
Chimghan,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0
Silori,0,0,11,5,5,1,4,7,0,11,0,3,3,5,0,0,11,7,4,7,4,11,0,9,2,10,1
Dabhera,0,0,8,2,6,0,2,6,0,8,0,6,2,0,0,0,8,7,1,5,3,7,1,8,0,8,0
Bilaspur,0,1,8,2,6,1,3,6,0,9,0,6,2,1,0,0,9,8,1,3,6,9,0,7,2,9,0
Toda,0,0,2,0,2,0,1,1,0,2,0,0,1,1,0,0,2,2,0,1,1,2,0,2,0,2,0
Anandpur,0,0,6,2,3,1,3,3,0,6,0,2,3,1,0,0,6,5,1,3,3,6,0,5,1,4,2
Durgapur,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Padri,0,0,14,8,6,0,2,10,2,14,0,6,4,4,1,0,13,7,7,8,6,14,0,13,1,13,1
Degawangoojar,0,0,22,10,12,0,11,10,1,22,0,7,7,8,1,0,21,16,6,15,7,22,0,17,5,22,0
Kanjoli,0,0,59,28,31,0,26,31,2,58,1,14,26,19,0,0,59,36,23,28,31,59,0,51,8,44,15
Bagpura,0,1,30,13,17,1,13,18,0,30,1,10,11,10,0,0,31,22,9,17,14,31,0,26,5,27,4
Simthara,0,0,4,1,2,1,3,1,0,4,0,3,1,0,0,0,4,3,1,3,1,4,0,3,1,4,0
Bahera,0,0,3,0,3,0,2,1,0,3,0,2,1,0,0,0,3,2,1,1,2,2,1,2,1,3,0
Murgawan,0,0,20,12,8,0,10,9,1,20,0,4,9,7,1,0,19,11,9,13,7,20,0,16,4,18,2
Kuthonda,0,1,23,5,16,3,16,8,0,16,8,7,11,6,0,0,24,1,23,12,12,22,2,23,1,24,0
Delua,0,0,17,5,10,2,8,8,1,17,0,4,11,2,0,0,17,9,8,11,6,16,1,16,1,15,2
Seoni,0,0,13,6,7,0,5,8,0,13,0,3,5,5,0,0,13,9,4,7,6,13,0,11,2,12,1
Kulenth,0,0,49,14,30,5,31,17,1,49,0,14,14,21,0,0,49,10,39,34,15,49,0,41,8,46,3
Bagurdan (Siddha),0,1,6,3,4,0,1,6,0,7,0,0,2,5,0,0,7,3,4,4,3,7,0,6,1,6,1
Andora,0,0,5,3,2,0,3,2,0,5,0,0,1,4,0,0,5,3,2,3,2,5,0,4,1,5,0
Pahadishyam,0,0,16,3,12,1,13,3,0,11,5,11,5,0,0,0,16,4,12,10,5,16,0,13,3,7,9
Khaikheda,0,0,13,7,6,0,6,7,0,13,0,8,4,1,0,0,13,9,4,9,4,13,0,10,3,13,0
Ramgarha,0,0,12,6,5,1,4,7,1,12,0,7,4,1,0,0,12,11,1,4,8,11,1,10,2,12,0
Lodhipura,0,0,15,7,8,0,5,10,0,14,1,1,7,7,1,0,14,9,6,5,10,15,0,12,3,13,2
Pahadirawat,0,3,37,15,23,2,21,19,0,39,1,13,15,12,0,0,40,17,23,24,16,39,0,33,7,35,5
