village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Padla,0,11,45,6,47,3,39,17,0,51,5,43,11,2,0,0,56,0,,46,10,45,11,55,1,43,13,56,0
Umarban Khurd,0,25,54,1,56,22,55,24,0,57,22,64,14,1,0,0,79,0,,59,20,50,28,70,9,52,27,74,5
Badiya,0,10,27,4,27,6,26,11,0,33,4,33,4,0,0,0,37,0,,29,8,31,6,34,2,21,16,34,3
Jetapur,0,51,52,12,82,9,78,24,1,66,37,95,7,1,0,0,103,0,,71,32,51,52,88,12,59,44,67,36
Dongala,0,2,22,4,18,2,16,8,0,24,0,17,6,1,0,0,24,0,,21,3,22,2,24,0,19,5,22,2
Dhankhedi,0,53,93,12,116,18,114,32,0,93,53,121,21,4,0,0,146,0,,70,76,71,75,114,27,85,61,112,33
Pipalya Mota,0,1,8,1,7,1,7,2,0,9,0,7,1,1,0,0,9,0,,9,0,8,1,9,0,9,0,8,1
Jamanyamota,0,2,5,2,4,1,3,4,0,7,0,4,2,1,0,0,7,0,,6,1,7,0,7,0,5,2,7,0
Amsi,0,25,45,11,53,6,53,17,0,56,14,59,10,1,0,1,69,0,,58,12,44,26,66,4,47,22,62,8
Jhirvi,0,24,112,23,103,10,65,70,1,82,54,104,29,3,0,0,136,0,,69,67,63,73,116,20,78,58,78,58
Rangaon,0,10,28,3,34,1,35,3,0,24,14,25,11,2,0,0,38,0,,9,29,17,19,27,9,26,12,24,14
Kishanpur Khedi,0,9,19,4,19,5,16,12,0,16,12,25,3,0,0,0,28,0,,18,10,15,13,24,4,15,13,20,8
Sarasgaon,0,3,22,3,17,5,15,10,0,13,12,19,6,0,0,0,25,0,,16,9,12,13,23,2,15,10,10,15
Baykheda,0,1,2,2,1,0,2,1,0,1,2,2,1,0,0,0,3,0,,3,0,2,1,2,1,2,1,1,2
Rajpura,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,,0,1,1,0,1,0,1,0,0,1
Thangaon,0,8,37,10,32,3,26,19,0,23,22,28,16,1,0,0,45,0,,32,13,19,26,35,9,27,18,23,22
Amlatha,0,12,24,3,27,6,20,16,0,20,16,27,9,0,0,0,36,0,,18,18,17,19,29,5,28,8,21,15
Kalibawdi,0,23,24,5,35,7,31,16,0,29,18,46,0,1,0,0,47,0,,36,11,9,38,41,6,22,25,34,13
Chhitari,0,11,17,4,20,4,17,11,0,19,9,26,2,0,1,0,27,0,,20,8,10,18,24,4,13,15,16,12
Panjariya,0,15,12,3,20,4,20,7,0,18,9,24,3,0,0,0,27,0,,19,8,9,18,23,4,13,14,23,4
Lunherabujurga,0,26,33,4,42,13,34,25,0,41,18,48,7,3,0,0,59,0,,41,18,34,24,52,7,37,21,50,9
Banjari,0,4,6,0,7,3,10,0,0,9,1,9,1,0,0,0,10,0,,9,1,7,3,10,0,5,4,8,1
Ralamandal,0,2,3,0,5,0,3,2,0,5,0,4,1,0,0,0,5,0,,2,3,5,0,5,0,4,1,5,0
Utawad,0,4,5,0,6,3,0,9,0,7,2,7,2,0,0,0,9,1,,7,2,6,3,8,1,4,4,6,3
Bhikanyakhedi,0,5,7,0,10,2,8,4,0,7,5,7,2,2,0,0,12,0,,6,6,4,7,9,3,7,5,10,2
Khairwajagir,0,1,6,0,6,1,7,0,0,5,2,5,2,0,0,0,7,0,,1,6,4,3,5,2,5,2,5,2
Balipur Bujurg,0,14,4,0,17,1,16,2,0,14,4,18,0,0,0,0,18,0,,16,2,16,2,17,1,16,2,13,5
Kairva,0,2,0,0,2,0,1,1,0,1,1,2,0,0,0,0,2,0,,2,0,2,0,2,0,1,1,1,1
Jamanya,0,4,2,0,5,1,5,1,0,5,1,6,0,0,0,0,6,0,,6,0,5,1,6,0,5,1,5,1
Malpura,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,,0,1,1,0,0,1,0,1,0,1
Chauki,0,4,0,0,4,0,4,0,0,4,0,4,0,0,0,0,4,0,,4,0,3,1,4,0,3,1,2,2
Bhanpura,0,3,1,0,4,0,4,0,0,4,0,4,0,0,0,0,4,0,,4,0,0,4,4,0,4,0,4,0
Kuwad,0,1,1,0,2,0,2,0,0,1,1,2,0,0,0,0,2,0,,1,1,1,1,2,0,2,0,1,1
Bhuwada,0,1,1,0,2,0,2,0,0,2,0,2,0,0,0,0,2,0,,1,1,2,0,2,0,2,0,1,1
Dasai,1,4,1,0,6,0,6,0,0,5,1,6,0,0,0,0,6,0,,5,1,4,2,6,0,5,1,3,3
Dewalra,0,3,0,0,3,0,2,1,0,3,0,3,0,0,0,0,3,0,,3,0,2,1,3,0,2,1,2,1
Birampura,0,3,0,0,3,0,3,0,0,3,0,3,0,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Ibrahimpura,0,9,1,0,9,1,10,0,0,9,1,10,0,0,0,0,10,0,,9,1,9,1,9,1,10,0,6,4
Dabhad,0,12,2,1,13,0,8,6,0,12,2,14,0,0,0,0,14,0,,13,1,9,5,13,1,10,4,10,4
Ramadhama,0,15,1,3,12,1,13,3,0,13,3,16,0,0,0,0,16,0,,14,2,11,5,15,1,12,4,11,5
Dhanora,0,23,2,2,21,2,19,6,0,18,7,25,0,0,0,0,25,0,,15,10,13,12,25,0,17,8,15,10
Buharla,0,4,4,0,7,1,7,1,0,6,2,8,0,0,0,0,8,0,,7,1,7,1,8,0,8,0,5,3
Sulibardi,0,0,2,0,1,1,2,0,0,1,1,1,1,0,0,0,2,0,,0,2,0,2,2,0,1,1,2,0
Tawalai Buzurg,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,0,1,0,1,1,0,1,0,0,1
Salepurkhedi,0,3,2,1,3,1,5,0,0,4,1,5,0,0,0,0,5,0,,2,3,5,0,5,0,4,1,4,1
Petlawad,0,2,2,0,4,0,3,1,0,3,1,4,0,0,0,0,4,0,,2,2,2,2,3,1,2,2,3,1
Umarbankalan,1,182,13,19,163,14,88,94,14,132,64,192,3,1,1,0,194,0,,130,66,94,102,151,45,118,78,116,80
Koriya,0,3,16,3,14,2,1,18,0,14,5,3,11,5,0,0,19,0,,14,5,9,10,17,2,12,7,8,11
