village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Saliwada,0,5,12,5,6,6,16,1,0,17,0,5,9,3,0,0,17,12,5,15,2,17,0,15,2,17,0
Chirapondi,0,27,2,1,14,14,29,0,0,29,0,27,0,2,0,0,29,26,3,25,4,29,0,29,0,29,0
Chargawan,0,8,5,9,4,0,11,2,0,13,0,10,3,0,0,0,13,13,0,13,0,13,0,13,0,13,0
Kulon,0,2,3,4,1,0,4,1,0,5,0,2,3,0,0,0,5,5,0,3,2,5,0,5,0,5,0
Daman Khamariya,0,11,3,7,2,5,14,0,0,14,0,10,2,2,0,0,14,13,1,13,1,14,0,14,0,14,0
Nayanagar,0,9,4,8,4,1,11,2,0,13,0,9,3,1,0,0,13,12,1,12,1,13,0,13,0,13,0
Badhaiya Khera,0,2,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,1,1
Mahguwan,0,4,3,7,0,0,6,1,0,7,0,4,2,1,0,0,7,7,0,7,0,7,0,7,0,7,0
Bambabari,0,3,4,0,5,2,7,0,0,7,0,4,2,1,0,0,7,7,0,6,1,7,0,7,0,7,0
Devri Purani,0,4,4,8,0,0,5,3,0,8,0,3,2,3,0,0,8,8,0,8,0,8,0,8,0,8,0
Dharampura,0,40,14,52,2,0,52,2,0,54,0,41,9,4,0,0,54,53,1,52,2,54,0,54,0,54,0
Dongar Jhansi,0,4,4,5,2,1,7,1,0,8,0,4,2,2,0,0,8,8,0,8,0,8,0,8,0,8,0
Saliwada,0,6,8,2,9,3,14,0,0,14,0,7,6,1,0,0,14,14,0,14,0,13,1,14,0,14,0
Kohli,0,1,3,2,2,0,4,0,0,4,0,2,2,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Neechi,0,3,8,10,1,0,8,3,0,11,0,4,5,2,0,0,11,11,0,10,1,11,0,11,0,11,0
Nunpur,0,4,4,6,1,1,6,2,0,8,0,4,2,2,0,0,8,8,0,7,1,8,0,8,0,8,0
Naktiya,0,21,56,23,24,30,71,6,0,77,0,24,45,8,0,0,77,72,5,71,6,77,0,77,0,77,0
Bijori (Gangai),0,0,2,0,2,0,2,0,0,2,0,1,0,1,0,0,2,2,0,2,0,2,0,2,0,2,0
Sunpura,1,50,29,80,0,0,76,4,0,80,0,56,20,4,0,0,80,79,1,80,0,80,0,78,2,80,0
Bargi,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Patharphodi,0,1,5,3,3,0,4,2,0,6,0,1,2,3,0,0,6,5,1,5,1,6,0,6,0,6,0
Katangi,0,7,2,8,1,0,9,0,0,9,0,6,2,1,0,0,9,8,1,7,2,9,0,9,0,9,0
Matwara,0,2,2,2,1,1,4,0,0,4,0,3,1,0,0,0,4,4,0,3,1,4,0,4,0,4,0
Kulha,0,3,1,2,1,1,4,0,0,4,0,2,1,1,0,0,4,3,1,4,0,4,0,4,0,4,0
Pati Chargawan,0,2,3,3,2,0,4,1,0,5,0,2,3,0,0,0,5,4,1,4,1,5,0,5,0,5,0
Tinheta,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Urram,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Sakri,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Sahajpur,0,14,39,10,21,22,43,10,0,44,9,16,20,17,0,0,53,50,3,42,11,53,0,53,0,53,0
Badiwara,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
