village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dalka,0,0,45,1,38,6,30,15,0,37,8,16,22,7,0,0,45,19,26,21,24,31,14,26,19,41,4
Dehari,0,0,17,0,16,1,11,6,0,15,2,7,7,3,0,0,17,5,12,4,13,12,5,10,7,14,3
Barud,0,0,4,0,4,0,2,2,0,4,0,1,2,1,0,0,4,0,4,1,3,4,0,3,1,3,1
Rangaon,0,1,9,1,7,2,3,7,0,4,6,0,0,10,0,0,10,7,3,3,7,10,0,7,3,8,2
Bhamori Khurd,0,0,4,0,4,0,4,0,0,4,0,1,3,0,0,0,4,0,4,2,2,4,0,1,3,4,0
Rajura,0,0,10,0,9,1,4,6,0,9,1,5,4,1,0,0,10,1,9,2,8,7,3,5,5,8,2
Rampura [Rajur],0,0,3,0,3,0,2,1,0,3,0,1,2,0,0,0,3,0,3,1,2,2,1,3,0,2,1
Pipari,0,1,28,1,18,10,6,22,1,18,11,1,8,20,0,0,29,19,10,11,18,28,1,20,9,18,11
Ichchhapur,0,0,18,0,11,7,2,15,1,5,13,1,5,12,3,0,15,11,7,8,10,16,2,9,9,14,4
Awali,0,0,28,1,20,7,10,18,0,11,17,3,2,23,0,0,28,15,13,20,8,26,2,24,4,25,3
Banjari,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Dongargaon,0,2,19,1,18,2,12,9,0,14,7,13,6,2,0,0,21,5,16,5,16,18,3,14,7,14,7
Likkhi,0,1,37,2,27,9,20,18,0,13,25,4,5,29,0,1,37,9,29,14,24,28,10,28,10,29,9
Lonara,0,0,2,0,1,1,1,1,0,1,1,2,0,0,0,0,2,1,1,2,0,1,1,2,0,2,0
Romchichali,0,0,5,0,4,1,3,2,0,4,1,3,2,0,0,0,5,1,4,1,4,2,3,2,3,4,1
Surpala [Dhabhad],0,0,12,0,10,2,2,10,0,7,5,1,3,8,2,0,10,8,4,5,7,11,1,5,7,8,4
Lohari,0,0,9,0,8,1,3,6,0,8,1,4,5,0,0,0,9,1,8,4,5,9,0,5,4,5,4
Nawalpura,1,0,64,2,60,3,37,28,0,51,14,0,0,65,0,0,65,10,55,16,49,52,13,33,32,65,0
Dasanga,0,0,16,4,12,0,9,7,0,11,5,1,0,15,0,0,16,5,11,9,7,7,9,10,6,16,0
Biroti,0,0,17,0,14,3,10,7,0,14,3,0,1,16,0,0,17,4,13,3,14,13,4,12,5,17,0
Kolyapura,0,0,3,0,2,1,2,1,0,3,0,0,3,0,0,0,3,3,0,2,1,2,1,2,1,2,1
Salwan,1,0,2,0,3,0,2,1,0,2,1,2,1,0,0,0,3,0,3,3,0,2,1,2,1,3,0
Narsingpura,0,0,3,0,3,0,1,2,0,1,2,1,2,0,0,0,3,0,3,2,1,3,0,3,0,1,2
Baghwa,0,0,18,0,15,3,12,6,0,17,1,11,4,3,0,0,18,4,14,10,8,14,4,11,7,12,6
Saikheda,0,1,36,0,33,4,25,12,0,31,6,15,16,6,0,0,37,8,29,11,26,28,9,27,10,25,12
Bhamori Buzurg,0,1,20,1,18,2,13,8,0,18,3,9,9,3,0,0,21,8,13,9,12,19,2,12,9,13,8
Raibid,1,0,15,1,12,3,7,9,0,12,4,5,5,6,0,0,16,6,10,5,11,14,2,9,7,7,9
Bagud,0,0,4,0,3,1,2,1,1,3,1,1,1,2,0,0,4,1,3,3,1,3,1,3,1,3,1
Panyadad [Ghegaon],0,3,16,1,17,1,13,6,0,11,8,12,4,3,0,0,19,6,13,9,10,11,8,15,4,12,7
Badya,0,0,2,0,2,0,2,0,0,1,1,1,1,0,0,0,2,1,1,0,2,1,1,1,1,1,1
Aghawan,0,0,66,3,62,1,40,26,0,50,16,0,3,63,0,0,66,21,45,18,48,45,21,33,33,64,2
Nandgaon [Bagud],0,0,21,0,18,3,12,9,0,16,5,10,5,6,0,0,21,8,13,9,12,14,7,8,13,14,7
Asangaon,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1
Akawalya,0,1,13,0,13,1,9,5,0,6,8,5,4,5,0,0,14,3,11,7,7,10,4,10,4,10,4
Bediyapura,0,0,6,0,5,1,6,0,0,6,0,3,2,1,0,0,6,3,3,4,2,5,1,6,0,3,3
Sontalab,0,0,8,0,8,0,6,2,0,4,4,1,5,2,0,0,8,1,7,3,5,6,2,4,4,5,3
Dabhad,0,0,4,0,4,0,3,1,0,4,0,0,0,4,0,0,4,0,4,0,4,3,1,3,1,4,0
Shahpura,0,0,4,0,4,0,2,2,0,3,1,3,1,0,0,0,4,2,2,2,2,1,3,2,2,3,1
Barkheda,0,0,2,1,1,0,1,1,0,1,1,0,0,2,0,0,2,1,1,1,1,1,1,1,1,0,2
Vanihar [Ghotiya],0,0,7,1,6,0,3,4,0,5,2,1,0,6,1,0,6,2,5,2,5,3,4,3,4,4,3
Latipura,0,0,2,0,2,0,1,1,0,1,1,0,1,1,0,0,2,1,1,2,0,2,0,2,0,1,1
Borgaonkhurd,0,0,3,0,2,1,1,2,0,1,2,0,1,2,1,0,2,1,2,2,1,3,0,0,3,2,1
Ghegaon,0,1,17,1,15,2,14,4,0,14,4,9,9,0,0,0,18,5,13,10,8,11,7,13,5,12,6
Davlatpipari,0,1,12,3,10,0,7,6,0,6,7,0,1,12,1,0,12,4,9,6,7,8,5,9,4,13,0
Mengaon,0,0,24,0,20,4,15,9,0,17,7,0,0,24,0,0,24,11,13,6,18,11,13,14,10,24,0
Kalyanpura,0,0,16,0,12,4,6,9,1,8,8,4,5,7,0,0,16,8,8,6,10,16,0,6,10,12,4
Gavsan,0,0,29,3,26,0,17,12,0,19,10,17,9,3,0,0,29,1,28,13,16,22,7,18,11,19,10
Nandgaon [Megha],0,0,2,0,2,0,1,1,0,1,1,1,1,0,0,0,2,2,0,1,1,2,0,0,2,2,0
Gawala,0,2,18,0,9,11,2,17,1,9,11,2,2,16,1,0,19,12,8,10,10,16,4,15,5,16,4
Mothapura,0,0,42,0,39,3,28,14,0,34,8,18,19,5,0,0,42,9,33,14,28,32,10,30,12,28,14
Salya,0,0,3,0,2,1,3,0,0,3,0,1,2,0,0,0,3,2,1,2,1,1,2,1,2,2,1
Ghotya,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0
Raipura,0,0,7,1,5,1,4,3,0,6,1,2,2,3,0,0,7,0,7,3,4,6,1,4,3,6,1
Sinkheda,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
Pandhanya,0,0,39,0,31,8,25,13,1,29,10,0,10,29,0,0,39,22,17,14,25,26,13,23,16,32,7
Oonkhurd,0,1,24,2,14,9,10,13,2,15,10,3,13,9,0,0,25,12,13,13,12,19,6,15,10,17,8
Oonbujurg,0,2,13,0,12,3,8,6,1,12,3,4,5,6,2,0,13,7,8,5,10,13,2,9,6,8,7
Ramangaon,0,0,7,1,3,3,2,5,0,3,4,0,2,5,0,0,7,3,4,3,4,5,2,5,2,4,3
Rajur,0,0,28,1,23,4,18,10,0,18,10,11,12,5,0,0,28,7,21,9,19,22,6,20,8,24,4
Dhamkheda (OG),0,0,3,0,3,0,2,1,0,1,2,0,0,3,0,0,3,1,2,3,0,3,0,1,2,3,0
Rahimpura (OG),0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,2,2,0,1,1,2,0,2,0,2,0
Sonipura,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0
Nawabpura,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0
Balwadi [Sonipura],0,1,20,0,19,2,14,7,0,12,9,0,0,21,0,0,21,2,19,8,13,18,3,11,10,21,0
Belmar,0,0,5,0,5,0,4,1,0,5,0,0,0,5,0,0,5,0,5,1,4,3,2,4,1,5,0
Bijalgaon Bujurg,0,0,10,0,10,0,7,3,0,8,2,0,0,10,0,0,10,5,5,4,6,6,4,4,6,10,0
Bardiya,0,0,5,0,5,0,4,1,0,4,1,0,0,5,0,0,5,1,4,2,3,4,1,1,4,5,0
Piparata,0,0,6,0,6,0,3,3,0,2,4,0,0,6,0,0,6,1,5,3,3,5,1,3,3,6,0
Narayanpura,0,0,29,2,27,0,19,10,0,21,8,0,0,29,0,0,29,3,26,12,17,22,7,17,12,29,0
Ubdee,0,0,84,6,75,3,52,32,0,59,25,1,0,83,0,0,84,19,65,35,49,57,27,44,40,84,0
Nimgul,0,0,10,0,10,0,4,6,0,9,1,0,0,10,0,0,10,2,8,2,8,8,2,6,4,10,0
