village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Atariya Ryt.,0,4,15,0,19,0,9,10,0,19,0,4,10,5,1,0,18,0,,1,18,5,14,17,2,8,11,11,8
Rampuri Ryt.,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,,0,1,1,0,1,0,0,1,1,0
Basni Ryt.,0,23,23,6,36,4,23,23,0,45,1,22,9,15,0,1,45,0,,9,37,20,26,38,8,29,17,15,31
Kolamgahan Ryt.,0,5,10,2,13,0,12,3,0,14,1,8,3,4,0,0,15,0,,5,10,7,8,12,3,10,5,1,14
Sakwah Ryt.,0,11,13,0,24,0,12,11,1,18,6,15,5,4,1,2,21,6,,0,24,11,13,20,4,15,9,11,13
Sahajpuri Ryt.,0,21,40,7,54,0,30,31,0,57,4,26,23,12,0,7,54,4,,16,45,32,29,52,9,40,21,24,37
Medha,0,1,2,1,2,0,2,1,0,3,0,1,0,2,0,0,3,0,,0,3,1,2,2,1,3,0,1,2
Bija,0,13,48,4,51,6,28,31,2,54,7,26,18,17,0,11,50,0,,13,48,36,25,55,6,40,21,19,42
Barrai Ryt.,0,12,21,13,19,1,20,13,0,20,12,16,12,5,0,0,33,0,,2,31,9,24,29,4,15,18,15,18
Baiga Kheda F.V.,0,0,4,0,4,0,2,2,0,3,1,0,4,0,0,0,4,0,,1,3,2,2,2,2,1,3,3,1
Saida F.V.,0,2,3,0,5,0,2,3,0,5,0,3,2,0,0,0,5,0,,2,3,4,1,4,1,4,1,3,2
Sondha Mal.,0,4,2,1,5,0,2,4,0,6,0,4,2,0,0,0,6,0,,2,4,3,3,5,1,4,2,4,2
Sarasdoli Mal.,0,9,10,2,17,0,9,10,0,19,0,8,6,5,0,1,18,1,,2,17,6,13,17,2,13,6,5,14
Amwar Jar,0,2,0,0,1,1,1,1,0,2,0,2,0,0,0,0,2,0,,1,1,0,2,2,0,1,1,1,1
Rahgi,0,5,1,1,5,0,2,4,0,6,0,5,1,0,0,0,6,0,,0,6,1,5,6,0,2,4,1,5
Pondi Alias Bahar Munda,0,14,16,4,26,0,11,19,0,28,2,15,13,2,0,2,28,1,,2,28,12,18,25,5,14,16,13,17
Ghonta Ryt.,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,0,1,0,1,1,0,1,0,1,0
Bilai Khar,0,3,3,0,6,0,2,4,0,5,1,3,3,0,0,1,5,0,,1,5,2,4,5,1,3,3,5,1
Parsel,0,1,4,1,4,0,1,4,0,4,1,2,3,0,0,1,4,0,,1,4,4,1,4,1,4,1,2,3
Harratola Ryt.,0,10,17,2,25,0,13,14,0,22,5,16,7,4,0,5,22,0,,2,25,10,17,23,4,21,6,16,11
Madhka (Madka) Mal.,0,5,9,1,13,0,6,8,0,13,1,6,5,3,0,1,13,0,,1,13,2,12,11,3,5,9,11,3
Murta Ryt.,0,3,7,3,6,1,4,5,1,9,1,5,3,2,0,2,8,0,,2,8,6,4,9,1,8,2,5,5
Dhangaon Mal.,0,2,8,2,8,0,2,7,1,8,2,5,2,3,0,3,7,0,,2,8,4,6,9,1,5,5,6,4
Khaddeori,0,1,2,0,3,0,0,3,0,3,0,1,1,1,0,0,3,0,,0,3,1,2,2,1,0,3,1,2
Sondha Ryt.,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,,0,1,0,1,0,1,0,1,1,0
Bilgaon Jar,0,3,0,2,1,0,0,3,0,3,0,3,0,0,0,1,2,0,,0,3,3,0,2,1,2,1,3,0
Mohgaon Jar,0,6,8,4,9,1,3,10,1,14,0,7,3,4,0,1,13,0,,3,11,3,11,12,2,9,5,9,5
Jamgaon,0,2,1,0,3,0,0,3,0,3,0,2,0,1,0,1,2,0,,1,2,2,1,3,0,2,1,0,3
Masna,0,7,5,0,11,1,6,6,0,12,0,9,3,0,0,0,12,0,,1,11,5,7,9,3,9,3,4,8
Lalpur,0,10,4,4,10,0,10,4,0,13,1,9,2,3,0,0,14,0,,2,12,4,9,12,2,5,9,2,12
